title,state,region,source_type,source_url,ingredient_count,step_count,ingredients,instructions
Achari Chicken Recipe,Unclassified,Unclassified,web,https://www.indianhealthyrecipes.com/achari-chicken/,23,12,"2 tablespoons coriander seeds, 1 tablespoon cumin seeds, 1.25 tablespoon fennel seeds, 0.25 tablespoon mustard seeds, 0.25 teaspoon fenugreek seeds, 2 red chilies, 1 teaspoon Kashmiri chili powder, 0.25 teaspoon turmeric, 0.625 teaspoon sea salt, 1.5 lbs chicken, 3.5 tablespoons oil, 0.625 teaspoon kalonji, 1 cup onions, 1 tablespoon ginger garlic paste, 0.75 cup tomatoes, 4 chili peppers, 0.3333333333333333 cup yogurt, 0.5 cup water, 0.5 teaspoon sugar, 0.75 teaspoon amchur, 1.5 tablespoons mango achar pickle, 1 tablespoon coriander leaves, 1 teaspoon ginger","1. To a small spice grinder, add coriander seeds, red chilies, cumin, fennel seeds, methi seeds, mustard seeds, turmeric, salt and red chili powder. Make a fine powder. 2. Marinate chicken with 1 tablespoon of the prepared achari masala and half of the chaat masala or amchur. If it is too dry, add a splash of oil. Cover and rest aside until you prepare the rest. 3. On a medium flame, heat oil in a pan/pot and add kalonji. When they begin to sizzle, add onions and saute on a medium heat, until golden for 8 to 9 mins. 4. Stir in the ginger garlic paste and saute for a minute, until aromatic. Reduce the flame and stir in the achari masala. Saute for 1 to 2 mins, until aromatic. (If the pan is dry, add a tablespoon of oil.) 5. Add the tomatoes and saute till the masala becomes thick. 6. Lower the flame and incorporate the yogurt into the pan. Increase the heat to medium and saute for 5 to 7 mins, until the fats begin to appear on top. 7. If using chili peppers to stuff, reserve 2 tablespoons of this cooked masala in a small bowl. 8. Add the marinated chicken to the pan and saute on a medium high heat for 5 to 6 mins. Pour hot water (start with lower amount). Mix well and cook covered for 10 mins. 9. While the chicken cooks, slit each chili pepper lengthwise, keeping the stalk & the edges intact. Deseed for low heat. Stir in rest of the amchur or chaat masala to the reserved achari onion tomato masala. Taste test to adjust salt. Stuff this into the chili peppers. Heat a tablespoon of oil in a small pan and fry them until blistered, for 4 to 5 mins. 10. When the chicken is half cooked, add the stuffed chili peppers and push them slightly into the curry. Cover and cook until the chicken is fully cooked through and the chilies wilt/ soften completely. (It takes me 20 mins to cook the bone-in chicken) 11. Turn off and taste test to adjust salt or add sugar. If you feel the need sprinkle more chaat masala or amchur or mango achar over the achari chicken. Garnish with ginger juliennes. 12. Sprinkle coriander leaves before serving. Serve achari chicken with basmati rice, parathas, naan or tandoori roti."
Akki Roti,Karnataka,South,web,https://www.indianhealthyrecipes.com/akki-roti-recipe-akki-rotti/,13,13,"1 cup rice flour, 1 onion, 3 tablespoons coconut, 0.5 carrot, 2 green chilli, 2.5 tablespoons coriander leaves, 0.5 teaspoon cumin, 0.3333333333333333 teaspoon Salt, 0.5 teaspoon ginger grated, water, 1 tablespoon oil, 2.5 tablespoons sabsige soppu, 1 tablespoon chana dal","1. Wash and chop very finely 1 small onions, 2 green chilies and handful of coriander leaves. Grate ½ carrot & ½ teaspoon ginger. If using sabsige, rinse well and chop finely. 2. Add 1 cup flour to a large mixing bowl along with 1/3 teaspoon salt, ½ teaspoon cumin, chopped onions, chilies, coriander leaves and carrots. Mix everything well. You can also add about 2 to 3 tablespoons grated coconut & 2 to 3 tablespoons dill leaves. 3. Pour water little by little and make a soft dough. The dough must be smooth and moist. Divide the dough to 4 equal balls. Roll to smooth. Keep the bowl covered to prevent drying up. 4. You can make akki roti on a greased banana leaf, moist handkerchief, foil or parchment paper. 5. Place a ball on the moist cloth or foil or greased banana leaf. 6. Begin to spread it lightly with your fingers to make a round roti. If the edges of akki roti crack, then dip your fingers in water and join the cracks. Then continue to spread it. 7. It can be made thick or thin to suit your taste. If making thick, make 3 finger sized wholes with one and half inches apart. 8. Heat the greased tawa on a medium high flame. Lift the banana leaf or parchment paper and reverse it on the hot tawa, the roti facing the tawa. Gently peel off the leaf. 9. When the base firms up & golden, flip it. Toast it on both the sides. After flipping it sprinkle some oil. Press down with a spatula to cook evenly. 10. Remove akki roti when you see brown spots. Do not over cook it may turn hard. While you toast the akki roti, make another one on the leaf or cloth. Transfer to the tawa after the first one is done. 11. If you are making directly on the tawa then you will need 2 tawas to use them alternately. Or cool the tawa completely and then spread the next roti. 12. Lightly grease a cool tawa & keep it on a kitchen counter. Place the ball on the tawa and spread it directly to a thin akki roti. Place the tawa now on the stove and cook until the base firms. Then flip & cook on the other side until done. Press down with a spatula to cook evenly. 13. To make the next akki roti either use another cool tawa or wait until the first one cools completely. If you try to spread the dough on the hot tawa it will get stuck and not spread at all. Serve akki roti with chutney."
Alasanda Vada (Black Eyed Pea Fritters),Unclassified,Unclassified,web,https://www.indianhealthyrecipes.com/alasanda-vada-recipe-lobia-vada-baked-and-fried-recipes/,10,13,"1 cup black eyed peas, 0.25 teaspoon turmeric, 1.5 tablespoon rice flour, 1.5 teaspoon ginger garlic paste, 2 green chilies, 1 teaspoon cumin, 0.25 cup coriander leaves, 0.25 cup onions, 0.625 cup Oil, 0.41666666666666663 teaspoon salt","1. Wash & soak alasandalu for 4 hours. Rinse and drain water thoroughly. 2. Add them to a grinder jar along with salt and ginger garlic. 3. Grind to a coarse paste, splashing little water only if required. Test by shaping some batter to a vada. If it does not bind or hold shape, add a few tablespoons of the batter to the grinder and make a smooth paste and mix it well with the rest. 4. Make sure there are no whole lentils left without getting crushed as they can burst while frying the vadas. 5. Transfer this batter to a mixing bowl. Add all the other ingredients - onions, coriander leaves, rice flour (optional), green chilies and cumin seeds. Mix together well. Taste test and add more salt if required. 6. Pour oil to a deep pan and heat it on a medium flame until hot. 7. Grease a cling wrap or a plastic sheet or a parchment paper. You can also grease your hands and shape them in your palms directly. 8. Take small portions of the batter and place them on the greased sheet or hand. Shape to balls and flatten them to thick vadas/ patties. 9. Test if the oil is hot by dropping a small portion of the batter to the hot oil. It should sizzle and rise to the surface without turning brown. If the batter sinks, it means the oil is not ready to fry yet. So heat it a little longer. 10. Gently transfer the vadas to the hot oil. Do not touch them for 3 mins, let them fry on a medium heat. Do not crowd the pan, fry only as many as your kadai and oil can accommodate. 11. Later turn them to the other side and fry until golden and crisp. Remove to a cooling rack. Make sure the oil is hot but not smoking hot before you add the next batch of alasanda vada. 12. Place the shaped vadas in the air fryer basket or rack. Air fry for 10 mins at 180 C or 350 F. 13. Turn them to the other side and air fry for another 6 to 7 mins. Adjust the time as needed depending on your air fryer. They will turn hard if you over fry them. Once done brush the hot air fried alasandalu vada with oil or ghee."
Almond Jaggery Burfi Sweet,Andhra Pradesh,South,web,https://www.indianhealthyrecipes.com/almond-burfi-using-coconut-palm-sugar-or-jaggery/,6,7,"1.5 cups almonds, 1.25 cups jaggery, 0.25 cup water, 0.125 teaspoon green cardamom powder, 1 teaspoon almond oil, 1 teaspoon sesame seeds","1. Grease a tray, square pan or plate. I use a 8 inch brownie pan. 2. Add almonds and cardamoms to a mixer jar. Grind them to a powder. Do not overgrind to the extent they begin to release oils. 3. Dissolve jaggery with water in a pan and strain the liquid to remove any impurities. Rinse the pan and return the syrup back to the pan. 4. Boil the jaggery syrup till it reaches soft ball consistency. 5. To test add ½ tsp of the syrup to a bowl of water, You should be able to make a soft ball. 6. Add the ground almond powder and switch off the heat. Stir well until the almond meal blends well. Pour it to the greased tray and sprinkle sesame seeds or chopped nuts. 7. Leave it undisturbed for 5 to 6 hours and cut it to squares. If it does not set, it means the jaggery syrup wasn’t cooked well. You can return the entire almond jaggery mixture to the pan and cook for a little longer. When it is done you will be able to make a non-sticky ball."
Almond yogurt,Unclassified,Unclassified,web,https://www.indianhealthyrecipes.com/almond-yogurt-recipe/,2,9,"1 cup almonds, yogurt starter","1. Heat 2 cups water in a pot. Add almonds and leave them for a minute or two. 2. Drain them to a colander and rinse under running water. 3. Then spread them on a clean cloth. You will see the skins loosen. 4. You can easily peel them. 5. Then add these peeled almonds to the pot and cover them with clean water. Soak for 6 hours. do not cover the bowl or pot. If you want cover with a thin cloth so air circulates. These are the almonds after soaking. 6. Rinse the soaked almonds and then transfer to a grinder. Pour water little by little and begin to grind until you get a smooth paste. Keep adding water as you grind the mixture. 7. The puree has to be smooth. You won’t get a very smooth consistency like flour mixture though. If it is not smooth you will feel the grits in your yogurt. Transfer this to a steel bowl. 8. Heat 1 cup water in a small pot. Turn off the heat. Then place the bowl in the water and keep stirring till the mixture becomes warm. Do not let the mixture become hot as this alters the flavor completely. When it is warm, transfer this to a clean glass or ceramic jar. Add your yogurt starter. If using powdered starter, you may dissolve it in 1 tbsp water and pour it here. I used 1 teaspoon regular homemade yogurt here. 9. Cover this and keep in a warm place for 3 to 8 hours depending on the temperature. When the almond yogurt is ready you will get a faint smell of yogurt. However if it is the first time you are making this then you need to be careful and keep checking after 3 hours. If you leave it too long it will ferment and rise which we don’t want. Serve almond yogurt as is or use it to make lassi, chaas, smoothie, raita or curry."
Aloo Anday Recipe (Potato Egg Curry),Unclassified,North,web,https://www.indianhealthyrecipes.com/potato-egg-curry-aloo-egg-curry-recipe/,14,13,"4 eggs, 2 tablespoons oil, 0.5 teaspoon cumin seeds, 2.5 green cardamoms, 1.5 cup onions, 0.75 cup tomatoes, 1.5 teaspoon ginger garlic paste, 0.125 teaspoon turmeric, 0.3333333333333333 teaspoon salt, 1 teaspoon garam masala, 0.5 teaspoon garam masala, 0.625 teaspoon Kashmiri red chili powder, 3.5 potatoes, 2 tablespoons coriander leaves","1. Heat 2 tablespoons oil in a hot pan. Add ½ teaspoon cumin seeds & 3 green cardamoms. If you don’t have green cardamoms you may skip but we love the flavors. 2. When the spices begin to sizzle, add 1½ cup finely chopped onions and saute until golden. 3. Add 1½ teaspoon ginger garlic paste and fry until the raw smell goes off, for about a minute. 4. Add ¾ cup chopped tomatoes, ⅓ teaspoon salt and ⅛ teaspoon turmeric. 5. Saute until tomatoes turn soft and blend well with onions. Add ½ to ¾ red chili powder and 1 teaspoon garam masala powder. If you want spicy curry, you may add more red chilli powder. 6. Mix and fry until the raw smell of chili powder goes off. This takes about 1 to 2 minutes. 7. While the tomatoes fry, you can wash and peel 3 to 4 aloo / potato. Cube them to desired size. Add them to the pan. 8. Mix and fry for about 2 to 3 minutes. 9. Add water enough to partially cover the potatoes. 10. Cover and cook on a low flame till the potatoes are fork tender. Keep stirring in between. A slow cooked curry tastes better, so if you have time cook on a low flame. 11. When the potatoes are cooked, add boiled eggs and stir. You can also fry the eggs in a teaspoon of hot ghee. When the eggs are blistered add them to the curry. But make sure you pat dry and prick the eggs with a fork before you fry to prevent splatters. 12. Add coriander leaves or kasuri methi. Taste test and adjust salt and add more garam masala if you prefer. I prefer to add a little here. This is optional, but makes the curry flavorful. 13. Stir well. Cover and simmer till aloo anday reaches a desired consistency. To make more gravy, you may need to add more water and simmer. You can also add little thick coconut milk and switch off. To make a dry curry, just evaporate the water by cooking further. Serve with plain rice, roti or any flavored rice."
Aloo Baingan Recipe,Andhra Pradesh,South,web,https://www.indianhealthyrecipes.com/aloo-baingan-masala-recipe/,15,15,"1 cup onions, 25 grams potatoes, 25 grams eggplants, 0.75 cup tomatoes, 1 green chilli, 2 tablespoons oil, 0.625 teaspoon cumin seeds, 0.5 tablespoon ginger garlic paste, 0.125 teaspoon turmeric, 0.625 teaspoon salt, 0.875 teaspoon red chili powder, 1.125 teaspoon garam masala, 1.25 teaspoon coriander powder, 0.25 cup water for semi dry, 1 tablespoon coriander leaves","1. Peel 250 grams (2-3 medium) potatoes. Slice them lengthwise of ½-inch thickness (for faster cooking). Keep them immersed in the water until ready to cook. 2. Rinse 250gms of eggplant (use 3-4 small eggplants or 1 medium globe eggplant ). Slice the eggplants lengthwise of 1-inch thickness. Add the slices to a bowl of water & stir in ¼ teaspoon salt. 3. Prep the other ingredients: 4. Fine chop or puree 2 medium tomatoes (150gms) in a blender or grinder. 5. Fine chop 1 large onion (110 to 120 grams) to make 1 cup 6. Chop the green chili (Indian/ Thai/Serrano) 7. Press Saute button on your Instant pot and pour oil to the steel insert. When the oil turns slightly hot (not super-hot), add the cumin seeds. 8. Soon they will sizzle, add the fine chopped onions and green chilies. Saute until golden, you don’t need to brown them. 9. Stir in the ginger garlic paste and saute for 30 to 60 seconds. Stir in all the ground spices – turmeric, red chilli powder, garam masala, coriander powder and salt. 10. Quickly add the potatoes and egg plants. Saute for 1 to 2 minutes. Immediately pour the tomato puree. 11. Mix well to deglaze and press cancel. Secure the Instant pot with the lid and position the steam release valve to sealing. 12. Press the pressure cook button and set the timer to 2 minutes. When the Instant pot pressure cooking is done, let wait for the pressure to release for 3 to 4 mins. 13. Release the rest manually by carefully moving the steam valve from sealing to venting. Open the lid and bring all the veggies to the center so all of the liquid moves to the sides. Press saute button. 14. Let cook on saute mode without stirring or mixing, until most of the moisture is evaporated. It only takes a few minutes. To thicken the curry faster, you may mash down some of the potatoes. 15. When the aloo baingan looks almost dry, mix and saute for 1 to 2 mins. Sprinkle coriander leaves and adjust salt to taste."
Aloo Biryani (Dum Potato Biryani),Telangana,South,web,https://www.indianhealthyrecipes.com/hyderabadi-aloo-dum-biryani-potato-biryani/,26,12,"1 cup onions, 2 green chilies, 3 tablespoons coriander leaves, 3 tablespoons mint leaves, 8 strands saffron, 3 tablespoons oil, 1 bay leaf, 2 green cardamoms, 2 inch cinnamon, 4 cloves 4 cloves ((laung)), 0.5 teaspoon shahi jeera, 1 star anise, 4 grams potatoes, 0.75 cup yogurt, 0.5 tablespoons Kashmiri red chili powder, 0.25 teaspoon turmeric, 0.75 tablespoons Ginger garlic paste, 0.625 tablespoons biryani masala, 0.3333333333333333 teaspoon salt, 1 teaspoon oil, 1.5 cups basmathi, 1 bay leaf, 2 inch cinnamon, 3 green cardamom, 0.25 teaspoon shahi jeera, 0.75 teaspoon salt","1. Add 3 tbsps of ghee or oil in a pan and fry potatoes till they are almost cooked. It takes around 10 mins. Set these aside and fry the onions until golden like fried onions. Set these aside as well. You can also par boil the potatoes and use, if they are from cold storage, otherwise they will be uncooked in the biryani. 2. Pour 3/4 cup curd to a mixing bowl. Add red chili powder, turmeric, ginger garlic paste, half of the fried onions, salt and biryani masala. Mix this very well and check the spice and salt. If needed add more. 3. Next add the cooked or fried potatoes to the marination ingredients. Marinate for at least 30 mins or until the rice gets cooked. Keep this aside. 4. Wash and soak rice for 20 to 30 minutes. 5. Add bay leaf, shahi jeera, cardamoms, cinnamon, salt and oil to 4 cups of boiling water. When the water begins to boil rapidly, add the drained rice. Cook until it is done al dente or 90% cooked, not mushy. Drain off the rice to colander and set aside. 6. Pour ghee to the biryani pot or pan. You may use the same ghee you used for frying onions. Add green chilies, bay leaf, cardamoms, cinnamon, cloves, shahi jeera and star anise. 7. When the spices begin to splutter, add the marinated potatoes along with the yogurt, cook till the oil begins to separate and potatoes are tender, just cooked and not mushy. At the end a thick gravy should be remaining. Lower the flame. 8. On another burner, heat a tawa for dum process. 9. Sprinkle coriander and mint leaves to the cooked mixture. Layer rice evenly, then the remaining fried onions, again the coriander and mint leaves, pour the saffron milk evenly all over. 10. Seal the rim with an airtight lid or foil, for the steam to be trapped inside. 11. Transfer the potato biryani pot to the hot tawa. Cook for 10 to 12 mins on a medium to low flame. Switch off the stove. Leave the pan covered for another 10 to 20 minutes for the flavors to enhance. 12. Serve aloo dum biryani with a raita."
Aloo Chana (Kurma Style Chickpea Potato Curry),Unclassified,South,web,https://www.indianhealthyrecipes.com/aloo-chana/,27,9,"2 cup boiled chickpeas, 1 potatoes, 3 tablespoons oil, 1 cup onions, 1.5 green chilies, 1 tablespoon ginger garlic paste, 0.75 cup tomatoes, 2.5 tablespoons mint leaves, 0.3333333333333333 cup yogurt, 0.25 teaspoon turmeric, 0.875 teaspoon Kashmiri red chili powder, 0.875 teaspoon garam masala, 1 teaspoon salt, 2 tablespoons coriander leaves, 0.75 cup water stock, 0.5 cup water, 0.3333333333333333 cup raw coconut, 1 cashew nuts, 1 teaspoon fennel seeds, 0.5 cup water, 1 bay leaf, 1 star anise, 1 strand mace, 0.5 teaspoon shahi jeera, 3 green cardamoms, 3 cloves 3 cloves, 3 inch cinnamon piece","1. Add coconut, cashews, fennel seeds and water to a small grinder and make a smooth paste. Keep aside. 2. Heat oil a pan or instant pot (on sauté mode) and add the whole spices. When they begin to sizzle, add curry leaves and onions. 3. Saute until they turn golden. Add ginger garlic and green chili. Saute for 1 minute and add tomatoes. Cook until the tomatoes break down to a mush. 4. Stir in the salt, turmeric, chili powder and garam masala. Add mint leaves and saute until aromatic for 1 to 2 mins. 5. Add yogurt and cook down for 2 to 3 mins. Mix in boiled chickpeas, potatoes, stock/water and coconut. (Note use boiled potatoes if using a normal pan/pot & use raw potatoes only to cook in IP). 6. Stovetop: Bring it to a gentle boil. Cover and simmer for 6 to 8 mins, until thick and aromatic. If it turns too thick, add a splash of hot water. 7. Instant pot: Pour half cup water. Cover the Instant pot and pressure cook for 5 mins. The IP beeps when it is done, press cancel and wait for 2 mins. Gently release the pressure manually. 8. Aloo chana is done when the chickpeas and potatoes are tender and very soft. The gravy is slightly runny at this stage but turns thick after cooling. Taste test and add more salt or garam masala or kasuri methi if you want. 9. Garnish Aloo Chana with chopped coriander leaves. Serve with plain rice, ghee rice, pulao, chapati, roti or dosa."
Aloo Masala (Potato Masala Recipe),Unclassified,South,web,https://www.indianhealthyrecipes.com/potato-masala-aloo-masala/,14,23,"2 cups potatoes, 1 medium onions, 0.5 tablespoon ginger, 0.625 teaspoon Salt, 2 tablespoon oil, 0.375 teaspoon mustard seeds, 0.5 teaspoon cumin seeds, 1 teaspoon chana dal, 1 teaspoon urad dal, 1 sprig curry leaves, 1.5 green chilies, 0.25 teaspoon turmeric, 1 Pinch hing, 2 tablespoons coriander leaves","1. Boil potatoes either in a pot or pressure cooker. 2. If cooking in a pot, bring water to a boil and add the diced potatoes. Cook them just until done or fork tender and not mushy. OR If cooking in a pressure cooker, add the potatoes to a bowl and pour little water. Cover and pressure cook for 3 whistles on a medium flame. 3. Ensure potatoes are just cooked and not very soft or mushy. 4. Heat oil in a pan and add mustard and cumin. 5. When they begin to splutter, add chana dal and urad dal. Fry until golden and then add hing. 6. Then add ginger and saute for 30 to 60 seconds until aromatic. 7. Optional step to soften the dal - Pour 2 to 3 tablespoons water to the pan and cook until the dal turns soft. This is an optional step done to soften the dal. Ensure you evaporate all of the water before going to the next step. 8. Add onions, green chili and curry leaves. Saute till the onions turn transparent. 9. Once the onions turn transparent, add potatoes, turmeric and salt.. 10. Mash slightly and add very little water or potato boiled stock to make the entire potato masala moist. Stir and cook for one to 2 mins. Taste test and add more salt if needed. 11. Add coriander leaves. Stir. Serve potato masala with dosa, puri, chapati, bread or rice. 12. Press SAUTE button and pour oil to the inner pot of the instant pot. 13. Add mustard, cumin, chana dal & urad dal. Fry all of these until the dals turn golden. 14. Then add curry leaves, onions and green chilies. 15. Saute onions well until they turn transparent or pink. Add ginger and fry for 30 seconds. 16. Transfer the diced potatoes (1 inch cubes), add salt, turmeric and pour ⅓ cup (80 ml) water. 17. Press CANCEL button. Deglaze the pot by scrubbing the bottom with a spatula to release bits of food stuck. 18. Secure the instant pot with the lid. Position the steam release handle or vent to sealing. 19. Next press PRESSURE COOK button and set the timer to 4 mins (high pressure). 20. When the instant pot is done, press cancel. Release the pressure manually by moving the steam release handle from sealing to venting. 21. If there is any excess moisture left, evaporate it in the saute mode first. 22. Give a good stir and lightly mash only after the excess moisture has evaporated. Add more salt if needed. Garnish with coriander leaves. 23. Serve potato masala with dosa, sandwiches, roti or even in wraps."
