recipe_id,title,state,region,primary_source_type,primary_source_url,dataset_source_names,dataset_source_urls,dataset_ingestion_run_ids,latest_dataset_ingested_at,ingredient_count,step_count,ingredients,instructions
1033,Authentic Besan Ladoo Recipe,Unclassified,Unclassified,web,https://www.indianhealthyrecipes.com/besan-ladoo-recipe-besan-laddu/,dataset.indian_raw_recipes,https://www.indianhealthyrecipes.com/besan-ladoo-recipe-besan-laddu/,82,2026-07-10 15:20:58.617550,22,19,"▢, 2 cups 2 cups (220 grams), besan, (gram flour), ▢, 0.5 cup ½ cup (100 grams), ghee, (clarified butter), ▢, 1 cup 1 cup (200 grams), sugar, (or boora shakkar or powdered jaggery, read notes), ▢, ⅔, teaspoon teaspoon, green cardamom powder, (4 to 6 cardamoms/elaichi crushed/powdered), ▢, 3 to 4, tablespoons tablespoons, cashews, chopped","1. Powder Sugar: 2. Add sugar and cardamom powder to a grinder jar and grind to a very fine powder. Keep aside. 3. Fry Nuts: 4. Heat a pan with 1½ tablespoons ghee and fry the cashews until lightly golden. Remove to a small bowl. 5. Roast Besan: 6. Add besan and roast on a medium flame for 5 to 6 mins, until it begins to change the color & smell slightly aromatic. Reduce the heat to lowest and add rest of the ghee. 7. Deep Roast: 8. Mix well and keep roasting on a low flame. stirring continuously to prevent burning. Besan absorbs the ghee and turns to a mass at this stage. Just continue to roast, stirring constantly, until it begins to turn deep golden in color and aromatic. 9. Finishing Stage: 10. Turn off the stove when your kitchen is filled with a aroma indicating the flour is well roasted. It also turns airy and fluffy. It took me 25 mins to reach this stage. Timing may vary depending on the kind of pan and intensity of heat used. 11. Cool Down: 12. Remove the pan quickly from the stove and stir for another 2 to 3 mins to cool down. Taste test little to make sure it is nutty and not raw. 13. Prepare the Mixture: 14. Cool down the besan completely and mix in the powdered sugar (start with lesser for low sweet) until well combined. (see pictures in the post) 15. Shape Besan Ladoo: 16. Stir in the fried cashews. 17. Pinch off portions of this to your palm and press down with your fingers to shape them round like balls. (Check video) 18. Storage: 19. Store besan ladoo in a air tight jar at room temperature and use within 3 weeks. Or Refrigerate up to 2 to 3 months. Reheat them in microwave for 15 to 20 seconds or in the oven at 80 C or 160 F for a few minutes until they become warm."
1083,Baingan Bharta Recipe (Eggplant Bharta),Unclassified,Unclassified,web,https://www.indianhealthyrecipes.com/baingan-bharta/,dataset.indian_raw_recipes,https://www.indianhealthyrecipes.com/baingan-bharta/,82,2026-07-10 15:21:02.317819,61,19,"▢, 5 grams 500 grams (1.1 lbs.), eggplants, (1 large baingan), ▢, 4, medium, garlic cloves, (may omit if you don't want), ▢, 1 to 2, green chilies, (slit, adjust to taste, may omit if you don't prefer), ▢, 1, teaspoon teaspoon, oil, (mustard oil or any other), ▢, 1 1 ½, tablespoons tablespoons, oil, (mustard oil or any other), ▢, 0.5 cup ½ cup (130 grams), onions, (chopped), ▢, 0.75 cup ¾ cup (200 grams), tomato, (deseeded & chopped), ▢, 3, large, garlic cloves, (fine chopped), ▢, 0.5 to, inch inch, ginger, (fine chopped), ▢, ½, teaspoon teaspoon, Kashmiri red chilli powder, (adjust to taste), ▢, 0.25 to, teaspoon teaspoon, garam masala, (start with lower amount, read notes), ▢, ¾, teaspoon teaspoon, salt, (adjust to taste), ▢, 2, tablespoon tablespoon, coriander leaves, (fine chopped)","1. Rinse eggplants well under running water and wipe dry with a kitchen tissue. Make 4 slits on the brinjal. If you want to use the garlic & chili – push the garlic cloves deep inside 2 slits. Also push the slit green chilies in the other 2 slits. Brush them with oil. 2. On Direct Fire 3. : With the help of a tong, place it on direct fire. You can do it either on the red hot coal or stovetop. Keep turning it to all the other sides and grill until it is done completely roasted & cooked through. It takes about 12 to 14 mins. 4. To grill in oven 5. : Line a metal tray with foil. Cut each eggplant to 2 parts and place them on the tray with the skin side on top. You can also place the tomatoes in the same tray. Broil/Grill them at 460 F or 240 C for 16 to 20 mins. 6. In air fryer 7. : Place baingan, chilies, garlic and tomatoes in the air fryer basket. Air fry at 400 F or 200 C. It takes roughly about 22 mins for the whole eggplant, 16 mins if you halve the eggplant & air fry. 8. Once done, check by inserting a fork into the eggplant. It should go in smoothly & easily meaning it is soft and cooked well. (Check step-by-step photos above) 9. Cool the eggplant and peel the skin. 10. Optionally 11. – Transfer the eggplant to a bowl and cover it for 5 mins. Once done remove the skin. 12. Mash or chop the eggplant, grilled garlic and green chilies. Keep these aside. Peel and chop the tomatoes, onions and raw garlic as well. 13. Pour oil to a hot pan. When the oil turns hot, add chopped ginger and garlic. Saute for 30 to 60 seconds until aromatic. 14. Stir in the chopped onions and saute until they turn light golden, for 6 to 7 mins. 15. Add tomatoes and salt. Cook until they become soft for 5 to 6 mins. Add red chili powder and cook for a few minutes until the raw smell from the tomatoes is gone, for 1 to 2 mins. 16. Stir in the mashed eggplants, garlic and green chilies. (You may want to save half of the green chilies for later after taste testing) 17. Mix and mash it a bit to blend well. Saute for 7 to 8 minutes on a medium heat & stir in the garam masala if using. Turn off the stove. 18. Taste test and add more salt and green chili if required. Garnish with coriander leaves. If you like squeeze some lemon juice. 19. Serve baingan bharta with roti, rice or naan."
639,"Basmati Rice Recipe, How to Cook Basmati Rice",Unclassified,Unclassified,web,https://www.indianhealthyrecipes.com/basmati-rice/,dataset.indian_raw_recipes,https://www.indianhealthyrecipes.com/basmati-rice/,82,2026-07-10 15:21:03.672860,19,15,"▢, 1, cup cup, aged basmati rice, ▢, 2, cups cups, water, reduce by cup if using new rice, ▢, ½, teaspoon teaspoon, oil, or ghee, ▢, 0.25 to, teaspoon teaspoon, salt, (optional)","1. Add basmati rice to a bowl and rinse thrice. Drain the water. 2. Soak the rice for a minimum of 15 minutes and drain to a colander/ strainer. Shake off gently to get rid of excess water. Avoid soaking if using new harvested rice. 3. Pour water to a heavy bottom pot and add salt, ghee or oil (optional). If you want you may add whole spices like star anise, cinnamon, cloves, cardamoms and cumin seeds. 4. Bring the water to a rolling boil on a high heat and then add the drained rice. You will see the temperature falls after adding rice, so let the water come back to a rolling boil on a high heat. 5. Reduce the heat to lowest and cover the pot. Cook till all of the water is absorbed, for 10 to 11 minutes. 6. Do not stir while the rice is cooking. If you see the rice bubbling and frothing up, simply open the lid 1 to 2 times before it overflows and cover back. 7. Insert a rice paddle to the bottom of the pot to check if all of the water is absorbed. Turn off when the water is completely absorbed and the rice is cooked through. 8. Cover and let rest for 10 to 15 minutes on the hot burner (stove turned off). 9. Reduce the heat to medium or medium-high so the water does not over-flow. But it is important to keep the water boiling constantly until the rice is cooked through. 10. Place a large pot under the colander or simply place your colander in the clean kitchen sink. When the rice is cooked al dente drain to the colander. 11. Transfer the rice back to the pot and cover it immediately. Let rest on the hot burner (stove turned off) for 5 to 7 mins. 12. Your fluffy and perfectly cooked basmati rice is ready. 13. Heat ghee in a wide pot and add the drained rice (completely no water). Increase the heat to high and stir fry the rice occasionally for 2 to 3 mins. 14. Pour water and bring it to a rolling boil. Reduce the heat and cover the pot. Let cook until all of the water is absorbed. 15. You have the fulffy basmati rice under 10 minutes."
805,Bengali Cholar Dal,West Bengal,East,dataset,file://data/datasets/multisource/datasets/structured_indian_recipes.csv#row=2,dataset.default | recipes.source_type=dataset,file://data/datasets/multisource/datasets/structured_indian_recipes.csv#row=2,60,2026-07-07 13:32:25.321936,6,5,"1 cup chana dal, 1 tbsp ghee, 1 tsp cumin, 1 tsp ginger, 2 tbsp coconut, 1 pinch salt",1. Soak chana dal and cook until tender 2. Heat ghee and add cumin 3. Add ginger and coconut and saute briefly 4. Add cooked dal and salt 5. Simmer until thick and aromatic
1032,Besan Burfi Recipe,Unclassified,Unclassified,web,https://www.indianhealthyrecipes.com/besan-burfi/,dataset.indian_raw_recipes,https://www.indianhealthyrecipes.com/besan-burfi/,82,2026-07-10 15:20:46.923657,32,18,"▢, 210, grams grams, besan, (2 cup gram flour), ▢, 2, tablespoon tablespoon, semolina, (fine suji, refer notes), ▢, 120, grams grams, ghee, (½ cup + 1 ½ tbsps), ▢, ¾, teaspoon teaspoon, cardamom powder, ▢, 200, grams grams, sugar, (1 cup), ▢, ½, cup cup, water, ▢, 12, almonds, or pistachios","1. Grease a 7 inch pan and line it with a parchment paper. You can also use a steel plate. Slice handful of almonds or pistachios and keep aside. 2. Heat ghee in a large heavy bottom pan. Add semolina and let it fry for about 50 to 60 seconds. 3. Then add besan and mix well with the ghee. Begin to roast stirring continuously on a medium heat for 3 to 4 mins. At this stage the mixture will be thick. 4. Next after 3 to 4 mins, reduce the flame/heat to lowest (as low as possible) & continue to stir. As it gets fried, the mixture will turn thinner and the ghee begins to release from the besan. 5. Continue to fry stirring constantly until besan turns deep golden color and begins to smell aromatic. After frying for 20 mins, the color of the besan changes to deep golden, meaning it is done roasting. It will also turn fluffy, light, airy and very aromatic. 6. Note: Depending on the kind of besan and ghee used, your mixture may turn runny but it is not essential. If your besan is not runny at this stage, don't panic as some times it will never turn runny. It may remain in a solid or semi solid state. 7. Remove it from the stove and place it on the counter. Continue to stir for another 3 mins as we don't want the mixture to burn. Cool little besan and taste test it, it should not taste raw and should be nutty. Set this aside to cool down slightly. 8. Add sugar and pour water to a pot. Stir well and dissolve it. Begin to cook on a medium heat. 9. Let it bubble and boil until the syrup reaches a 1 string consistency. 10. Lower the flame completely and check the consistency. Take ¼ teaspoon sugar syrup from the center of the pot and cool it. 11. Take a few drops of this in between your thumb and forefinger. When you separate the fingers, you should see a single long thread. Turn off the stove immediately. 12. Check this 2 to 3 times to ensure it is right. Check the step-by-step photos above. Cool the sugar syrup a bit to slightly hot temperature. 13. Ensure besan has cooled down to slightly hot or warm temperature but the ghee is not solidified. The syrup is slightly hot & not boiling hot. If you put your finger in the syrup, you should feel it is hot and not warm. Check the picture in the step by step photo instructions so you don't go wrong at this stage. The syrup has to be all liquid and still hot. 14. Add cardamom powder to the besan and then pour half of the sugar syrup. 15. Quickly mix both of them and then pour the rest of the syrup. Mix well. You have to be quick at this stage as the mixture will begin to thicken fast. 16. Immediately pour to the greased tray. Level it with the spatula and sprinkle chopped nuts. Press down with the spatula so the nuts stick to the besan burfi. 17. It will begin to set immediately as it cools down depending on the temperature in your home. Mine took about 10 mins to cool down and set. Cut the burfi when it is slightly warm. 18. Transfer the besan burfi to a air tight jar. Store at room temperature and use up within 2 weeks."
1162,Butter Naan Recipe,Unclassified,North,web,https://www.indianhealthyrecipes.com/naan/,dataset.indian_raw_recipes,https://www.indianhealthyrecipes.com/naan/,82,2026-07-10 15:21:14.068293,58,20,"▢, 2 cups 2 cups (250 grams), all-purpose flour, (or 1 cup wheat flour + 1 cup all-purpose flour), ▢, 0.5 cup ½ cup (120 ml), yogurt, (curd), ▢, 6 to 8, tablespoons tablespoons, luke warm milk, (¼ cup + 2 tbsps) (may need more), ▢, 2, tablespoons tablespoons, oil, or melted butter, ▢, 2, teaspoons teaspoons, sugar, ▢, 0.5 to, teaspoon teaspoon, salt, (adjust to taste), ▢, 1 1 to 1 ½, teaspoon teaspoon, garlic, (optional), ▢, ½, teaspoon teaspoon, baking powder, ▢, ¼, teaspoon teaspoon, baking soda, ▢, 5 to 6, garlic cloves, sliced, ▢, 3, tablespoons tablespoons, melted butter, ▢, ¼, cup cup, coriander leaves, finely, ▢, 1, tsp tsp, kalonji seeds, (optional)","1. To a mixing bowl add flour, baking powder, baking soda, salt, sugar and grated garlic . (If using instant yeast in place of baking powder and baking soda add it now. To use dry active yeast, refer notes.) 2. Pour yogurt, oil and 4 tbsps luke warm milk. Begin to mix to form a smooth dough adding more warm milk as needed. You may need up to half cup milk. 3. Knead well until the dough turns soft, elastic & pliable. When you press down the dough with your finger, it should dent easily. 4. Optionally you can cover and rest the dough for 1 to 2 hours in a warm place. You can also make them instantly like I made here. (For yeast dough, rest in a warm place for 2 hours or until the dough rises & doubles, Then punch the dough one to 2 times to deflate slightly). 5. Grease your fingers and divide the dough to 6 to 8 parts depending on the size you prefer. 6. Make smooth balls and keep them covered until you finish rolling the naans. 7. Sprinkle little flour on the rolling area and place a dough ball. 8. Roll the ball to 8 to 9 inches long and 5 to 6 inches wide depending on the size of the dough ball. 9. Sprinkle kalonji seeds, sliced garlic and coriander leaves. Press down or roll them gently. 10. When you are done with 5 to 6 naans, begin to heat a griddle or pan. 11. Ensure the pan is hot enough, then transfer the naan to it. Within a minute or so bubbles will be visible on top. 12. With the help of a tong, flip it and cook either on the pan or directly over the gas fire or stove. Or place a wired rack on the stove and toast it. (check video or step by step photos). 13. When you see brown spots on the naan, remove them to a plate and brush with some butter. Ensure it is cooked through on both the sides well. 14. Smear some butter on top and serve naan right away with 15. paneer butter masala 16. , 17. dal makhani 18. , 19. butter chicken 20. or any other curry."
1187,Chana Masala Recipe (Chickpea Masala),Unclassified,Unclassified,web,https://www.indianhealthyrecipes.com/chana-masala/,dataset.indian_raw_recipes,https://www.indianhealthyrecipes.com/chana-masala/,82,2026-07-10 15:21:45.397483,95,18,"▢, 1, cup cup, chana, (dried raw chickpeas) (or 3 cups soaked or 2 - 15 oz cans), ▢, 1 1 ½, cups cups, water, (to pressure cook, + more to make gravy), ▢, 2, tablespoon tablespoon, oil, or as needed, ▢, 1, small, bay leaf, (optional), ▢, 1, inch inch, cinnamon, (optional), ▢, 2, cloves cloves, (optional), ▢, 2, green cardamoms, (optional), ▢, 1 1 ½, cups cups, onions, (fine chopped, 2 large), ▢, 1, green chili, slit, ▢, 0.75 to 1, tablespoon tablespoon, ginger garlic paste, (or ½ tbsp each fine chopped), ▢, 1 1 ½, cups cups, tomatoes, (fine chopped, 3 large or 1 ½ cups tomato puree or whole peeled tomatoes), ▢, ¾, teaspoon teaspoon, salt, (+ more to adjust to taste), ▢, ¼, teaspoon teaspoon, turmeric, ▢, 1 1 ½, teaspoons teaspoons, Kashmiri red chili powder, (adjust to taste), ▢, 1, teaspoon teaspoon, garam masala, (adjust to taste), ▢, 2, teaspoon teaspoon, coriander powder, ▢, ½, teaspoon teaspoon, cumin powder, (optional), ▢, 1, teaspoon teaspoon, kasuri methi, (dried fenugreek leaves) (optional), ▢, ¼, teaspoon teaspoon, amchur, (dried mango powder) (optional), ▢, 2, tbsp tbsp, coriander leaves, (cilantro chopped finely)","1. Rinse dried chickpeas at least thrice. Soak them in 3 ½ to 4 cups of water overnight or for at least 8 hours. 2. Drain the water and rinse them well. Pour water and pressure cook for 5 to 6 whistles on a stovetop cooker. You may also cook in an instant pot for 18 minutes on a high pressure. Let the pressure drop naturally. 3. Make sure your chickpeas are soft and tender. Squeeze a chickpea to test, it should get mashed fully. If not cook them for a little longer. 4. Heat a large pot and pour oil. When the oil turns slightly hot, add the whole spices – cinnamon, cloves, cardamoms and bay leaf. 5. When they begin to sizzle add the onions and green chili. Saute until they turn light golden. 6. Add ginger garlic paste and saute for a minute without burning. 7. Add tomatoes and salt. Let cook until mushy, pulpy and thick. 8. Stir in red chilli powder, turmeric, garam masala, coriander powder and cumin powder. Saute until the masala begins to smell good, for about 3 to 4 mins. 9. Optional – If you want a smooth curry, cool this, discard the bay leaf, green chili and cinnamon. Blend in a blender to a smooth or coarse paste to suit your liking. I prefer to blend in 2 tbsps cooked chana along with the onion tomato masala. Add that puree back to the pan. 10. Add the chana along with the chana stock or water (1¼ cups). Pour another ¾ to 1 cup water. 11. If you don't puree the onion tomato masala, you will require lesser water. 12. If using canned chickpeas, drain and rinse them before adding with 1¾ cups water. 13. Mix well. Taste test and add more salt. Cover and simmer for 15 minutes. 14. When the consistency is thick (check pics), add amchur powder (optional) and kasuri methi. 15. Garnish Chana masala with coriander leaves. Sprinkle some lemon juice if required. Serve with 16. Basmati Rice 17. , Jeera Rice, Naan or Chapati. 18. To make the recipe in Instant pot, make the onion tomato masala on saute mode. Optionally If you want you may cool and blend this. Add the soaked chickpeas with 2 cups water. Deglaze and Pressure cook on high for 35 minutes. When the pressure drops, open the lid. Cook on a saute mode for a few minutes until thick. Add kasuri methi and amchur."
1011,Chicken Curry Recipe,Unclassified,Unclassified,web,https://www.indianhealthyrecipes.com/chicken-curry/,dataset.indian_raw_recipes,https://www.indianhealthyrecipes.com/chicken-curry/,82,2026-07-10 15:20:47.799833,77,17,"▢, 0.5 kg ½ kg (1.1 lbs.), chicken, (preferably bone-in, boneless is okay), ▢, 2 to 3, tablespoons tablespoons, oil, ▢, 1 cup 1 cup (3 medium), onions, (fine chopped), ▢, 1 to 2, green chilies, (slit, omit for less spicy, Thai or Indian chili peppers or serrano peppers), ▢, 1, tablespoon tablespoon, ginger garlic paste, or inch ginger 3 cloves garlic minced, ▢, 0.5 cup ½ cup (2 medium), tomatoes, (pureed or finely chopped), ▢, ¼, cup cup, yogurt, (or 1 ½ tbsp cashew butter or 12 cashews powdered & pureed with ¼ cup water, refer notes), ▢, 0.5 to, teaspoon teaspoon, salt, (adjust as needed), ▢, 0.5 to 1, cup cup, water, (or light coconut milk), ▢, 2, tablespoons tablespoons, coriander leaves, or mint leaves finely chopped, ▢, ¼, teaspoon teaspoon, turmeric powder, ▢, 1, teaspoon teaspoon, Kashmiri red chili powder, or smoked paprika, ▢, 1, teaspoon teaspoon, garam masala, (½ tsp more if needed, adjust to taste), ▢, 1, teaspoon teaspoon, coriander powder, ▢, 1, bay leaf, or 1 sprig curry leaves, ▢, 4, cloves cloves, ▢, 2, inch inch, cinnamon piece, ▢, 3, green cardamom","1. On a medium flame, heat oil in a deep pan. Add the whole spices – bay leaf, cinnamon, cloves & green cardamoms. 2. Stir in the chopped onions and chilies. Saute until deep golden in color, for 7 to 8 mins. 3. Add ginger garlic paste and saute till you get a nice aroma, for about a minute. 4. Then add tomatoes, turmeric and salt. Mix well and cook until the tomatoes turn soft & mushy. 5. Turn down the heat to low, Stir in the yogurt (or cashew paste), red chili powder, garam masala & coriander powder. 6. Cook on low heat, until the mixture smells good and aromatic. 7. Add chicken and coriander leaves. Fry on a medium heat till the chicken turns white or pale in color. This takes around 3 mins. 8. Cover and cook on a low heat for 3 to 4 minutes. This step is very important as the chicken absorbs all the flavors of the spices. 9. Meanwhile in a separate pot, heat up 1 cup water. Using cold water most times toughens the chicken so it is good to use hot water. 10. Pour hot water just enough (about ½ cup) to make a thick gravy. As you cook, chicken lets out plenty of moisture, depending on that add more water. Check the pictures in the post for consistency. 11. Cover and cook on a medium flame till the chicken is soft cooked and the curry/gravy turns thick. When the chicken is cooked completely it will fall off the bone easily. 12. Taste the curry & add more salt if needed. You can also add another ½ tsp garam masala at this stage if you feel it is less in flavors. 13. Lastly garnish with coriander leaves, cover and off the heat. Serve chicken curry with 14. butter naan 15. or 16. jeera rice 17. ."
1008,Chicken Madras Curry,Unclassified,Unclassified,web,https://www.indianhealthyrecipes.com/chicken-madras-curry/,dataset.indian_raw_recipes,https://www.indianhealthyrecipes.com/chicken-madras-curry/,82,2026-07-10 15:20:49.729203,100,9,"▢, 1.1 lbs, grams grams, chicken, breasts thighs, ▢, 1, tablespoon tablespoon, ginger garlic, crushed, ▢, 2, tablespoons tablespoons, coriander leaves, (handful leaves fine chopped), ▢, 1 1 ½, tablespoon tablespoon, lemon juice, ▢, 0.5 to 1, teaspoon teaspoon, Kashmiri red chili powder, (omit for low heat), ▢, ½, teaspoon teaspoon, sea salt, ▢, 1, tablespoon tablespoon, Madras curry powder, ▢, 1, teaspoon teaspoon, garam masala, (more if needed), ▢, 3, tablespoons tablespoons, ghee, (divided or use ½ ghee & ½ oil), ▢, 1 cup 1 cup (100 grams), onions sliced, ▢, 0.5 inch ½ inch (4 grams), ginger, (peeled and sliced), ▢, 3 3 (7 ½ grams), medium, garlic cloves, sliced, ▢, 1.75 cups 1 ¾ cups (200 grams), tomatoes, sliced, ▢, 0.3333333333333333 cup ⅓ cup (35 to 50 grams), carrots, sliced, ▢, 0.3333333333333333 cup ⅓ cup (35 to 50 grams), red bell pepper, sliced, ▢, 1 1 ½, cups cups, water, (divided, 1 + ½ cup hot water), ▢, 1, tablespoon tablespoon, Madras curry powder, ▢, 0.5 to 1, teaspoon teaspoon, Kashmiri chili powder, (adjust to taste or omit for low heat), ▢, 0.75 ½ to 1 ½, tablespoon tablespoon, tamarind paste, (or chutney or 1 tsp concentrate or lemon juice, adjust to taste, read notes), ▢, 0.5 to 1, tablespoon tablespoon, sugar, or jaggery, ▢, ¼, teaspoon teaspoon, salt, (adjust to taste), ▢, ½, cup cup, coconut milk, (optional, at room temperature)","1. Marinate chicken with lemon juice, curry powder, chili powder (omit for low heat), garam masala, ginger garlic, coriander leaves and salt. Keep aside until the sauce is ready. 2. Pour half of the oil/ghee to a pot and saute the onion, carrots, ginger & garlic for 5 mins. 3. Add tomatoes and bell peppers. Saute for 2 to 3 mins and pour 1 cup water. Cover and cook until the veggies are fully cooked through and mushy. 4. Cool down & transfer to a blender. Blend to a smooth puree. 5. Pour the rest of the ghee to the pan and add marinated chicken. Saute for 5 mins on a medium heat. Stir in the curry powder, salt and chili powder. 6. Transfer the onion tomato base curry sauce and mix well. Pour hot water & mix well. Cover and cook until the chicken is fork tender for another 5 to 8 mins. 7. Stir in lower amount of tamarind/ chutney, sugar & mix well (if using lemon, add at the time of serving). Taste test and add more salt, sugar, tamarind or garam masala to taste. It should be hot, spicy, slightly sweet and tangy. 8. If it is too hot, turn down the heat and pour the coconut milk. Bring it to a gentle boil and turn off. 9. Sprinkle coriander leaves and serve hot with rice or chapati or roti."
1009,Chicken Vindaloo (Restaurant Style),Goa,West,web,https://www.indianhealthyrecipes.com/chicken-vindaloo/,dataset.indian_raw_recipes,https://www.indianhealthyrecipes.com/chicken-vindaloo/,82,2026-07-10 15:20:50.809021,84,16,"▢, 1 1 ½, teaspoon teaspoon, cumin, (or 1 teaspoon ground cumin), ▢, 2, inches inches, Ceylon cinnamon, (or ¼ teaspoon ground cinnamon), ▢, 6, cloves cloves, (⅓ teaspoon ground cloves), ▢, 10, black pepper corn, (or ½ to ¾ crushed black pepper), ▢, ½, teaspoon teaspoon, mustard seeds, (or ¼ teaspoon ground mustard), ▢, 1 1 ½, tablespoons tablespoons, coriander seeds, (or 1 tablespoon ground coriander), ▢, 2, green cardamoms, (optional, ¼ teaspoon ground cardamom), ▢, 20, Kashmiri red chilies, soaked in vinegar cup hot water for 10 mins, ▢, 0.29166666666666663 cup ¼ to ⅓ cup (60 to 80 ml), vinegar, (malt/goan/red wine/ apple cider), ▢, 1 10 (25 grams), garlic cloves, (or 2 tablespoons fine grated), ▢, 1.5 inch 1 ½ inch (25 grams), ginger, (or 2 tablespoons fine grated), ▢, 2 lbs, skinless bone-in chicken, (or 1 ½ lbs. boneless chicken), ▢, ½, teaspoon teaspoon, turmeric, ▢, 0.75 to 1, teaspoon teaspoon, sea salt, ▢, 3, tablespoons tablespoons, oil, (I use coconut oil), ▢, 2 cups 2 cups (250 grams), onions, (2 medium, fine chopped or processed), ▢, 2, small, tomatoes, (optional) (pureed), ▢, 1, teaspoon teaspoon, sugar, (optional), ▢, 0.25 to, cup cup, water, (adjust as required)","1. Option 1 with whole spices 2. – Grind cumin, pepper, cinnamon, cloves, mustard, cardamoms and coriander to a fine powder. Add the garlic, ginger & soaked red chilies along with the liquid. Grind to a smooth paste. 3. Option 2 with ground spices 4. – Add all the ground spices, red chili powder, grated garlic & ginger to a bowl. Pour vinegar and water only as required to make a thick paste. 5. Marinate chicken with the prepared vindaloo paste, salt and turmeric. Cover and set aside for a minimum of 1 hour to overnight in the refrigerator. If using bone-in chicken, don’t rest longer than 2 to 3 hours. 6. Heat oil in a wide pan/skillet and add the onions. Saute on a medium heat till golden, for about 9 to 10 mins. Deglaze the pan with 2 tablespoons water (or 1 tbsp vinegar + 1 tbsp water). Cook down for 2 to 3 mins until jammy. 7. Stir in the marinated chicken and saute on a medium heat for 4 to 5 mins. Mix in the tomato puree if using and cook for another 4 mins. 8. Cover and simmer until the chicken is cooked through and the sauce is thick. If the pan dries out in between, pour ¼ to ½ cup hot water. I use about ½ cup but it may be different for you. 9. If your chicken vindaloo is runny, evaporate the excess moisture by cooking further. It thickens a bit more upon cooling. Taste test and add more salt or sugar to balance the tang. 10. Chicken Vindaloo tastes best the next day. Refrigerate for the flavors to develop & reheat before serving. Steamed rice, 11. Saffron rice 12. , poee (Goan bread) or any kind of artisan breads or flatbreads like 13. Naan 14. or 15. Tandoori roti 16. go well with this."
