name,source,source_url,servings,prep_time_min,cook_time_min,total_time_min,image_url,ingredients_json,cook_steps
Vendha Kollu,eat_by_state_web,https://www.eatbystate.com/dishes/vendha-kollu,4,15,25,40,/images/dishes/vendha-kollu.jpg,"[{""raw_text"": ""300g Main vegetable or grain"", ""source_position"": 1}, {""raw_text"": ""1piece Onion, chopped"", ""source_position"": 2}, {""raw_text"": ""1piece Tomato, chopped"", ""source_position"": 3}, {""raw_text"": ""30ml Oil or ghee"", ""source_position"": 4}, {""raw_text"": ""5g Mustard seeds"", ""source_position"": 5}, {""raw_text"": ""3g Turmeric powder"", ""source_position"": 6}, {""raw_text"": ""5g Red chilli powder"", ""source_position"": 7}, {""raw_text"": ""8g Salt"", ""source_position"": 8}, {""raw_text"": ""15g Fresh coriander leaves"", ""source_position"": 9}]","[{""step_number"": 1, ""instruction"": ""Wash and prepare all vegetables or grains as needed.""}, {""step_number"": 2, ""instruction"": ""Heat oil or ghee in a pan. Add mustard seeds and let them splutter.""}, {""step_number"": 3, ""instruction"": ""Add onions and cook until translucent.""}, {""step_number"": 4, ""instruction"": ""Add tomatoes if used, cook until soft.""}, {""step_number"": 5, ""instruction"": ""Add spices — turmeric, red chilli powder, and salt.""}, {""step_number"": 6, ""instruction"": ""Add the main ingredient and mix well with the masala.""}, {""step_number"": 7, ""instruction"": ""Cook covered on low heat until tender, stirring occasionally.""}, {""step_number"": 8, ""instruction"": ""Garnish with fresh coriander and serve hot.""}]"
Tuna Thoran,eat_by_state_web,https://www.eatbystate.com/dishes/tuna-thoran,4,15,30,45,/images/dishes/tuna-thoran.jpg,"[{""raw_text"": ""500g Protein (chicken/mutton/fish/prawn)"", ""source_position"": 1}, {""raw_text"": ""2piece Onion, finely sliced"", ""source_position"": 2}, {""raw_text"": ""2piece Tomatoes, chopped"", ""source_position"": 3}, {""raw_text"": ""30g Ginger-garlic paste"", ""source_position"": 4}, {""raw_text"": ""60ml Oil"", ""source_position"": 5}, {""raw_text"": ""4g Turmeric powder"", ""source_position"": 6}, {""raw_text"": ""8g Red chilli powder"", ""source_position"": 7}, {""raw_text"": ""8g Coriander powder"", ""source_position"": 8}, {""raw_text"": ""5g Garam masala"", ""source_position"": 9}, {""raw_text"": ""10g Salt"", ""source_position"": 10}, {""raw_text"": ""20g Fresh coriander leaves"", ""source_position"": 11}]","[{""step_number"": 1, ""instruction"": ""Clean and marinate the protein with turmeric, salt, and half the red chilli powder for 20 minutes.""}, {""step_number"": 2, ""instruction"": ""Heat oil in a heavy pan. Add onions and fry until golden brown.""}, {""step_number"": 3, ""instruction"": ""Add ginger-garlic paste and cook for 2 minutes until the raw smell disappears.""}, {""step_number"": 4, ""instruction"": ""Add tomatoes and cook until they soften and oil begins to separate.""}, {""step_number"": 5, ""instruction"": ""Add remaining spices — coriander powder, remaining chilli powder, garam masala.""}, {""step_number"": 6, ""instruction"": ""Add the marinated protein and stir well to coat with the masala.""}, {""step_number"": 7, ""instruction"": ""Cook on high heat for 5 minutes, then reduce to medium and cook until done.""}, {""step_number"": 8, ""instruction"": ""Add water if needed for gravy consistency. Simmer for 10 minutes.""}, {""step_number"": 9, ""instruction"": ""Finish with fresh coriander leaves and serve hot.""}]"
Tsampa,eat_by_state_web,https://www.eatbystate.com/dishes/tsampa,4,15,10,25,/images/dishes/tsampa.jpg,"[{""raw_text"": ""300g Roasted barley flour (tsampa)"", ""source_position"": 1}, {""raw_text"": ""200ml Butter tea (po cha) or regular butter"", ""source_position"": 2}, {""raw_text"": ""40g Yak butter or regular butter"", ""source_position"": 3}, {""raw_text"": ""3g Salt"", ""source_position"": 4}, {""raw_text"": ""30g Dried cheese (chhurpi), crumbled (optional)"", ""source_position"": 5}, {""raw_text"": ""40g Dried apricots, chopped (optional)"", ""source_position"": 6}]","[{""step_number"": 1, ""instruction"": ""To make butter tea (po cha) for mixing: brew strong black tea, add salt and yak butter (or regular butter), and churn vigorously until emulsified. Alternatively, use warm salted butter milk.""}, {""step_number"": 2, ""instruction"": ""Place the roasted barley flour (tsampa) in a wide, deep bowl. Make a well in the centre.""}, {""step_number"": 3, ""instruction"": ""Pour warm butter tea or warm salted butter into the well of the flour. Start with a small amount — about 100 ml.""}, {""step_number"": 4, ""instruction"": ""Using your fingers, begin mixing the flour and liquid together in a circular motion, gradually incorporating more flour from the edges.""}, {""step_number"": 5, ""instruction"": ""Continue adding butter tea gradually, kneading and mixing with your fingers until the mixture comes together into a stiff, dough-like consistency that can be shaped.""}, {""step_number"": 6, ""instruction"": ""Knead the mixture in the bowl using your fingers and palm, pressing and folding, until it forms a smooth, cohesive ball. The traditional technique involves rolling the mixture against the side of the bowl.""}, {""step_number"": 7, ""instruction"": ""Add crumbled dried cheese (chhurpi) and chopped dried apricots if using. Knead them into the tsampa ball.""}, {""step_number"": 8, ""instruction"": ""Shape into small balls or a single large ball. Tsampa is eaten directly from the hand — pinch off pieces and eat.""}, {""step_number"": 9, ""instruction"": ""Alternatively, tsampa can be mixed into a porridge consistency by adding more butter tea until it reaches a thick, smooth paste. Serve in bowls.""}, {""step_number"": 10, ""instruction"": ""Serve immediately as a portable, energy-dense meal or snack.""}]"
Yakhni,eat_by_state_web,https://www.eatbystate.com/dishes/yakhni,4,15,90,105,/images/dishes/yakhni.jpg,"[{""raw_text"": ""750g Mutton (bone-in pieces)"", ""source_position"": 1}, {""raw_text"": ""400g Plain yogurt, whisked"", ""source_position"": 2}, {""raw_text"": ""15g Fennel powder"", ""source_position"": 3}, {""raw_text"": ""5g Dry ginger powder (saunth)"", ""source_position"": 4}, {""raw_text"": ""6piece Green cardamom"", ""source_position"": 5}, {""raw_text"": ""2piece Black cardamom"", ""source_position"": 6}, {""raw_text"": ""5piece Cloves"", ""source_position"": 7}, {""raw_text"": ""5g Cinnamon stick"", ""source_position"": 8}, {""raw_text"": ""2piece Bay leaf"", ""source_position"": 9}, {""raw_text"": ""5g Cumin seeds"", ""source_position"": 10}, {""raw_text"": ""40ml Mustard oil"", ""source_position"": 11}, {""raw_text"": ""12g Salt"", ""source_position"": 12}, {""raw_text"": ""750ml Water"", ""source_position"": 13}]","[{""step_number"": 1, ""instruction"": ""Wash the mutton pieces thoroughly and drain well.""}, {""step_number"": 2, ""instruction"": ""Heat mustard oil in a heavy-bottomed pot until it reaches smoking point, then reduce the heat.""}, {""step_number"": 3, ""instruction"": ""Add cumin seeds, bay leaves, green cardamom, black cardamom, cloves, and cinnamon. Sauté for 30 seconds until fragrant.""}, {""step_number"": 4, ""instruction"": ""Add the mutton pieces and sear for 5–7 minutes, turning frequently.""}, {""step_number"": 5, ""instruction"": ""Add water and salt. Bring to a boil, then reduce to a gentle simmer.""}, {""step_number"": 6, ""instruction"": ""Cover and cook for 45–60 minutes until the mutton is nearly tender.""}, {""step_number"": 7, ""instruction"": ""In a bowl, whisk the yogurt until completely smooth.""}, {""step_number"": 8, ""instruction"": ""Add the fennel powder and dry ginger powder to the yogurt and mix well.""}, {""step_number"": 9, ""instruction"": ""Reduce the heat to low. Gradually add the yogurt mixture to the pot, stirring continuously to prevent curdling.""}, {""step_number"": 10, ""instruction"": ""Simmer gently for 15–20 minutes without allowing the curry to boil vigorously.""}, {""step_number"": 11, ""instruction"": ""Continue cooking until the mutton is fully tender and the gravy becomes smooth and aromatic.""}, {""step_number"": 12, ""instruction"": ""Taste and adjust salt if necessary.""}, {""step_number"": 13, ""instruction"": ""Rest for 10 minutes before serving.""}, {""step_number"": 14, ""instruction"": ""Serve hot with steamed rice.""}]"
Tandoori Roti,eat_by_state_web,https://www.eatbystate.com/dishes/tandoori-roti,4,15,30,45,/images/dishes/tandoori-roti.jpg,"[{""raw_text"": ""400g Whole wheat flour"", ""source_position"": 1}, {""raw_text"": ""220ml Water, warm"", ""source_position"": 2}, {""raw_text"": ""40g Butter or ghee"", ""source_position"": 3}, {""raw_text"": ""5g Salt"", ""source_position"": 4}, {""raw_text"": ""10ml Oil"", ""source_position"": 5}]","[{""step_number"": 1, ""instruction"": ""Combine whole wheat flour and salt. Gradually add warm water, kneading until a smooth, elastic dough forms, about 8 minutes.""}, {""step_number"": 2, ""instruction"": ""Add oil and knead for another 2 minutes. Cover with damp cloth and rest 20 minutes.""}, {""step_number"": 3, ""instruction"": ""Divide dough into 8 balls. Roll each into a thick disc, about 15 cm in diameter.""}, {""step_number"": 4, ""instruction"": ""If using a tandoor: stick the roti onto the inside wall of a preheated tandoor. Cook for 2–3 minutes until brown spots appear and the roti puffs slightly.""}, {""step_number"": 5, ""instruction"": ""If using a stovetop: heat a cast-iron tawa until very hot. Place roti on it. When bubbles form, flip and cook. Then place the tawa-cooked roti directly over the gas flame using tongs and cook until dark spots appear.""}, {""step_number"": 6, ""instruction"": ""Apply butter or ghee generously while hot.""}, {""step_number"": 7, ""instruction"": ""Serve immediately.""}]"
Shakarkandi Chaat,eat_by_state_web,https://www.eatbystate.com/dishes/shakarkandi-chaat,4,15,30,45,/images/dishes/shakarkandi-chaat.jpg,"[{""raw_text"": ""600g Sweet potatoes"", ""source_position"": 1}, {""raw_text"": ""30ml Lemon juice"", ""source_position"": 2}, {""raw_text"": ""10g Chaat masala"", ""source_position"": 3}, {""raw_text"": ""5g Roasted cumin powder"", ""source_position"": 4}, {""raw_text"": ""5g Red chilli powder"", ""source_position"": 5}, {""raw_text"": ""5g Black salt"", ""source_position"": 6}, {""raw_text"": ""20g Fresh coriander leaves"", ""source_position"": 7}, {""raw_text"": ""60ml Green chutney"", ""source_position"": 8}, {""raw_text"": ""40ml Tamarind chutney"", ""source_position"": 9}, {""raw_text"": ""50g Pomegranate seeds"", ""source_position"": 10}]","[{""step_number"": 1, ""instruction"": ""Roast sweet potatoes directly over a gas flame or in an oven at 200°C until the skin chars and the inside is tender, about 25–30 minutes.""}, {""step_number"": 2, ""instruction"": ""Alternatively, pressure cook sweet potatoes for 3–4 whistles. Peel and cube.""}, {""step_number"": 3, ""instruction"": ""Peel the roasted sweet potatoes and cut into bite-sized cubes.""}, {""step_number"": 4, ""instruction"": ""Place in a mixing bowl. Add lemon juice, black salt, chaat masala, cumin powder, and red chilli powder.""}, {""step_number"": 5, ""instruction"": ""Toss gently to coat evenly.""}, {""step_number"": 6, ""instruction"": ""Transfer to a serving plate.""}, {""step_number"": 7, ""instruction"": ""Drizzle green chutney and tamarind chutney over the sweet potato cubes.""}, {""step_number"": 8, ""instruction"": ""Sprinkle pomegranate seeds and chopped coriander on top.""}, {""step_number"": 9, ""instruction"": ""Serve immediately while still warm.""}]"
Shahi Tukda,eat_by_state_web,https://www.eatbystate.com/dishes/shahi-tukda,4,15,45,60,/images/dishes/shahi-tukda.jpg,"[{""raw_text"": ""8piece White bread slices"", ""source_position"": 1}, {""raw_text"": ""1000ml Full-fat milk"", ""source_position"": 2}, {""raw_text"": ""150g Sugar"", ""source_position"": 3}, {""raw_text"": ""100ml Ghee for frying"", ""source_position"": 4}, {""raw_text"": ""0.5g Saffron strands"", ""source_position"": 5}, {""raw_text"": ""5g Cardamom powder"", ""source_position"": 6}, {""raw_text"": ""10ml Kewra water"", ""source_position"": 7}, {""raw_text"": ""10ml Rose water"", ""source_position"": 8}, {""raw_text"": ""30g Pistachios, slivered"", ""source_position"": 9}, {""raw_text"": ""30g Almonds, slivered"", ""source_position"": 10}, {""raw_text"": ""100ml Sugar syrup"", ""source_position"": 11}]","[{""step_number"": 1, ""instruction"": ""Make rabri: bring milk to boil in a wide, heavy pan. Reduce heat and simmer, stirring frequently, until milk reduces to one-third its volume and thickens. Add sugar, saffron, cardamom, kewra, and rose water. Stir well. Cool slightly.""}, {""step_number"": 2, ""instruction"": ""Remove crusts from bread slices. Cut each slice diagonally into two triangles.""}, {""step_number"": 3, ""instruction"": ""Heat ghee in a shallow pan. Fry bread triangles until deep golden and crispy on both sides.""}, {""step_number"": 4, ""instruction"": ""Drain on paper towels.""}, {""step_number"": 5, ""instruction"": ""Make a simple sugar syrup: dissolve 100g sugar in 100 ml water and bring to one-string consistency.""}, {""step_number"": 6, ""instruction"": ""Dip each fried bread piece briefly in warm sugar syrup to coat lightly.""}, {""step_number"": 7, ""instruction"": ""Arrange the bread pieces on a serving dish.""}, {""step_number"": 8, ""instruction"": ""Pour warm rabri generously over the fried bread.""}, {""step_number"": 9, ""instruction"": ""Garnish with slivered pistachios and almonds.""}, {""step_number"": 10, ""instruction"": ""Serve warm or chilled — both are delicious.""}]"
Seekh Kebab,eat_by_state_web,https://www.eatbystate.com/dishes/seekh-kebab,4,15,45,60,/images/dishes/seekh-kebab.jpg,"[{""raw_text"": ""600g Minced lamb or mutton"", ""source_position"": 1}, {""raw_text"": ""1piece Onion, grated and moisture squeezed"", ""source_position"": 2}, {""raw_text"": ""30g Ginger-garlic paste"", ""source_position"": 3}, {""raw_text"": ""3piece Green chillies, minced"", ""source_position"": 4}, {""raw_text"": ""20g Fresh coriander, minced"", ""source_position"": 5}, {""raw_text"": ""10g Mint leaves, minced"", ""source_position"": 6}, {""raw_text"": ""10g Garam masala"", ""source_position"": 7}, {""raw_text"": ""8g Red chilli powder"", ""source_position"": 8}, {""raw_text"": ""5g Cumin powder"", ""source_position"": 9}, {""raw_text"": ""5g Chaat masala"", ""source_position"": 10}, {""raw_text"": ""30ml Oil"", ""source_position"": 11}, {""raw_text"": ""10g Salt"", ""source_position"": 12}]","[{""step_number"": 1, ""instruction"": ""Combine all ingredients in a large bowl. Mix thoroughly, kneading the mixture for 5 minutes to develop a sticky, cohesive texture.""}, {""step_number"": 2, ""instruction"": ""Refrigerate the mixture for 30 minutes.""}, {""step_number"": 3, ""instruction"": ""Divide into 8 portions. Mould each portion around a flat skewer, pressing and smoothing into a sausage shape, about 15 cm long.""}, {""step_number"": 4, ""instruction"": ""Grill over a charcoal fire or on a very hot grill for 10–12 minutes, rotating regularly, until cooked through with light char marks.""}, {""step_number"": 5, ""instruction"": ""Alternatively, cook under a preheated broiler for 8–10 minutes per side.""}, {""step_number"": 6, ""instruction"": ""Brush with a little oil halfway through cooking.""}, {""step_number"": 7, ""instruction"": ""Remove from skewers and serve on naan with sliced onion rings, lemon wedges, and green chutney.""}]"
Ram Ladoo,eat_by_state_web,https://www.eatbystate.com/dishes/ram-ladoo,4,15,30,45,/images/dishes/ram-ladoo.jpg,"[{""raw_text"": ""200g Moong dal, soaked 4 hours"", ""source_position"": 1}, {""raw_text"": ""100g Chana dal, soaked 4 hours"", ""source_position"": 2}, {""raw_text"": ""3piece Green chillies"", ""source_position"": 3}, {""raw_text"": ""10g Ginger"", ""source_position"": 4}, {""raw_text"": ""200g Radish, grated"", ""source_position"": 5}, {""raw_text"": ""80ml Green chutney"", ""source_position"": 6}, {""raw_text"": ""10g Chaat masala"", ""source_position"": 7}, {""raw_text"": ""20ml Lemon juice"", ""source_position"": 8}, {""raw_text"": ""20g Fresh coriander leaves"", ""source_position"": 9}, {""raw_text"": ""500ml Oil for frying"", ""source_position"": 10}, {""raw_text"": ""8g Salt"", ""source_position"": 11}]","[{""step_number"": 1, ""instruction"": ""Drain soaked moong dal and chana dal. Grind together with green chillies and ginger to a coarse batter — do not add water or add only a splash.""}, {""step_number"": 2, ""instruction"": ""Add salt and beat the batter well to make it fluffy and light.""}, {""step_number"": 3, ""instruction"": ""Heat oil in a deep kadai over medium-high heat.""}, {""step_number"": 4, ""instruction"": ""Drop spoonfuls of batter into hot oil forming irregular round fritters.""}, {""step_number"": 5, ""instruction"": ""Fry until golden and crispy, about 4–5 minutes. Drain on paper towels.""}, {""step_number"": 6, ""instruction"": ""Mix grated radish with a pinch of salt and let it rest for 5 minutes. Squeeze out water.""}, {""step_number"": 7, ""instruction"": ""Arrange fried ladoos in a plate. Top with squeezed grated radish.""}, {""step_number"": 8, ""instruction"": ""Drizzle green chutney generously.""}, {""step_number"": 9, ""instruction"": ""Squeeze lemon juice over the top.""}, {""step_number"": 10, ""instruction"": ""Sprinkle chaat masala and chopped coriander. Serve immediately.""}]"
Phirni,eat_by_state_web,https://www.eatbystate.com/dishes/phirni,4,15,45,60,/images/dishes/phirni.jpg,"[{""raw_text"": ""1000ml Full-fat milk"", ""source_position"": 1}, {""raw_text"": ""60g Basmati rice, soaked and coarsely ground"", ""source_position"": 2}, {""raw_text"": ""120g Sugar"", ""source_position"": 3}, {""raw_text"": ""5g Cardamom powder"", ""source_position"": 4}, {""raw_text"": ""0.5g Saffron strands"", ""source_position"": 5}, {""raw_text"": ""15ml Rose water"", ""source_position"": 6}, {""raw_text"": ""25g Pistachios, slivered"", ""source_position"": 7}, {""raw_text"": ""25g Almonds, slivered"", ""source_position"": 8}, {""raw_text"": ""2piece Silver varq (edible silver leaf)"", ""source_position"": 9}]","[{""step_number"": 1, ""instruction"": ""Soak basmati rice for 30 minutes. Drain and coarsely grind — not to a fine powder, but a grainy texture.""}, {""step_number"": 2, ""instruction"": ""Bring milk to a boil in a heavy-bottomed pan.""}, {""step_number"": 3, ""instruction"": ""Dissolve the coarsely ground rice in a small amount of cold milk to make a lump-free slurry.""}, {""step_number"": 4, ""instruction"": ""Add the rice slurry to the boiling milk, stirring constantly to prevent lumps.""}, {""step_number"": 5, ""instruction"": ""Reduce heat to low and cook, stirring continuously, for 15–20 minutes until the mixture thickens to a creamy porridge consistency.""}, {""step_number"": 6, ""instruction"": ""Add sugar and stir until dissolved. Cook for another 5 minutes.""}, {""step_number"": 7, ""instruction"": ""Add cardamom powder, saffron, and rose water. Mix well.""}, {""step_number"": 8, ""instruction"": ""Pour into traditional clay pots (shikora) or small bowls.""}, {""step_number"": 9, ""instruction"": ""Chill in the refrigerator for at least 2 hours until set.""}, {""step_number"": 10, ""instruction"": ""Before serving, garnish with slivered pistachios, almonds, and silver varq.""}]"
