title,description,source_url,ingredients,steps,image
Khatta meetha mirch ka achar recipe,"Khatta meetha mirch ka achar or instant green chilli sweet and sour pickle, A North Indian style hari mirch pickle that's simple, quick to make & tasty.",https://www.sailusfood.com/khatta-meetha-mirch-ka-achar,"Green chilies - 250 gms, wash, dry, remove stalk and cut into 1/2"" pieces | Turmeric powder - 1/2 tsp | Red chili powder - 1/2 tsp | Coriander powder - 1/2 tbsp | Cumin powder - 1/4 tsp | Tamarind - small lemon sized ball soaked in 3/4 cup warm water for 10 mins | Jaggery - 3-4 tbsps, grated | Salt - 1 heaped tsp | For tempering: | Mustard seeds - 1/2 tsp | Cumin seeds - 1 tsp | Fennel seeds - 1 tsp (saunf/sompu) | Asafoetida - 1/4 tsp (I like to add a bit more than 1/4 tsp but less than 1/2 tsp) (hing/inguva) | Mustard oil - 4-5 tbsps or any cooking oil","Extract tamarind juice. Pour the entire tamarind juice in a pan and simmer on low flame for 5 mins. Add grated jaggery and allow the jaggery to melt. Simmer for a min and turn off flame. Set aside. | Heat mustard oil till smoking hot, turn off flame. Wait for a few seconds before adding the spices for tempering. | Add mustard seeds, cumin seeds, and fennel seeds. Once they crackle, add the asafoetida and saute for a few seconds. Add the green chilies. Turn on the flame and cook for 5 mins on low flame. | Add turmeric powder, red chili powder, coriander powder, roasted cumin powder and mix well.  Sauté for 5 mins on low flame. | Pour the tamarind-jaggery syrup over the green chilies and add salt. Allow the chilies to cook in this syrup till it reaches a thick consistency. The cooking has to be on low flame. Once the consistency is achieved turn off the flame. Cool. | Pour into a glass jar and place lid tightly. You should refrigerate it within 6-8 hours of preparation. It has a shelf life of 24-36 hours at room temperature. | Serve with chapati, phulka, roti, paratha or Mathri.",https://storage.googleapis.com/sailus-media/2018/06/khatta-meetha-mirch-ka-achar.jpg
Raju gari kodi pulao recipe – restaurant style andhra chicken pulao,"Raju gari kodi pulao recipe, a restaurant-style, tasty Andhra chicken pulao made in a pressure cooker or instant post with basmati rice, shallots, & chicken",https://www.sailusfood.com/raju-gari-kodi-pulao-recipe,"Basmati rice - 2 cups, washed and soaked for 15-20 mins | Chicken - 1/2 kg, cut into bite-sized pieces, washed | Cashew nuts - 10 | Onion - 1, medium size, sliced (to make brown onion paste) | Thick curd - 1/4 cup (sour preferred) | Lemon juice - 1/2 tbsp (not in original recipe) | Oil - 3 tbsps | Ghee - 3 tbsps | Green cardamoms - 2 | Black cardamom - 1 | Cloves - 3 | Cinnamon stick - 1"" | Star anise - 1 | Shah jeera - 1/2 tsp | Bay leaf - 1 | Mace - a small strand | Curry Leaves - 2 sprigs | Shallots - 25, peeled | Green chilies - 5-6, slit lengthwise (adjust according to the heat of the green chilies used) | Green chili paste - 4 green chilis ground to a paste (adjust to suit your taste) | Ginger garlic paste - 1/2 tbsp | Tomato - 1, small, finely chopped (original recipe does not use tomato) | Mint leaves - 1/3 cup, packed | Coriander leaves - 1/3 cup, chopped | Salt to taste | Milk - 1 cup (boiled) | Water - 2 1/2 cups | Garam masala powder  (grind 6 peppercorns, 1/4"" cinnamon stick, a pinch of shah jeera, 1 green cardamom, 2 cloves)","Heat 3 tbsp oil and 2 tbsps ghee in a large pressure cooker. Once hot, add the cashew nuts and roast till golden brown. Remove the cashew nuts and set aside. | In the same cooker, add the sliced onions and saute till golden brown. Remove the sauteed onions and set aside to cool. | In a grinder, add the cooled sauteed onions and curd and grind to a fine paste. | Marinate the chicken in 1/2 tsp salt, 1/2 tbsp lemon juice, a pinch of garam masala powder, 3 slit green chilies and the ground brown onion-curd paste. While the chicken is marinating, do the peeling of shallots, chopping, and preparation for making Kodi pulao. | Heat the same pressure cooker which has the oil+ghee. Once the oil turns hot, add the whole spices like cardamoms, cloves, cinnamon, shah jeera, star anise, mace, bay leaf, and saute for a few seconds. Add the shallots, 3 green chilies, green chili paste and curry leaves and saute for 2 mins. | Add ginger garlic paste and saute for 6 mins. Add the chopped tomatoes (if using), mint leaves and coriander leaves and mix well. Saute for 3 mins. | Add the marinated chicken along with the marinade and mix well. Cook on low medium flame till the chicken is coated well with the rest of the ingredients. Add salt to taste, remaining garam masala powder and mix well. | Add milk and water and mix well.  Bring it to a boil. Add a tbsp of ghee at this stage. Add the drained basmati rice and mix the contents well. | Close the pressure cooker and cook to 4 whistles. | Turn off the heat and allow the pressure from the cooker to ease. | Remove the kodi pulao into a serving bowl, garnish with cashew nuts and serve with raita and chicken curry.",https://storage.googleapis.com/sailus-media/2018/06/raju-gari-kodi-pulao.jpg
Spicy chicken curry recipe,"Spicy chicken curry recipe, a favorite in our home is one of best Indian chicken curry recipes you can ever make. A simple Andhra kodi kura to go with pulao",https://www.sailusfood.com/spicy-chicken-curry-recipe,"Chicken - 1 kg, bite-sized pieces | Lemon juice - 1/2 tbsp | Oil - 1/2 tbsp | Onions - 2, large. finely chopped | Curry leaves - 1 sprig | Green chilies - 6-8, slit lengthwise (adjust) | Ginger garlic paste - 1 tbsp | Turmeric powder - 1/4 tsp | Red chili powder - 1 3/4 Tsp | Cooking oil - 4 tbsp | Salt to taste | Dry roast and grind to a fine powder | Coriander seeds - 1 tbsp | Cumin seeds - 1/2 tsp | Fennel seeds - 1/2 tsp | Cloves - 3 | Cinnamon stick - 1/2"" | Green cardamom - 1 | Poppy seeds - 3/4 tbsp gasagasalu/khus khus","Marinate the chicken in 1/2 tsp salt, 1/4 tsp turmeric powder, 1 tsp red chili powder, oil and lemon juice for 20 mins. (while the chicken is marinating do the rest of the prep work and saute onions) | Heat a heavy bottomed vessel, add the coriander seeds, cumin seeds, fennel seeds, cloves, cinnamon stick, and cardamom. Roast on low flame for 4 mins, mixing constantly. Add poppy seeds and continue to roast for a min. Turn off flame. Remove the roasted ingredients from vessel and cool. | Once cool, grind to a fine powder in a mixer grinder or crush in a mortar pestle. | Heat oil In the same vessel, once hot, add the chopped onions, slit green chilies and curry leaves and saute for 8 mins on low to medium flame. | Add ginger garlic paste and saute for 5 mins. | Add the chicken pieces and cook on high flame for 5 mins, mixing the contents of the vessel so that it does not burn. | Reduce flame to low, add 3/4 tsp red chili powder and mix well. Add the ground masala powder, and salt and mix well. Place lid and cook for 10-12 mins on a low medium flame. | Add 2 cups water, bring to a boil. Reduce flame to low and simmer till the chicken turns soft and it reaches gravy consistency. | Add chopped coriander leaves and mix. Turn off flame, remove to a serving bowl and serve hot. | Serve with raju gari kodi pulao, chicken pulao, biryani, any flavored rice, steamed rice or chapati.",https://storage.googleapis.com/sailus-media/2018/07/spicy-chicken-curry.jpg
Gutti vankaya fry – Andhra style stuffed brinjal fry recipe,"Gutti vankaya fry recipe, an Andhra style stuffed brinjal fry that's the best among stuffed eggplant recipes Indian style. How to make stuffed eggplant",https://www.sailusfood.com/gutti-vankaya-fry-recipe,"Baby eggplant or purple brinjals - 300 gms, wash, make + quarters with stalk intact and apply oil | Tamarind - small gooseberry size, soak in 1/3 cup warm water and extract juice | Jaggery - 1 tsp, grated | Salt - as required | - For stuffing: | Coriander seeds - 1 1/2 tbsps (dhania/dhanayalu) | Channa dal - 2 1/2 tbsps (Bengal gram/senaga pappu) | Urad dal - 1 tbsp (split gram dal/minappa pappu) | Red chillis - 4-5, tear and de-seed | Cumin seeds - 1/2 tsp (jeera/jeelakara) | Methi seeds - 1/2 tsp (fenugreek seeds/menthulu) | Sesame seeds - 1 1/2 tbsp (til/nuvvulu) | Salt to taste - 1/2 tsp | - For tempering: | Oil - 2-3 tbsps | Mustard seeds - 1/2 tsp (optional) | Asafoetida - 1/4 tsp | Curry leaves - 1 sprig","Add 1/2 tsp oil in a wide cooking vessel, add coriander seeds and stir fry till it turns slightly dark in color. Remove. Similarly, add channa dal and urad dal, roast till them till they turn red and remove. Dry roast dry red chillis, methi seeds, and cumin together till the methi seeds turn red in color. (ensure methi seeds are nicely roasted) Add sesame seeds and roast for a min and remove. Cool the dry roasted ingredients. | Add salt to the roasted ingredients and grind them all together to a coarse powder. Stuff each brinjal with the coarsely ground powder. | In the same vessel, add the remaining oil, add mustard seeds and allow to splutter. Add asafoetida and curry leaves and toss them for a few seconds. Place the stuffed brinjals as a single layer and cook on high flame for 3 mins. | Place a lid and let them cook on low flame for 12 mins. Keep checking on them at regular intervals and flip them over to ensure they don't burn or stick to the pan. | Continue to roast the brinjals without the lid for another 10 mins on low flame. Check at regular intervals and flip over. Sprinkle the tamarind extract over the brinjals along with the grated jaggery and, 1/2 tsp salt and continue to cook them till they turn soft. It should take approx 15-20 mins for the brinjals to be well roasted. There will be no moisture left. | Do check if salt is required and adjust salt accordingly. | Serve with steamed rice, sambar, and papad.",https://storage.googleapis.com/sailus-media/2018/07/gutti-vankaya-fry.jpg
Khara bath recipe,"Khara bath recipe, an authentic, tasty Karnataka style rava masala upma. Preparation with vegetables,semolina & ghee like mtr restaurant popular in Bangalore.",https://www.sailusfood.com/khara-bath-recipe-mtr-restaurant-style-rava-bath,"Sooji - 1 1/2 cup (upma rava/semolina) | Onion - 1, medium size, finely chopped | Green chilies - 3, slit length wise | Ginger - 1/2 tbsp, grated | Carrot - 1, small, peeled and finely chopped | Capsicum - 1, very small, finely chopped | Green peas - 1/4 cup | Tomato - 1, very small, finely chopped (optional) | Fresh coriander - 2 tbsps, chopped | Lemon -1 tbsp | Grated fresh coconut - 2 tbsp | Cashew nuts - 8-10 | Turmeric powder - 1/4 tsp | Curry leaves - 1 sprig | Salt to taste | Dry roast and grind to a fine powder: | Coriander seeds - 3/4 tsp | Dry red chili - 2 | Jeera - a small pinch | Cinnamon - 1/4"" | Clove - 2 | Urad dal - 1/4 tsp | Chana dal - 3/4 tsp | For tempering: | Ghee - 3 tbsps | Oil - 3 tbsps | Mustard seeds - 1/2 tsp | Split urad dal - 1 tsp | Cashew nuts - 8-10, break into small pieces | Asafoetida - pinch","Heat a heavy bottomed vessel and add the semolina and reduce flame. Roast the sooji over low flame for 5-6 mins. It should not be roasted over a medium or high flame. Constantly mix the semolina while roasting it. Remove to a plate and set aside. | In the same vessel, add 2 tbsp ghee and 3 tbsp oil. Once hot, add mustard seeds and allow to splutter. Add urad dal and allow the dal to turn light red, Add the cashew nuts and allow to turn a light golden brown, Add asafoetida, curry leaves and green chilies and mix. | Add the chopped onions and saute for 3 mins. Add grated ginger, carrots, and capsicum and saute for 5 mins over low flame. Add salt, turmeric powder, and the ground khara bath powder and mix. | Add the chopped tomatoes, and chopped coriander leaves and cook for 2 mins. Add the green peas and mix. Add 4 1/2 cups of water, place lid and bring to a boil. Remove lid and continue to boil for 3 more mins. | Reduce flame to low, using your left hand slowly add the roasted semolina into the simmering water while constantly mixing the contents of the vessel with your right hand. You will need to use some muscle power here to thoroughly mix it without any lumps. | Place lid and cook for 5 mins on low flame. Add a tbsp of ghee and lemon juice and mix well again. Turn off flame and remove to a serving bowl. Garnish with fresh coriander leaves and freshly grated coconut. Serve with coconut chutney or peanut chutney.",https://storage.googleapis.com/sailus-media/2018/07/khara-bath.jpg
Paal poli recipe,"Paal poli recipe, a traditional South Indian sweet made during diwali, Tamil new year, Avani avittam & Krishnashtami. Deep fried pooris are soaked in reduced sweetened milk",https://www.sailusfood.com/paal-poli-recipe-milk-puri,"Maida - 1 cup (plain flour) | Semolina - 1/4 cup (sooji) | Salt - pinch | Oil or ghee - 1 tbsp | Lukewarm water – as required to make a smooth yet firm dough | Oil – for deep frying pooris | Milk – 1 1/2 lt (preferably full fat) | Sugar – 3/4 cup (you can reduce up to 2 tbsps sugar for lesser sweetness) | Cardamom powder - 1/2 tsp | Nutmeg - a tiny pinch (optional) | Saffron - few strands soaked in 2 tbsps milk for few mins (optional) | Cashew nuts - 3, coarsely crushed (optional) | Pista - 8-10, coarsely crushed","In a bowl, add maida, semolina, salt, and ghee and mix well. Slowly add the lukewarm water and make a smooth yet slightly firm dough. Rest the dough for 20 mins. | Heat a stainless steel vessel and add the milk. Bring the milk to a boil and simmer till it reduces to three fourths of its original quantity. Add sugar and cardamom powder and mix. Simmer for 5 mins and turn off flame. Pour this reduced milk into a wide-mouthed plate. | Divide the rested dough into small lemon sized balls. Dust the working surface with flour and roll out thin pooris. | Deep fry the oil for frying the pooris. Once the oil is hot, reduce to medium-high and place a poori into the oil.  Once it puffs up, flip it gently and allow to cook the other side for a few seconds. Remove with a slotted spoon and place in the reduced milk. | Deep fry the remaining pooris and place in the reduced milk. Allow the pooris to soak the flavors for 15 to 20 mins. Garnish with the crushed cashew nuts and pistachios. | Refrigerate and serve chilled.",https://storage.googleapis.com/sailus-media/2018/11/paal-poli.jpg
"Diwali Sweets – Badam Halwa, Bobbatlu & Annam Payasam","Wishing all my readers, visitors and friends a happy and safe Deepavali! Phew! Its been a marathon of sweets dishes at our home. Three sweet recipes for my dear readers this Diwali – Badam Halwa, Annam Payasam and Bobbatlu. With a home full of near and dear loved ones and the background sound of crackers",https://www.sailusfood.com/diwali-sweets-badam-halwa-bobbatlu-annam-payasam,Badam Halwa Recipe | Cooking Time: 40 mts | Makes 10-12 laddus | 1 cup almond paste | 3/4 cup sugar | large pinch cardamom pwd | 2-3 tbsps milk | 1 1/2 tbsps ghee,"Place 3/4 cup of almonds in hot water and leave aside for an hour. The almonds easily peel off after an hour. Grind the peeled almonds to a smooth paste by adding milk.<br | Take a heavy bottomed vessel, add the sugar and water and let it melt and once it begins to boil, add the almond paste and combine. Now get ready for some good arm work-out. Go on stirring till the mixture begins to thicken (it should look like a thick dosa batter) on low flame). During the stirring process, add the ghee which gets absorbed into halwa. Turn off heat.<br | Leave aside to cool and it thickens further. Bobbatlu I blogged Bobbatlu recipe earlier. I thought I'd post it again. Time consuming affair but worth the effort. A tempting traditional lentil based sweet that also goes by the name Obattu, Bhakshalu and Puran Poli. Bobbatlu Recipe Cooking Time: 1 hr Makes approx 15 bobbatlu . Ingredients: 1 cup chana dal/bengal gram soaked in water for an hour and drained 1 cup sugar (adjust to your choice) 1 1/4 cups maida/all purpose flour 3-4 tbsps oil 1/2 tsp cardamom pwd 1 tbsp ghee pinch of salt | Pressure cook channa dal adding a cup of water till the dal turns very soft. Grind to a fine paste.<br | Heat a cooking vessel, add the ground dal paste and sugar and cook till they blend and form a thick lump like paste with no moisture left. Keep stirring on slow flame. Add cardamom pwd and salt and combine. Cool and prepare small lemon sized balls for stuffing. Keep aside.<br | Combine maida, pinch of salt, oil and enough water to make a very soft and sticky dough(softer than puri dough). Knead well and keep aside for one or two hours.<br | Grease your hand with oil and pinch a small portion of dough and flatten it into a 2&#8243; disc. Place a ball of channa dal stuffing in the centre and draw the edges of the dough from all sides to cover the stuffing completely.<br | Take a plastic sheet or a plantain leaf and gently flatten each ball carefully with your fingers to form a 6&#8243; diamater flat circular roti/bobattu/poli.<br | Heat a tawa and fry it on low flame such that its roasted on both sides till brown spots appear. Smear oil over the bobbatu while frying.<br | Serve warm with ghee. Store them in an air tight container or in the refrigerator. Stays fresh for a few days. Kitchen Notes – For variation, you can add a few tbsps of grated coconut to the channa dal stuffing. Annam Payasam ~ Rice Kheer Annam Payasam aka Paramannam (Food of the Gods) is prepared with raw rice, milk and jaggery or sugar. Rice is slowly simmered in milk and combined with jaggery, flavored with aromatic cardamom and garnished with toasted cashewnuts and raisins. I had earlier blogged Paramannam recipe which was prepared using sugar. The version I'm blogging today calls for jaggery. Simple to prepare, comforting and delicious! Annam Payasam Recipe Cooking Time: 40 mts Cuisine: Andhra Serves 6-7 persons . Ingredients: 1/2 cup raw rice washed and drained 1/2 cup grated jaggery 1 cup water 1/2 lt low fat milk pinch of salt 1/4 tsp cardamom pwd 1 tbsp ghee 10-12 cashewnuts 1 tbsp raisins | Heat a pan, add a tbsp of ghee and toast the cashewnuts and raisins till golden brown. Remove from pan, keep aside.<br | Heat a vessel, add grated jaggery. Let the jaggery melt over slow flame till its sticky on touch. Don't over cook it, it should basically completely melt. Strain the jaggery and cool.<br | In a separate vessel, bring milk and water to a boil. Lower heat and add the rice to the milk. Cook until the rice is soft and the mixture turns thick. Remove from heat and cool.<br | Once cool, add the jaggery syrup to the cooled cooked milk and combine well. Add the cardamom pwd, salt and toasted cashews and raisins. Serve warm or refrigerate until chilled. It tastes good both warm and chilled. Kitchen Notes – Do not add the jaggery syrup while the rice is being cooked. Ensure the flame is off and the cooked rice is slightly cool when adding the jaggery syrup. For a rich taste, use whole milk.",https://media.sailusfood.com/wp-content/uploads/2008/10/diwali-sweets-rice-kheer-almond-halwa-bobbatlu.jpg
Chiroti,Chiroti recipe – one the best Indian sweets recipes made for weddings & festivals. A fried flaky pastry topped with powdered sugar or dipped in sugar syrup.,https://www.sailusfood.com/chiroti-best-indian-sweets-recipes,"Plain Flour - 2 cups (maida) | Ghee - 2 tbsps, melted | Salt - pinch | Sugar - 3/4 cup, powdered and mixed with 1/2 tsp cardamom powder | For paste: | Rice flour - 2 tbsps | Ghee - 1 1/2 tbsps, melted | For sugar syrup: (if using syrup to dip the chiroti) | Sugar - 1 cup, granulated | Water - 1 cup | Cardamom powder: 1/2 tsp","In a bowl, add the flour, salt and melted ghee and mix well. Slowly add enough water to make a smooth yet firm dough like puri dough. Cover the dough and keep aside for an hour. | While the dough is resting prepare the powdered sugar mixture. In a bowl, add the powdered sugar and cardamom powder and mix well. Keep aside. | If using sugar syrup to dip the fried chiroti, prepare the syrup. Heat water and granulated sugar in a vessel till sugar is melted and then continue to simmer till the mixture thickens to single thread consistency on low flame. Add cardamom powder and mix. Turn off flame. Keep aside. | In a small bowl, mix rice flour with melted ghee and keep aside. This paste is used to bind the layers of rotis. | Pinch off dough such that you have 6 large lemon sized balls. Roll each into thin rotis. Place a roti on your work surface, smear a tsp of the prepared rice flour paste all over the roti. Place another rolled out roti over it and again smear with a tsp of rice flour paste. Again repeat the process by placing another roti over the second roti and smear with rice flour paste. Now gently roll the pilled up rotis into a log and cut into 1/2"" thick circles. Make another log following the same process using the remaining three rotis. | With the help of the rolling pin roll out each of the thick circles into thin rotis of 4"" to 5"" in diameter. | Heat oil for deep frying in a heavy bottomed vessel. Once hot, reduce flame to low medium and place 3 or 4 rolled out chirotis into the hot oil. Deep fry the chirotis on a medium flame, flipping them gently to cook all over. Once they turn to a golden shade, remove onto an absorbant paper. Immediately sprinkle a heaped tbsp of the powdered sugar over each of the hot chirotis so that the sugar adheres to them while it is hot. | If using sugar syrup, place the hot chirotis that have been removed from the oil into the prepared sugar syrup. Allow them to absorb the syrup. (DO NOT add powdered sugar to the chirotis that you are dipping into the sugar syrup) | Deep fry the rest of the rolled out chirotis and sprinkle with powdered sugar OR dip them in the prepared sugar syrup. | Store in an airtight container and they stay fresh for at least one week to ten days.",https://media.sailusfood.com/wp-content/uploads/2013/10/chiroti.jpg
Godhuma (Wheat) Rava – Tomato Upma,"Wheat rava upma aka Tomato Upma, an Indian breakfast dish made with cracked wheat aka dalia and tomatoes This past week has been flu time at our home. My to-do list never seems to end. Summer is officially here, its HOT and HUMID (Vizag being a coastal city) and its only early March. So its",https://www.sailusfood.com/godhuma-wheat-rava-tomato-upma,"Wheat Ravva Tomato Upma Recipe | Prep &#038; Cooking Time: 25 mts | Serves 3-4 persons | Cuisine: South Indian | 1 1/2 cups wheat rava | 1 finely sliced large onion | 1 large tomato, finely chopped | 3-4 slit green chillis | 1&#8243; ginger finely chopped | 1 tbsp ghee or oil | 1 tbsp chopped coriander leaves | 3 3/4 to 4 cups water | salt to taste | For seasoning: | 1 tsp mustard seeds | 1 tbsp bengal gram | 1 tbsp black gram dal | 12-15 curry leaves","Heat oil or ghee in a cooking vessel, add the mustard seeds and let them splutter. Add bengal gram, black gram, curry leaves and saute them till the dals turn red and a nice aroma emanates the kitchen.<br | Add the sliced onions, green chillis and ginger and saute for 2 mts.<br | Add the chopped tomatoes and saute on medium heat for 4 mts. Add salt and water and bring to a boil before adding the wheat ravva.<br | Now, reduce heat and slowly add the wheat ravva to the water and mix it continuously so that lumps don't form and it combines well with the water.<br | Cover with lid and let it simmer for 12 mts. Turn off heat. Combine well. Garnish with chopped coriander leaves.<br | Serve hot. You can also serve with chutney, sugar or pickle of your choice. Variations: You can use mixed vegetables of your choice like beans, potatoes, carrots, peas Top off with grated coconut Toasted cashewnuts or roasted peanuts Drizzle some lemon juice after turning off heat",https://media.sailusfood.com/wp-content/uploads/godhuma_rawa_upma.JPG
Broken Wheat Upma Recipe,"Broken wheat upma is a quick, tasty & easy breakfast or evening tiffin made with godhuma rava aka cracked wheat or dalia. How to make broken wheat upma recipe",https://www.sailusfood.com/broken-wheat-upma-recipe,"Broken wheat - 2 cups | Onions - 1, medium, sliced | Tomato - 1, small, finely chopped | Green chilies - 2, slit lengthwise | Ginger - 1/2"" knob, finely minced | Turmeric powder - 1/4 tsp | Salt to taste | Coriander leaves (optional for garnish) | For tempering: | Mustard seeds - pinch (optional) | Cumin seeds - pinch | Asafoetida - 1/4 tsp | Cinnamon - 1"" stick | Cloves - 2-3 | Curry leaves - 1 sprig | Oil – 1/2 tbsp | Ghee - 1 1/2 tbsps","Heat 1/2 tbsp ghee in a cooking vessel, add the broken wheat and toast it on low flame for 6-7 mins. Turn off heat and wash it thoroughly. Drain water and set aside. | Heat the remaining oil and ghee in a cooking vessel, add the mustard seeds and allow to splutter. Add cumin seeds, cinnamon stick, cloves, asafoetida and curry leaves and saute them till a nice aroma emanates the kitchen. | Add the chopped onions, green chilis, and ginger and saute for 4 min. | Add the turmeric powder and mix. Add the chopped tomatoes and saute on medium heat for 4 min. Add 4 1/2 cups of hot water and bring to a boil. (be careful as you add the hot water to the cracked wheat, it will splutter) | Reduce heat and slowly add the cracked wheat to the water and stir it continuously so that lumps don’t form and it combines well with the water. | Place lid and simmer for 20-22 mins or till the water is completely evaporated and the upma is done. Turn off heat and remove to a serving bowl. | Garnish with coriander leaves if using and serve warm with pickle or chutney of your choice.",https://media.sailusfood.com/wp-content/uploads/2016/06/broken-wheat-upma-recipe.jpg
