title,description,source_url,ingredients,steps,image
Coconut Oats Dinner,South Indian style coconut oats is a simple to make breakfast or snack dish with rolled oats. The recipe just takes 15 mins to make 2 servings. It doesn't need a accompanying side dish. But it can be served with a bowl of plain yogurt.,https://www.indianhealthyrecipes.com/indian-dinner-recipes/,1½ cup rolled oats | 1 cup grated coconut (fresh or frozen or sub with ½ cup unsweetened shredded coconut) | 1½ tbsp oil | ¼  tsp mustard | ½ tsp cumin (or jeera) | ½ tsp urad dal (or skinned black gram (optional)) | ½ tsp chana dal (or bengal gram (optional)) | 2 tbsp peanuts (or cashews as needed) | 1 sprig curry leaves | ¾  tsp ginger (grated or chopped) | 2  green chilies (- slit of chopped) | salt (as needed) | 2 tbsp lemon juice (or as needed) | 2 to 4 cup coriander leaves | 1 pinch asafoetida (or hing),"Rinse rolled oats and drain them in a colander. | Gently fluff up immediately and set aside. | Heat a pan with oil. | Add mustard, cumin , urad dal, chana dal and peanuts. | Fry them until the peanuts are golden. | Then add in hing, ginger, green chilies and curry leaves. | Saute them quickly until the curry leaves turn crisp. | Then pour 2 tbsp water. This will soften the dals slightly. | Add turmeric and salt. | Then add in oats. Gently give a good stir. | On a very low heat cook covered until the oats turn slightly hot. This only takes about 1 to 2 mins. | Turn off the heat. Add coconut and coriander leaves. | Mix well and check salt. If needed add more and sprinkle lemon juice over the salt. | Mix well and serve coconut oats with pickle or yogurt.",https://www.indianhealthyrecipes.com/wp-content/uploads/2018/07/coconut-oats-recipes.jpg
Tofu Bhurji Recipe,"Easy Indian style scrambled tofu made with firm tofu, spices, onions and tomatoes. It&#039;s delicious with a burst of flavors. Serve it on its own or over bread, with flatbreads or with flavored rice dishes like lemon rice, yellow rice or fried rice.",https://www.indianhealthyrecipes.com/tofu-bhurji/,"1½ tablespoons oil ((extra virgin coconut, olive oil or ghee)) | 1  sprig curry leaves ((omit if you don&#39;t have)) | 1 small onion  (fine chopped (½ cup)) | 1  green chili  (chopped (omit for low heat)) | 1 teaspoon ginger garlic paste ( (or ¾ tsp each grated/ pressed)) | 1 small tomato ((⅓ cup fine chopped, deseed if preferred, optional)) | ½ teaspoon sea salt | ¼ teaspoon turmeric | ¼ to ½ teaspoon Kashmiri red chili powder | ½ teaspoon garam masala | ¼ teaspoon cumin powder ( (or use ½ tsp seeds in the tempering)) | 200 grams (7 to 8 oz)  firm tofu ((non-gmo/ organic)) | 2 tablespoons plain yogurt  ((optional)) | 1 teaspoon kasuri methi ((dried fenugreek leaves)) | 1 tablespoon extra virgin olive oil/ butter/ ghee ( (optional)) | 1 tablespoon lemon juice  (or ½ teaspoon chaat masala (optional)) | 2 tablespoons coriander leaves  (fine chopped or ¼ to ½ cup microgreens / pea sprouts as preferred)","Heat a pan and add | 1 small onion fine chopped ( about ½ cup) | 1 green chili chopped (omit for low heat) | Sauté for 6 mins on a medium heat, until light golden. Stir in 1 teaspoon ginger garlic paste or ¾ tsp each grated/ pressed. Saute for a minute until aromatic. | Add | 1 small tomato (⅓ cup fine chopped, deseed if preferred, optional) | Cook until completely broken down & mushy. Add 2 tablespoons yogurt if using and cook until evaporated, for 2 to 3 mins. | Crumble 200 grams (7 to 8 oz) firm tofu roughly with your fingers and add it. Don’t break down too much. Also note larger pieces won’t soak up the flavors well. | Saute on a medium heat for 6 mins until cooked through. It should still be slightly moist. Do not overcook else it will dry out. | Sprinkle Kashmiri red chili powder, garam masala, cumin powder and crushed kasuri methi, all over the tofu. Saute for 1 to 2 mins until the spices begin to smell nice. Turn off. | Taste test to adjust salt. Add ½ tablespoon olive oil or unsalted butter if it looks dry. I always add at this stage because it helps keep the tofu bhurji moist & enhances the flavor. | Optional – I usually add ¼ to ½ cup microgreens or 1 cup baby spinach at this stage. It’s not for flavor but for nutrition. Adding greens won’t change the flavor. If adding microgreens make sure your stove is off and do not cook them. They will wilt slightly in the residual heat. If using baby spinach cook for 2 to 3 mins until they wilt off. I don’t like using regular more mature spinach here. | If you are not using leafy greens, simply garnish with 2 tablespoons chopped coriander leaves. | Sprinkle ½ teaspoon chaat masala, kala namak or lemon juice if you want. Taste test first, before adding the above ingredients. I usually don’t add anything as it tastes good even without them. Serve tofu bhurji over toasted bread, roti, paratha or lemon rice.",https://www.indianhealthyrecipes.com/wp-content/uploads/2026/03/tofu-bhurji-recipe.jpg
Shrimp Curry Recipe,"Easiest and delicious coconut shrimp curry made with pantry ingredients. It&#039;s rich, creamy and delicious with subtle flavors from spices and coconut milk. It goes well over plain rice, flavored rice, cooked ot stir fried noodles and even with flatbreads or artisan breads.",https://www.indianhealthyrecipes.com/shrimp-curry/,"450 grams (1 pound)  Shrimp ( (cleaned, deveined, remove tail if preferred, read notes)) | 2 tablespoons oil | 1 cup onion ((fine chopped - 1 medium, 130 g)) | 1 teaspoon ginger grated ((¾ inch or 1½ tsp ginger garlic paste)) | 1½ teaspoon garlic  (pressed (4 to 5 cloves)) | 1 cup tomatoes ((fine chop - 2 medium, or ½ cup tomato puree)) | ¾ teaspoon sea salt  ((adjust to taste)) | ¼ teaspoon turmeric | 1 to 2 teaspoon Kashmiri red chili powder ( (or use paprika for low heat)) | 1 tablespoon coriander powder  ((or 1 tbsp curry powder)) | ½ teaspoon cumin powder ((omit to use curry powder)) | 400 ml/ 13.5 oz  canned coconut milk ((1⅔ cups, or 1¼ cup raw grated coconut, read notes)) | ½ cup (120 ml)  stock/water ((omit if using small shrimp, read notes)) | 1½ tablespoon tamarind paste ( (and/or 3 tbsps lemon juice)) | 1 tablespoon coriander leaves ( chopped to garnish)","Heat 2 tablespoons oil (30 ml) in a pan and add 1 cup fine chopped onions (1 medium, 130 grams). Optionally If you have fresh curry leaves you may add 8 to 10 leaves. | Saute till golden, for 6 to 7 mins and add 1 teaspoon grated ginger and 1½ teaspoon pressed/grated garlic. (or alternately use 1½ tsps ginger garlic paste). Saute for 1 to 2 mins, until aromatic. | Stir in | 1 to 2½ teaspoon Kashmiri red chili powder (I use 2½, or use paprika for low heat) | Deglaze with 3 tablespoons water and add 1 cup chopped tomatoes (2 medium, or ½ cup tomato puree). | Saute until they become mushy and break down. | Pour 400 ml/ 13.5 oz canned coconut milk (1⅔ cups, or use raw grated coconut, read notes in recipe card at the end of the post) | If you are using small shrimp or any frozen shrimp, you won’t need any extra liquid. But if you are using jumbo/large size fresh shrimp, stir in ½ cup stock/water with 1½ tablespoon tamarind paste/pulp (or 1 tsp concentrate). Pour it to the pan. | Bring to a gentle boil and simmer for 3 mins for the flavors to develop. Taste test to adjust the seasoning. I felt mine needed a bit of sweetener to balance the tamarind so I added a tsp of jaggery powder (optional).",https://www.indianhealthyrecipes.com/wp-content/uploads/2026/04/shrimp-curry-recipe.jpg
Veg Puff Recipe (Bakery Vegetable Puffs),These flaky baked vegetable puffs make for a great party snack. They are made with a filling of spiced mixed vegetables and store-bought puff pastry sheets.,https://www.indianhealthyrecipes.com/veg-puffs/,"1  puff pastry sheet ((cut to 4 squares)) | 1 tablespoon oil ((15 ml)) | ½ teaspoon crushed fennel seeds ( (optional)) | 1 small onion ((⅓ cup/45 grams fine chopped, may omit)) | 1 sprig  curry leaves  ((optional)) | 1  green chili  ((chopped, optional)) | 1 teaspoon ginger garlic paste ((or ¾ tsp each grated)) | ¼ to ½ teaspoon Kashmiri red chili powder (or paprika) | ¼ teaspoon turmeric | ½ teaspoon garam masala ( (more if you want)) | ½ teaspoon sea salt  ((adjust to taste)) | 1 teaspoon lemon juice ( (optional)) | 1 tablespoon coriander leaves ( (or 1 tsp kasuri methi)) | 1 cup   diced potato ( (150 grams - 1 medium, peel &amp; dice to ¾ inch)) | ½ cup   diced carrots ( (70 grams - 1 medium, peel &amp; dice)) | ½ cup   green peas ( (60 grams - frozen or fresh, may sub half with sweet corn)) | 2 tablespoons unsalted melted butter  ((milk or a beaten egg with 2 tbsps milk))","Place diced potatoes, carrots & peas in a steaming basket or a wide bowl. Steam in a pot or pressure cooker until cooked through. I use my instant pot to steam on high pressure for 6 mins. | Heat a pan with oil and add the fennel seeds. When they begin to sizzle add onions, curry leaves, green chilies and half of the salt. Saute until light golden for 4 mins. | Add ginger garlic and fry for a minute. Reduce the flame and stir in chili powder, turmeric, garam masala and remaining salt. | Pour 2 to 3 tablespoon of water and deglaze the pan. Stir in the steamed veggies & saute for 2 mins. Turn off. | Mix in coriander leaves and lemon juice if you want. Taste test to adjust salt. Cool down completely. If you want may remove the curry leaves &amp; discard. | Meanwhile thaw your puff pastry sheets at room temperature, until easy enough to handle. Mine takes only 5 to 6 mins. (Depends on your indoor temp) | Cut each pastry sheet to 4 portions. Place 3 to 4 tbsps vegetable stuffing in the center of each cut puff pastry. (don&#39;t overfill) Brush 2 parallel edges with little water. | Bring one edge over the other and gently tap with your fingers, don’t press down with pressure. I prefer to leave a little gap on the sides for the steam to escape. This keeps the puffs crispy slightly longer. | Brush with unsalted melted butter or milk and place in the refrigerator for 15 to 20 mins. Meanwhile preheat the oven to 400 F/ 200 C for 15 to 20 mins. | Place in the center and bake for 20 to 22 mins or as instructed on the package, until golden & flaky. (Smaller ovens and toasters may take only 15 mins) | Cool the tray on a wired rack for at least 5 mins. Serve Vegetable puffs hot or warm with ketchup, cilantro/coriander chutney & chai.",https://www.indianhealthyrecipes.com/wp-content/uploads/2026/05/veg-puff-vegetable-puff.jpg
Palak Tofu (Spinach Tofu),"This recipe features pan-fried tofu served with a creamy and delicious spinach gravy.  Serve it over rice, quinoa, millets or with flatbreads like roti, naan or chapati.",https://www.indianhealthyrecipes.com/palak-tofu/,"200 grams extra firm pressed tofu ( (7 to 8 oz) cut to bite size pieces) | ¼ teaspoon salt | 1 tablespoon lemon juice  (mixed with 2 tablespoons water or yogurt) | ¼ to ½ teaspoon Kashmiri red chili powder | ¼ to ½ teaspoon garam masala | 15  whole cashew nuts ( (soak in ½ cup boiling water or use ½ cup thick coconut milk, read notes)) | 1½ tablespoons unrefined virgin coconut oil  ((+ ½ tablespoon more to fry)) | ¾ cup chopped onions  ((90 grams, 1 small)) | 1 to 2  green chilies (/ serrano peppers (or ¼ tsp black pepper)) | ½ inch ginger  (peeled and chopped (8 grams)) | 3 medium  garlic  (cloves chopped (8 grams)) | ½ cup chopped tomatoes ( (90 grams, 1 small)) | 5 cups baby spinach ( (120 grams, after cleaning)) | ½ teaspoon sea salt ( (adjust to taste)) | ½ to ¾ teaspoon garam masala  ((adjust to preference)) | ¼ to ½ teaspoon toasted cumin powder | ¼ teaspoon ground cardamom | 1 teaspoon crushed kasuri methi  ((dried fenugreek leaves)) | 1 tablespoon butter ( (optional))","Marinate: In a medium bowl, mix together chili powder, garam masala, salt, lemon juice and water or yogurt. Add pressed tofu and gently coat the marinade. Cover and rest until needed later or in the refrigerator overnight, up to 2 days. | Heat oil in a pan and add onion, ginger, garlic and green chilies. Saute for 5 to 6 mins, until transparent. | Add tomatoes & sauté until mushy. Pour ¼ cup water. Cook covered until the tomatoes and onions become soft. | Stir in the spinach and saute until wilted &amp; the raw smell is gone, for 4 to 5 mins. | Cool down and transfer to a blender. Add the soaked cashews with the soaking liquid or coconut milk. | Blend to a smooth puree, adding more water/ coconut milk to bring to a consistency (I used ¼ cup more). Return to the pan & stir in salt, cardamom, garam masala & cumin powder. Cook for 3 to 5 mins, until thick. | Add crushed kasuri methi and turn off. | Pan Fry: Meanwhile, heat oil in a pan and add the marinated tofu. Pan fry until golden, turn with a spoon and fry on all sides. (Takes me about 6 to 7 mins.) Optionally add butter and mix well to coat the tofu with melted butter. | Air Fry or Bake: If you want to air fry or oven bake, preheat the oven to 400 F or 200 C for 15 mins. Spread the tofu on a prepared baking sheet and air fry or bake for 15 mins, shaking after 9 mins. | Mix in 1 tablespoon lemon juice to the palak gravy. Layer the pan fried tofu over the curry. | Optionally garnish with coconut milk or whisked Greek yogurt. Serve Palak Tofu with flatbreads like roti, chapati, naan, bread or over rice.",https://www.indianhealthyrecipes.com/wp-content/uploads/2026/05/palak-tofu-recipe.jpg
Gulab Jamun Recipe,Gulab jamun are a popular classic Indian sweet made of milk solids and sugar. This post shares 2 gulab jamun recipes. one with milk powder and the other with khoya.,https://www.indianhealthyrecipes.com/gulab-jamun-recipe-using-milk-powder/,1 cup milk powder | 5 tbsp  all-purpose flour  ((maida)) | 1 tsp ghee (or oil) | 1 tbsp ghee  (or oil for greasing) | 2 to 4 tbsp milk ((use more as needed)) | 1 tbsp curd ((yogurt or ¾ tbsp lemon juice)) | 1 large pinch Baking soda (or 1/8 th tsp) | Ghee (or oil for deep frying) | 1 tsp pistachios (chopped ) | 1 ¼ to 1 ½ cups Sugar | 1 ½ cup water | 4 pods green cardamom  (or ¼ tsp cardamom powder) | 1 tsp rose water,"Add 1.5 cups sugar and lightly crushed 4 green cardamoms to a pot. You can also use organic or turbinado sugar, the color of the syrup will be darker. | Pour 1.5 cups water. | Boil this until the syrup turns slightly sticky. To check this, cool little syrup in a small plate. Dip your fore finger in it and touch with your thumb. You should feel it is slightly sticky. It should not reach one string consistency. | If you fail to make the syrup correctly, then the jamuns will not soak the syrup and turn soft. If you go past the sticky syrup stage, you will end up in a one string consistency. In that case, add little water and stir. Check again. Switch off. Add rose water. | To a wide pot, add sugar and water. Heat on a medium flame until the sugar dissolves. The let the syrup boil until it reaches a sticky consistency. | Add rose water, cardamom powder and lemon juice. Mix well and set it aside to keep the syrup slightly hot. | In a mixing bowl, stir together grated mawa, add flour, cardamom powder and then baking powder. | Pour milk only as needed little by little to make a smooth crack-free dough. You can gently knead it but don’t over knead as it affects the texture and forms gluten. You must get a dough ball that is smooth with not many cracks. It should not be dry or crumbly. | Heat oil in a deep pot or kadai. | Check if the oil is hot by gently sliding a small piece of dough. It must go in and rise slowly with bubbles & should not brown. This is the right time to fry the balls. | Regulate the flame to medium. Begin to drop one ball at a time. Slowly add as many balls as possible. | After frying for few minutes they will firm up. Keep stirring and fry them uniformly until golden brown. If needed switch the stove flame to low and medium. | Remove the gulab jamuns to a colander. Continue frying and removing the fried ones to a colander. | Allow the balls to cool a bit for 3 to 5 mins. Add them to slightly hot syrup. The syrup should not be very hot. When you dip your finger you must feel the syrup is hot but not very hot. | Gently rotate the gulab jamuns in the syrup. Let them soak for 45 mintues before serving. | Serve gulab jamun with sugar syrup or vanilla ice cream. Garnish with thinly sliced pistachios.",https://www.indianhealthyrecipes.com/wp-content/uploads/2012/11/gulab-jamun-recipe.jpg
Cumin Powder (Roasted Jeera Powder),"Learn to make cumin powder at home with the help of these simple steps. Homemade ground cumin is more aromatic, pure, hygienic and economical than the store bought.",https://www.indianhealthyrecipes.com/cumin-powder/,½ cup cumin  (seeds (72 grams)),"Clean cumin seeds and add them to a heavy bottom pan. Turn on the heat to medium and keep stirring until the seeds become hot to touch. | Reduce the heat to the lowest and roast them. Keep stirring continuously so the seeds roast evenly. | When done, they will emit a strong earthy, pungent and smoky aroma. Remove from heat. Do not over roast they will burn and taste bitter. | Cool them completely and add to a grinder. Grind in short intervals of 30 to 50 seconds until ground to a fine powder. | Cool completely and transfer to a air tight glass jar. If you plan to store for longer, store in smaller jars and use them one after the other so most of the aroma is retained. | Use cumin powder as needed in curries, stir fry dishes, soups, salads and chaats.",https://www.indianhealthyrecipes.com/wp-content/uploads/2021/04/cumin-powder-jeera-powder.jpg
Shrimp Tikka Masala (Shrimp Masala),"This Shrimp Tikka Masala is delicious and easy to make! Serve it over steamed rice or with chapati, roti, naan or parathas.",https://www.indianhealthyrecipes.com/shrimp-tikka-masala/,"1 cup onions ( fine chopped (1 medium)) | 1¼ cup tomatoes  ((deseeded &amp; chopped, 2 medium)) | 1½ teaspoon ginger garlic paste | 2 to 3 tablespoons oil  ((or 2 tbsp oil &amp; 1 tbsp ghee)) | 1 to 1¼ teaspoon Kashmiri red chilli powder ((read notes)) | ⅛ teaspoon turmeric powder | ¾ to 1 teaspoon garam masala | 1 teaspoon coriander powder | ½ teaspoon cumin powder | 1 teaspoon Kasuri methi | 1 teaspoon salt | ½ to 1 teaspoon sugar | ¼ cup whipping cream  ((optional or 3 tablespoons almond flour or 10 cashews, read notes)) | 1½ to 2 cups water | 325 grams shrimp  (or tiger prawns (deveined &amp; cleaned (about 0.75 pounds))) | ¼ teaspoon salt | ¼ to ½ teaspoon Kashmiri Red chilli powder | ⅛ teaspoon turmeric | ¼ teaspoon garam masala | ¼ teaspoon coriander powder | ¼ teaspoon cumin powder | 2 teaspoons lemon juice | ¼ teaspoon garlic powder ( (optional)) | ¼ teaspoon kasuri methi  ((optional))","Heat a pan with oil and add onions. Stir fry until deep golden to light brown. | Add ginger garlic paste and saute for a minute. | Reduce the heat to lowest. Stir in Kashmiri red chilli powder, turmeric, garam masala, coriander powder, cumin powder and salt. | Immediately pour 3 to 4 tablespoons water and cook until the water evaporates. | Add the tomatoes and saute on a medium high heat for 3 mins. Cover and simmer until the tomatoes break down to a mush. | Reduce the heat and stir in the nut paste (optional) and cook until you see traces of oil on the top or sides of the pan. (If using cream wait until the last step) | Pour water and bring it to a rolling boil. Cover and simmer until the gravy turns thick and the onions are softened. | Add sugar and kasuri methi. Taste test and add more salt if you want. Mix and turn off. Your tikka masala is ready. | For this recipe, it is essential to cool down the sauce a bit before cooking your shrimp with the sauce. Else your shrimp will be bland. | Optional - If you want a smooth sauce, cool this and blend to a smooth gravy, adding more water if required. If you want some texture in the gravy, blend only a part of it. | Mix together shrimp, lemon juice, red chilli powder, salt, garam masala, coriander powder, cumin powder, turmeric, garlic powder (optional) and kasuri methi. Rest aside for 5 to 8 mins. | Add 1 tablespoon oil or ghee to a wide skillet or pan. Spread the oil and begin to heat on a medium heat. | When the pan is medium hot, begin to layer the marinated shrimp and cook just for a minute. Quickly with a tong, turn them to the other side and cook for another minute. Do not burn. | Immediately pour the cooled or warm tikka masala to the pan. Stir and cook on a low heat just until the shrimp transform to a “C” shape, which means they are cooked. It takes only about 2 to 3 mins depending on the size of your shrimps. Do not overcook. | Take the pan off the stove and stir in cream if using. Keep covered until served, | Turn off and garnish shrimp tikka masala with cream and chopped coriander leaves.",https://www.indianhealthyrecipes.com/wp-content/uploads/2022/11/shrimp-tikka-masala-indian.jpg
Keerai Kootu (Spinach Kootu),"Easy, delicious and flavor-packed dish of leafy greens cooked with lentils, coconut and spices. It is eaten with a side of rice, but you can eat it with millets, quinoa or with flatbreads and dosas.",https://www.indianhealthyrecipes.com/keerai-kootu/,⅓ cup moong dal ( (or ¼ cup moong dal + 2 tbsps toor dal)) | ¾ to 1 cup water | 4 to 5 cups (120 grams)  spinach/ keerai ((palak or use any other)) | 1 small (½ cup)  onion ( fine chopped or 8 shallots peeled and sliced) | 1 small (½ cup)   tomato  (deseeded &amp; sliced) | 1  green chili  (chopped (may omit for no heat)) | 3 to 4 medium garlic cloves ( fine chopped (or sub with ½ tbsp chopped ginger)) | 1 sprig curry leaves | 2 tablespoons ghee (or use oil of choice) | ¼ teaspoon mustard seeds | ½ teaspoon cumin seeds | 1 pinch hing (/ asafetida (optional)) | 1  dried red chili (broken) | ¼ to ½ cup hot water | ⅛ teaspoon turmeric | ¼ to ½ teaspoon red chili powder | ¾ teaspoon coriander powder | ⅓ teaspoon cumin powder | ¼ cup raw grated coconut  ((or unsweetened shredded coconut – read notes or use thick coconut milk)) | ¼  water,"Add ⅓ cup moong dal to a bowl or use ¼ cup moong dal and 2 tablespoons toor dal. If you like more dal in your kootu, you may use ¼ cup moong dal & ¼ cup toor dal. | Rinse it well a few times and drain the water. Pour ¾ cup water. If using more dal use 1 cup. Cover, place in the cooker and cook until soft and mushy for 3 whistles or in the instant pot for 11 minutes. You can also cook your short grain white rice (like sona masuri or ponni) in another bowl, along with the dal. | While the dal cooks, | Wash and chop 4 to 5 cups of spinach (about 120 grams leaves). | Also chop 1 small onion or 7 to 8 shallots to make half cup. (may omit if you don’t eat onions) | Deseed and chop 1 medium tomato to make half cup. | You will also chop 3 to 4 medium garlic cloves (or sub with half tbsp chopped ginger) | 1 green chili (you may omit for no heat) | Heat 2 tablespoons ghee or oil on a medium heat. Add ¼ teaspoon mustard, ½ teaspoon cumin seeds and 1 dried broken red chili. mustard seeds | When the seeds begin to splutter, add the garlic, 1 sprig curry leaves and green chilies and a pinch of hing/ asafetida (optional). If you want you may add the whole sprig of curry leaves as it is , this way you can easily discard it before serving. | Saute for a minute and add the onions and a pinch of salt. Saute for 4 to 5 mins until the onions turn light golden or transparent. | Add tomatoes and continue to cook until the tomatoes break down, for 4 to 5 mins. | Add the ground spices. You can either add sambar powder or curry powder or use the below spices | Saute for a minute. | Add the chopped keerai/leafy greens. | Saute until wilted for 4 to 5 mins. If you are using more mature greens, cook them down until soft for a little longer. They won’t actually cook much after adding the dal. | Meanwhile, add ¼ cup raw grated coconut and ¼ cup water to a grinder. (If using unsweetened shredded coconut, soak ¼ cup in ¼ cup boiling hot water until soft, about 15 to 20 mins. Add to the grinder and pour ¼ cup full fat milk.) | Make a smooth paste. If you are using shredded coconut, make sure it’s been ground to a very smooth consistency else your dal will be gritty with coarse coconut. | When the dal is cooked, add it to the keerai along with the coconut. | Mix well and add more hot water as required. You will need about ¼ to ½ cup water depending on the amount of dal you used. Simmer for 3 to 4 mins, until bubbling hot. Taste test to adjust salt. If it is low on heat, add little ground black pepper. If you want remove the curry leaves sprig. | I do not make an additional tempering to this keerai kootu because I cook in ghee and it already has a lot of flavor from the coconut and dal. However if you want, you may heat a tablespoon of ghee in a small pan. Add a pinch of each, mustard and cumin seeds, a red chili and curry leaves. When the leaves turn crisp, add a pinch of hing and turn off. Pour it over the keerai kootu.",https://www.indianhealthyrecipes.com/wp-content/uploads/2025/01/keerai-kootu-spinach-kootu.jpg
Khaman Dhokla Recipe (Soft & Fluffy),"Khaman dhokla is a soft, spongy &amp; delicious savory steamed cake made with gram flour, spices and a leavening agent. Serve it as a breakfast or snack with chutney.",https://www.indianhealthyrecipes.com/khaman-dhokla/,"1 cup (125 grams)  besan ((gram flour)) | 1 tablespoon (10 grams)  fine semolina ((fine suji/ rava)) | ¼ teaspoon turmeric | ½  cup water ((to start off)) | 1 teaspoon sugar | ⅓ teaspoon salt | 1 tablespoon oil | ½ tablespoon ginger paste | 1  green chili paste ((or deseeded and minced)) | ⅓ teaspoon natural citric acid ((or 1 tablespoon lemon or lime juice)) | ¼ cup water ((+ 1 to 2 tbsp more or as needed)  (read notes)) | ¾ teaspoon Eno ((unflavored fruit salt)  ) | 1 tablespoon oil | ¾ teaspoon mustard seeds | ⅛ teaspoon hing ((asafoetida)) | 1 sprig curry leaves | 2 slit green chilies ((adjust to taste)) | 1 to 2 tablespoons sugar ((adjust to taste)) | ¼ teaspoon salt ((adjust to taste)) | ½ cup water ((adjust as needed, read notes))","Pour water to a bowl. Add salt, sugar, oil, ginger paste, green chili paste and lemon juice or citric acid. Mix all the ingredients and stir well until the sugar dissolves. Keep this aside. ½ cup water, 1 teaspoon sugar, ⅓ teaspoon salt, 1 tablespoon oil, ½ tablespoon ginger paste, 1 green chili paste, ⅓ teaspoon natural citric acid | Pour water to a bowl. Add salt, sugar, oil, ginger paste, green chili paste and lemon juice or citric acid. Mix all the ingredients and stir well until the sugar dissolves. Keep this aside. | Place a sieve over a large mixing bowl. Add besan and turmeric to it. Sieve them well. To the same bowl, add semolina & give a good mix. 1 cup (125 grams) besan, ¼ teaspoon turmeric, 1 tablespoon (10 grams) fine semolina | Place a sieve over a large mixing bowl. Add besan and turmeric to it. Sieve them well. To the same bowl, add semolina & give a good mix. | Pour the spiced water we made at step 1. Mix well with a whisk to a lump-free batter. | Batter will be thick at this stage. Pour more water as needed to make a free flowing yet slightly thick batter. The quantity of water to use depends on the texture of flour as well. ¼ cup water | Batter will be thick at this stage. Pour more water as needed to make a free flowing yet slightly thick batter. The quantity of water to use depends on the texture of flour as well. | Beat the batter very well in one direction (clock-wise or anti-clock wise) with your whisk for exactly 50 to 60 seconds. | Batter has to be neither too thick nor too runny. To check the consistency of the dhokla batter, dip a spoon. It has to be thick enough to coat the back of the spoon yet should not be of a ribbon consistency. (Check the step-by-step pictures). Keep this aside and prepare the steamer. | Pour 2½ to 3½ cups water to a pot or a steamer. Place a steel rack or a ring or a long legged trivet. Cover and bring the water to a rolling boil. (I pour about 4 cups as I use a large pot) | Meanwhile grease a 5 inch pan or container with ½ to 1 teaspoon oil. Grease the sides as well. | When you see the water in the steamer is about to come to a boil, then add eno (fruit salt) and pour 1 tablespoon water to the dhokla batter. You will see the eno activates and froths up. ¾ teaspoon Eno | When you see the water in the steamer is about to come to a boil, then add eno (fruit salt) and pour 1 tablespoon water to the dhokla batter. You will see the eno activates and froths up. | Quickly mix everything well to incorporate it. As you mix, the khaman dhokla batter begins to thicken and turns light. Run the whisk around the bowl including the sides to mix it evenly. | Immediately pour this to the greased pan. Even out the top with the whisk. Quickly place it in the steamer and cover it. | Steam it for 18 to 20 mins on a moderately high flame. It has to be steamed constantly through out the time. Once done, a knife inserted in the center should come out clean. Turn off the stove and leave it covered in the pot for another 5 mins. | Pour oil to a tadka pan and heat it. Add mustard seeds. When they begin to crackle, add curry leaves and sliced green chilies. Saute for a while until the curry leaves turn crisp. 1 tablespoon oil, ¾ teaspoon mustard seeds, 1 sprig curry leaves, 2 slit green chilies | Pour oil to a tadka pan and heat it. Add mustard seeds. When they begin to crackle, add curry leaves and sliced green chilies. Saute for a while until the curry leaves turn crisp. | Add hing, sugar and salt. Pour water. Bring it to a rolling boil and turn off. Stir a few times to dissolve the sugar. Cover this and leave it to cool down a bit. ⅛ teaspoon hing, 1 to 2 tablespoons sugar, ¼ teaspoon salt, ½ cup water | Add hing, sugar and salt. Pour water. Bring it to a rolling boil and turn off. Stir a few times to dissolve the sugar. Cover this and leave it to cool down a bit. | Remove the dhokla pan from the steamer and cool it completely. After it cools down, using a knife to loosen the sides if needed. | Keep a plate over the pan and invert the dhokla to the plate. Ensure the dhokla has cooled completely before removing it. Cut to squares. | Spread the spices all over the khaman dhokla. First pour half cup of the tempering water and wait for a while. Then pour the rest. All of the water will be absorbed by the dhokla. | Cool completely. Sprinkle toasted sesame seeds along with fresh coconut & fine chopped coriander leaves. Serve dhokla with Coriander chutney or Red Garlic Chutney .",https://www.indianhealthyrecipes.com/wp-content/uploads/2020/10/khaman-dhokla-recipe.jpg
