title,description,source_url,ingredients,steps,image
Ellu Sadam Recipe (South Indian Sesame Rice),"Ellu Sadam (South Indian Sesame Rice, Til Rice) is a traditional South Indian dish prepared with rice, sesame seeds, and a few more simple ingredients. Make it using my easy recipe.",https://www.whiskaffair.com/ellu-sadam-recipe-sesame-rice-recipe/,2 and ½ cups cooked and cooled rice | 2 teaspoons salt | 3 tablespoons chana dal (Bengal gram lentil) | 3 tablespoons white urad dal (split and skinned black gram) | ¼ cup white sesame seeds (or black sesame seeds) | 3 tablespoons raw peanuts | 5-6  whole dry red chilies (stalks removed) | 2 tablespoons grated fresh coconut | ¼ teaspoon hing (asafetida) (skip for gluten-free) | 3 tablespoons sesame oil (gingelly oil) | ½ teaspoon brown mustard seeds | ½ teaspoon cumin seeds | 10-12  whole curry leaves,"Add the following ingredients to a pan and dry-roast over medium-low heat until browned and fragrant, stirring frequently. | 5-6 dry red chilies (stalks removed) | Remove the pan from the heat and let the roasted ingredients cool completely. Note – Cooling the ingredients completely is essential; otherwise, they will release oil while grinding. | Add the roasted ingredients to a grinder or a food processor along with ¼ teaspoon asafetida and pulse to make a fine powder. Note: Do not grind in one go; the ingredients may heat up and release oil. | Add chana dal, urad dal, sesame seeds, peanuts, red chilies, and coconut to a pan and dry roast over medium-low heat until brown and fragrant, stirring frequently. | Remove the pan from the heat and let the roasted ingredients cool completely. | Note – Cooling the ingredients completely is important otherwise they will release oil while grinding. | Add the roasted ingredients to a grinder or a food processor along with asafetida and pulse to make a fine powder. | Note – Do not grind in one go as the ingredients may get heated and release oil. | Transfer rice to a large mixing bowl. | Add the sesame seeds powder and salt to the bowl and mix well to coat the rice with the powder. | Heat oil in a small pan over medium heat. | When the oil is hot, add mustard seeds, cumin seeds, and curry leaves, and let them crackle for 4-5 seconds. | Pour the tempering over the rice and mix well. | Serve the rice cold or heat it until warm!",https://www.whiskaffair.com/wp-content/uploads/2019/01/Ellu-Sadam-2-3.jpg
Kahwa Recipe (Kashmiri Kahwa Tea),"Kahwa is a Kashmiri tea flavored with cinnamon, cardamom, and saffron. It is a great drink to sip on cold winter days but can be had throughout the year. Here is how to make it at home.",https://www.whiskaffair.com/authentic-kashmiri-tea-kahwa-recipe/,3 cups water | 10-12 strands saffron (plus 3-4 more for serving) | ½ inch  piece of cinnamon stick (dalchini) | 1  clove (laung) | 1  whole green cardamom (hari elaichi) (lightly crushed) | ½ teaspoon dried rose petals | 1 teaspoon Kashmiri green tea (or any other green tea) | 2 teaspoons almonds (thinly silvered) | 2 teaspoons honey  (optional),"Heat 3 cups of water in a pan over medium-high heat. Once the water comes to a boil, reduce the heat to low. Add the following ingredients to the hot water, then let it simmer for 3-4 minutes. | 12 strands of saffron ½ inch piece of cinnamon stick 1 clove 1 green cardamom ½ teaspoon dried rose petals | Switch off the heat. A dd 1 teaspoon Kashmiri green tea to the pan and stir gently. | Let the tea steep for 30-40 seconds. | Add 1 teaspoon of slivered almonds and 1-2 strands of saffron to each cup. Add honey if you like your kahwa slightly sweet. | Serve hot. | Heat water in a pan over medium-high heat. | Once the water comes to a boil, reduce the heat to low. | Add saffron, cinnamon, clove, cardamom, and dried rose petals to the pan and let the water simmer for 3-4 minutes. | Switch off the heat. | Add green tea to the pan and stir gently. | Add 1 teaspoon of slivered almond slivers and 1-2 strands of saffron to each cup. | Add honey if you like your kahwa slightly sweet. Serve hot.",https://www.whiskaffair.com/wp-content/uploads/2019/01/Kashmiri-Kahwa-Tea-2-3.jpg
Beetroot Raita Recipe (Beet Raita),"Beetroot Raita (Beet Raita, Chukandar Ka Raita) is an Indian accompaniment made using yogurt, beet, and a few spices. This raita tastes great with any Indian food and comes together in under 20 minutes using simple ingredients. Here is how to make it.",https://www.whiskaffair.com/roasted-beetroot-raita-recipe/,"100 grams beetroots (or 1 medium-sized beetroot, peeled and cut into ½ inch cubes) | ¼ cup water (plus 2 cups for boiling the beets) | 2 cups chilled plain yogurt (dahi, curd) | ½ teaspoon salt (or to taste) | 1 teaspoon roasted cumin powder | 2  teaspoons finely chopped green chilies (or to taste) | 2 tablespoons oil | ½ teaspoon brown mustard seeds | 10-12  whole curry leaves | 2  whole dry red chilies | 2 tablespoons crushed raw peanuts","Wash 100 g (1 medium-sized) beetroot and peel it using a vegetable peeler. Chop off ½-inch pieces from the top and bottom and cut the beetroots into ½-inch cubes. | Tip – Be cautious when handling beets. They leave permanent marks on the clothes and color the surfaces that come into contact with them. Use an old chopping board and knife, and wear an apron. Chop the green chilies. | Heat 2 cups of water in a pan over medium-high heat. Once the water comes to a boil, add the beetroots. Cover the pan with a lid and cook until they are softened (8-10 minutes). | Note – You can also cook the beetroot in a traditional pressure cooker or instant pot. I am sharing the methods in notes, just in case you want to check. | Drain the water and add the beetroot to a blender along with ¼ cup of cold water. Blend to make a smooth puree. | Tip – You can use the leftover water from boiling the beets to make curries or knead the dough. | Add yogurt to a bowl and whisk it until it is smooth and creamy. | Add the beetroot puree, salt, cumin powder, and green chilies to the bowl and mix well. | Note – You can add some water to thin the raita if it is thick for your liking. The ideal consistency should be like that of custard. | Heat oil in a small skillet over medium-high heat. | Once the oil is hot, add mustard seeds and curry leaves and let them crackle for 4-5 seconds. | Add dry red chilies and lightly crushed peanuts to the skillet and fry until they are crispy and golden brown in color. | Pour the tempering over the beet raita and stir well. Serve chilled. | Tip – Save some tempering for garnishing.",https://www.whiskaffair.com/wp-content/uploads/2018/12/Beetroot-Raita-2-3.jpg
Cold Coffee Recipe,"Make this creamy, frothy Cafe-Style Cold Coffee at home using 5 simple ingredients. It comes together in just 5 minutes, and you will love the foamy layer on top.",https://www.whiskaffair.com/cold-coffee-recipe/,"4 teaspoons instant coffee powder | 1 tablespoon granulated white sugar | 2 tablespoons warm milk | 2 cups chilled milk (whole, skim, low fat or plant-based) | 1 tablespoons milk powder (dairy whitener) | 2 scoops vanilla ice cream | 3-4  ice cubes","Garnish two tall glasses by drizzling some chocolate syrup on the sides. Freeze the glasses for 10 minutes. | Stir together the following ingredients in a small mixing bowl. | teaspoon instant coffee powder 2 tablespoon granulated white sugar 2 tablespoon warm milk | Mix until the sugar is dissolved. | Add the following ingredients to the medium jar of a blender and blend for a minute. | coffee mixture Check for sugar and add more if needed. | Pour the coffee into the prepared glasses. | Scoop the froth using a spoon and top it over the coffee. Sprinkle some coffee powder on top and serve immediately. | Stir together instant coffee powder, sugar, and warm milk in a small mixing bowl. | Add chilled milk, milk powder, vanilla ice cream, ice cubes, and the coffee mixture to the medium jar of a blender and blend for a minute. | Check for sugar and add more if needed. | Sprinkle some coffee powder on top and serve immediately.",https://www.whiskaffair.com/wp-content/uploads/2021/03/Cold-Coffee-2-3.jpg
Mint Chutney Recipe (Pudina Chutney),"This Mint Chutney (Pudina Chutney) is a great accompaniment to your stuffed parathas, pakoras, biryanis, and chaat. Make this refreshing chutney using my easy recipe.",https://www.whiskaffair.com/mint-chutney-recipe/,1 cup mint leaves (packed and rinsed) | ½ cup cilantro (fresh coriander leaves) (packed and rinsed) | 1-2  garlic cloves (peeled) | 2 teaspoons chopped ginger | 2 teaspoons chopped green chilies | ½ teaspoon roasted cumin powder | ½ teaspoon salt (or to taste) | 2 tablespoons freshly squeezed lime juice | 2 tablespoons water,"Start by cleaning the mint and cilantro. You need 1 cup of mint (packed) and ½ cup of cilantro (packed). Discard the thick stems of mint, keeping only the leaves and tender stems. You can keep the cilantro stems. Wash them well 2-3 times with water to remove dirt. Drain well. | Add all the ingredients to the jar of a blender. | Blend to make a smooth chutney. Scrape the sides of the jar a few times while making the chutney.",https://www.whiskaffair.com/wp-content/uploads/2021/04/Mint-Chutney-2-3.jpg
Mor Kuzhambu Recipe (Authentic Tamil Brahmin Style Buttermilk Curry),"Mor Kuzhambu (Mor Kulambu) is one of those dishes that feel like home the moment they touch the tongue. Soft, tangy, lightly spiced, and calming. This classic South Indian curry is made with spiced buttermilk, coconut, and gentle aromatics. It is light on the stomach, easy to cook, and perfect with hot steamed rice.",https://www.whiskaffair.com/mor-kuzhambu-recipe-more-kulambu/,"2 teaspoons yellow pigeon peas lentil (toor dal) | 1 teaspoon raw white rice | ½ teaspoon cumin seeds | 1 teaspoon chopped ginger | 2  whole green chilies | 8-10  curry leaves | ½ cup chopped fresh coconut | ¼ cup water | 1 cup  water | 1 cup cubed yellow pumpkin (½ inch cubes) | 1  cup sour yogurt (tangy curd, dahi) | 1 cup water | ½ teaspoon turmeric powder | 1 teaspoon salt (or to taste) | 2 teaspoons coconut oil | ½ teaspoon brown mustard seeds | ¼ teaspoon asafetida (hing) (skip for gluten-free) | 2-3  whole dry red chilies | 10-12  whole curry leaves","Soak 2 teaspoon toor dal and 1 teaspoon white rice in water for 30 minutes. | Wash, peel, and cut the yellow pumpkin into ½-inch pieces. You need 1 cup of cubed pumpkin. | Soak toor dal and raw rice in ½ cup water for 30 minutes. | Add 1 cup water to a saucepan and bring it to a boil over medium-high heat. | Add the pumpkin to the boiling water and cook until softened (6-8 minutes). | Drain any remaining water and keep the cooked pumpkin cubes aside. | Drain the dal and rice and add them into the small jar of a blender along with cumin seeds, ginger, green chilies, curry leaves, coconut, and water. | Blend to make a smooth paste. | Add yogurt to a medium-sized bowl. Whisk the yogurt using a wire whisk until smooth. | Add water, salt, and turmeric powder to the bowl and mix well. | Note – You can use the water left from cooking the pumpkin. | Note – If using ready-made buttermilk in place of yogurt, then just add turmeric powder to it and whisk until combined. | Add the coconut paste to the bowl and mix well. | Transfer the yogurt mixture to a cooking pan. Add the cooked pumpkin to the pan and stir to combine. | Switch on the heat to low and cook the curry for 15-18 minutes, until it comes to a gentle simmer. Stir frequently while cooking. | Note – Do not get tempted and increase the heat. The yogurt will split if the heat is higher. | Check for salt and add more if needed. | Heat coconut oil in a small pan over medium-high heat. | Once the oil is hot, add mustard seeds, asafetida, dry red chilies, and curry leaves, and let them crackle for 4-5 seconds. | Pour the tempering over the kuzhambu. Mix well and serve hot with rice.",https://www.whiskaffair.com/wp-content/uploads/2021/03/Mor-Kuzhambu-2-3.jpg
Salna Recipe (Empty Parotta Chalna),Salna (Empty Parotta Chalna) is a South Indian street-style curry made with onion and tomato as its base ingredients. This recipe is easy to make at home and requires only pantry staples.,https://www.whiskaffair.com/salna-recipe/,½ cup chopped fresh coconut | 1 teaspoon fennel seeds (saunf) | 1 inch  piece of cinnamon stick (dalchini) | 2-3  cloves (laung) | 2-3  whole green cardamoms (hari elaichi) | 1 teaspoon white poppy seeds (skip if not available) | 8-10  cashew nuts | 1  green chili (chopped) | 3 tablespoons oil | 2  whole bay leaves (tejpatta) | 1 inch piece of cinnamon stick (dalchini) | 2-3  cloves (laung) | 2-3  whole black peppercorns (kali mirch) | 1  whole star anise (chakr phool) | 10-12  curry leaves | 1 cup thinly sliced onions | 1  green chili (slit into half) | 1 and ¼ teaspoon salt (divided) | 2 teaspoons ginger garlic paste | ½ cup sliced tomatoes | 1 teaspoon coriander powder | 1 teaspoon Kashmiri red chili powder | ½ teaspoon turmeric powder | 2 teaspoons garam masala powder | 2 tablespoons chopped cilantro (fresh coriander leaves),"Add coconut, fennel seeds, cinnamon, cloves, green cardamoms, poppy seeds, cashew nuts, and green chili to a blender. | Add ¼ cup of water and blend to make a fine paste. | Heat oil in a pressure cooker over medium-high heat. | Once the oil is hot, add bay leaves, cinnamon, cloves, black peppercorns, and star anise, and let them crackle for 4-5 seconds. | Add curry leaves, onions, and green chili. | Add ¼ teaspoon salt and cook until the onions are slightly browned (4-6 minutes), stirring frequently. | Add ginger garlic paste and cook for 2 minutes. | Now add tomatoes and cook for 2-3 minutes. Stir frequently while cooking. | Add coriander powder, chili powder, turmeric powder, and garam masala powder, and cook for another minute. | Now add the ground paste you made earlier, along with 2 cups of water. Add 1 teaspoon salt and stir well. | Close the lid of the cooker and pressure cook for 2 whistles on medium-high heat. | Remove the cooker from heat, let the pressure release naturally, and then open the lid. | Check for salt and add more if needed. | Garnish with cilantro and serve hot. | To make salna in an instant pot, press SAUTE mode and follow the steps until the lid of the cooker is closed. | Now press CANCEL and then press PRESSURE COOK. | Set the timer to 4 minutes at high pressure. | Once the timer goes off, let the pressure release naturally for 10 minutes. Release the remaining pressure manually and open the lid.",https://www.whiskaffair.com/wp-content/uploads/2021/01/Salna-2-3.jpg
"Sakkarai Pongal Recipe (Chakkara Pongal, Sweet Pongal)","Sakkarai Pongal (Chakkara Pongal) is a traditional, sweet, porridge-like dish from South India, made with rice, lentils, and jaggery. Use my easy recipe to make it in a stovetop pressure cooker or an Instant Pot.",https://www.whiskaffair.com/sakkarai-pongal-sweet-pongal/,½ cup short grain white rice (I used Sona Masuri ) | 3 tablespoons yellow moong dal (skinned petite yellow lentils) | 1 teaspoon chana dal | 1 cup water | 1 and ½ cups crushed jaggery | 2-4  green cardamom pods (crushed) | 2  cloves (crushed) | ⅛ teaspoon nutmeg powder | 4 tablespoons ghee | 12-15  whole cashew nuts | 12-15  raisins,"Wash ½ cup short-grain rice 2-3 times with water. Drain and set aside. Wash 3 tablespoons of yellow moong dal and 1 teaspoon of chana dal a few times with water. Drain as much water as possible . To remove excess water, spread the lentils on a kitchen towel and let them drain for 10-15 minutes . | Press the SAUTE button on the Instant Pot. Transfer the lentils to the Instant Pot and dry-roast until lightly browned (5-6 minutes) , stirring frequently. This step is quick but non-negotiable. It eliminates any raw smell and adds a toasty undertone to the finished pongal. | Now, add the rinsed rice to the cooker. Add 3 cups of water and stir until well combined. | Close the cooker’s lid and set the valve to the sealing position. | Press PRESSURE COOK and set the timer to 15 minutes. Once the timer goes off, let the pressure release for 10 minutes. Release the remaining pressure manually. Open the lid and mash the cooked rice and lentils using a ladle or a wire whisk until creamy. | The mixture should look very soft and overcooked, almost porridge-like. If not, add more water and cook for 2-3 more minutes. | Wash rice 2-3 times with water. Drain and set aside. | Wash yellow moong dal and chana dal a few times with water. Drain the water as much as you can. | Press the SAUTE button on the Instant Pot. | Transfer the lentils to the Instant Pot and dry-roast until lightly browned (5-6 minutes), stirring frequently. | Now, add the rinsed rice to the cooker. | Add 3 cups of water and stir to combine. | Close the lid of the cooker and set the valve to the sealing position. | Press PRESSURE COOK and set the timer to 15 minutes. | Open the lid and mash the cooked rice and lentils using a ladle or a wire whisk until creamy. | Transfer the rinsed lentils to a stovetop pressure cooker and roast on medium heat until they are lightly browned (5-6 minutes), stirring frequently. | Add 3 and ½ cups of water, compared to the 3 cups used in the Instant Pot, and stir to combine. | Cook for 1 whistle on high heat. Reduce the heat to low and cook for 15 minutes. | Remove the cooker from the heat and let the pressure release naturally. Open the lid and mash the cooked rice and lentils using a ladle or a wire whisk until creamy. | While the rice and lentils are cooking, make jaggery syrup. Add jaggery and water to a saucepan. | Cook over medium heat just until the jaggery dissolves and the mixture comes to a rolling boil. Stir frequently while cooking. | Strain the mixture through a fine-mesh strainer. | Add the warm jaggery mixture, cardamoms, cloves, and nutmeg powder to the cooker and mix well. | Heat ghee in a small skillet over medium-high heat. | Once the ghee is hot, add 8-10 whole cashew nuts and fry until slightly browned and crisp (1-2 minutes). | Add raisins and fry until they plump up (5-6 seconds). Do not add raisins along with cashew nuts; otherwise, they will burn before the cashew nuts turn brown. | Pour the tempering over the pongal. Mix well and serve hot or at room temperature.",https://www.whiskaffair.com/wp-content/uploads/2021/02/Sakkarai-Pongal-2-3.jpg
Beetroot Poriyal Recipe (South Indian Beetroot Stir Fry With Coconut),"Beetroot Poriyal is a nutritious South Indian style beetroot stir fry made using beetroots, a few spices, and fresh coconut. Make this traditional poriyal using my easy recipe.",https://www.whiskaffair.com/beetroot-poriyal/,500 grams fresh beetroot | 1 teaspoon salt (or to taste) | 1 tablespoon oil | ½ teaspoon white urad dal (split and skinned black gram lentils) | 1 teaspoon brown mustard seeds | ¼ teaspoon asafetida (hing) (skip for gluten-free) | 2-3  green chilies (slit into half) | 1 teaspoon grated ginger | 10-12  curry leaves | ¼ cup grated fresh coconut,"Peel 500 g beetroot using a vegetable peeler. Discard the top and bottom ½ inch of the beetroot and rinse it. Chop them into small pieces (¼ inch). Add the chopped beetroots to a pressure cooker with 1 teaspoon of salt and 2 tablespoons of water. Stir well. | Wear gloves or rub a little oil on your palms before peeling and chopping teh beetroots. Beetroot juice stains skin, cutting boards, and white shirts you forgot you were wearing. | Pressure cook for 1 whistle over high heat. Reduce the heat to low and cook for 5 minutes. Remove the cooker from the heat and immediately run it under cold water. Open the lid. | You can also cook the beetroot in an Instant Pot. Add chopped beetroot, salt, and water to an Instant Pot. Secure the lid. Press PRESSURE COOK and set the timer to 2 minutes at high pressure. Once the timer goes off, do a 5-minute NPR, then QPR. Open the lid. | Peel the beetroot using a vegetable peeler. Discard ½ inch from the top and bottom and rinse the beetroot. | Chop them into small pieces (¼ inch). | Add the chopped beetroots to a pressure cooker along with salt and 2 tbsp water. Stir well. | Pressure cook for 1 whistle over high heat. Reduce the heat to low and cook for 5 minutes. | Remove the cooker from heat and immediately run it under cold water. Open the lid. | Heat oil in a pan over medium-high heat. | Once the oil is hot, add urad dal, mustard seeds, and asafetida, and let them crackle for 4-5 seconds. | Add green chilies, ginger, and curry leaves, and cook for 10-12 seconds. | Add the cooked beetroots along with the leftover water and cook for a minute. | Now add fresh coconut and mix well. | Check for salt and add more if required. | Serve hot with steamed rice and dal or rasam.",https://www.whiskaffair.com/wp-content/uploads/2018/12/Beetroot-Poriyal-2-3.jpg
"Raw Mango Rice Recipe (Mavinakayi Chitranna, Mamidikaya Pulihora)","Raw Mango Rice (Mavinakayi Chitranna, Mamidikaya Pulihora) is a South Indian green mango-flavored rice. This variety rice is a lovely variation of the popular lemon rice but with a tang from green mangoes. Make it in 2 ways using my easy recipes.",https://www.whiskaffair.com/raw-mango-rice-recipe/,2 tablespoons oil | 1 teaspoon brown mustard seeds | 1 teaspoon split and husked black gram (white urad dal) | 1 teaspoon Bengal gram (chana dal) | 10-12  curry leaves | 2-3  whole dry red chilies | ¼ teaspoon asafetida (hing) | 1 cup peeled and grated green raw mangoes | 2 teaspoons chopped green chilies | 1 teaspoon finely chopped ginger | 2 cups cooked and cooled white rice | ½ teaspoon turmeric powder | ¼ cup roasted peanuts | ½ teaspoon salt (or to taste) | 2 tablespoons chopped cilantro (fresh coriander leaves),"Next, prepare the green mangoes. Choose firm and tart mangoes and wash them well with water. Wipe the mangoes using a kitchen towel and peel them using a sharp paring knife. Now grate the mangoes using the small hole of a box grater. Discard the pit. Note – Don’t throw away the pit. You can use them while cooking the lentils. It will add a nice tang to them. | Heat oil in a pan over medium-high heat. | Once the oil is hot, add mustard seeds, white urad dal, chana dal, curry leaves, dry red chilies, and asafetida (hing), and fry until the dal turns a little brown (1-2 minutes). Stir frequently while frying. | Add raw mangoes, green chilies, and ginger, and cook for 2-3 minutes, stirring frequently. | Add cooked rice, turmeric powder, peanuts, and salt, and mix well. | Reduce the heat to low and cook for 2-3 minutes. | Check for salt and add more if needed. | Finally, add cilantro and mix well. Serve hot!",https://www.whiskaffair.com/wp-content/uploads/2021/04/Mango-Rice-2-3.jpg
