title,description,cuisine,state,region,language,source_url,ingredients,steps
Masala Dosa Scale Batch 01,Production scale ingestion fixture for Masala Dosa.,South Indian,Karnataka,South,english,https://example.com/generated-indian-recipes/0001,200 g rice|50 g urad dal|5 g salt|15 ml oil,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Paneer Butter Masala Scale Batch 01,Production scale ingestion fixture for Paneer Butter Masala.,North Indian,Punjab,North,english,https://example.com/generated-indian-recipes/0002,200 g paneer|150 g tomato|100 g onion|20 g butter,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Chole Masala Scale Batch 01,Production scale ingestion fixture for Chole Masala.,North Indian,Punjab,North,english,https://example.com/generated-indian-recipes/0003,200 g chickpea|120 g onion|150 g tomato|10 g turmeric,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Aloo Gobi Scale Batch 01,Production scale ingestion fixture for Aloo Gobi.,North Indian,Uttar Pradesh,North,english,https://example.com/generated-indian-recipes/0004,200 g potato|150 g cauliflower|100 g onion|10 g cumin,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Tomato Rice Scale Batch 01,Production scale ingestion fixture for Tomato Rice.,South Indian,Tamil Nadu,South,english,https://example.com/generated-indian-recipes/0005,250 g rice|150 g tomato|10 g mustard seed|15 ml oil,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Moong Dal Khichdi Scale Batch 01,Production scale ingestion fixture for Moong Dal Khichdi.,Indian,Gujarat,West,english,https://example.com/generated-indian-recipes/0006,200 g rice|100 g moong dal|5 g salt|10 g ghee,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Rajma Rice Scale Batch 01,Production scale ingestion fixture for Rajma Rice.,North Indian,Delhi,North,english,https://example.com/generated-indian-recipes/0007,200 g rice|150 g chickpea|100 g onion|10 g cumin,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Besan Chilla Scale Batch 01,Production scale ingestion fixture for Besan Chilla.,North Indian,Rajasthan,North,english,https://example.com/generated-indian-recipes/0008,150 g besan|80 g onion|10 g coriander|10 ml oil,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Curd Rice Scale Batch 01,Production scale ingestion fixture for Curd Rice.,South Indian,Tamil Nadu,South,english,https://example.com/generated-indian-recipes/0009,250 g rice|150 g yogurt|5 g salt|10 g mustard seed,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Vegetable Pulao Scale Batch 01,Production scale ingestion fixture for Vegetable Pulao.,Indian,Telangana,South,english,https://example.com/generated-indian-recipes/0010,250 g rice|100 g potato|80 g onion|15 ml oil,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Kadhi Pakora Scale Batch 01,Production scale ingestion fixture for Kadhi Pakora.,North Indian,Rajasthan,North,english,https://example.com/generated-indian-recipes/0011,200 g rice|50 g urad dal|5 g salt|15 ml oil,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Dal Tadka Scale Batch 01,Production scale ingestion fixture for Dal Tadka.,North Indian,Punjab,North,english,https://example.com/generated-indian-recipes/0012,200 g paneer|150 g tomato|100 g onion|20 g butter,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Jeera Rice Scale Batch 01,Production scale ingestion fixture for Jeera Rice.,Indian,Maharashtra,West,english,https://example.com/generated-indian-recipes/0013,200 g chickpea|120 g onion|150 g tomato|10 g turmeric,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Paneer Bhurji Scale Batch 01,Production scale ingestion fixture for Paneer Bhurji.,North Indian,Delhi,North,english,https://example.com/generated-indian-recipes/0014,200 g potato|150 g cauliflower|100 g onion|10 g cumin,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Potato Curry Scale Batch 01,Production scale ingestion fixture for Potato Curry.,Indian,West Bengal,East,english,https://example.com/generated-indian-recipes/0015,250 g rice|150 g tomato|10 g mustard seed|15 ml oil,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Cauliflower Sabzi Scale Batch 01,Production scale ingestion fixture for Cauliflower Sabzi.,Indian,Bihar,East,english,https://example.com/generated-indian-recipes/0016,200 g rice|100 g moong dal|5 g salt|10 g ghee,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Urad Dal Vada Scale Batch 01,Production scale ingestion fixture for Urad Dal Vada.,South Indian,Tamil Nadu,South,english,https://example.com/generated-indian-recipes/0017,200 g rice|150 g chickpea|100 g onion|10 g cumin,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Sambar Rice Scale Batch 01,Production scale ingestion fixture for Sambar Rice.,South Indian,Karnataka,South,english,https://example.com/generated-indian-recipes/0018,150 g besan|80 g onion|10 g coriander|10 ml oil,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Tomato Chutney Scale Batch 01,Production scale ingestion fixture for Tomato Chutney.,South Indian,Andhra Pradesh,South,english,https://example.com/generated-indian-recipes/0019,250 g rice|150 g yogurt|5 g salt|10 g mustard seed,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Chickpea Sundal Scale Batch 01,Production scale ingestion fixture for Chickpea Sundal.,South Indian,Kerala,South,english,https://example.com/generated-indian-recipes/0020,250 g rice|100 g potato|80 g onion|15 ml oil,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Masala Dosa Scale Batch 02,Production scale ingestion fixture for Masala Dosa.,South Indian,Karnataka,South,english,https://example.com/generated-indian-recipes/0021,200 g rice|50 g urad dal|5 g salt|15 ml oil,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Paneer Butter Masala Scale Batch 02,Production scale ingestion fixture for Paneer Butter Masala.,North Indian,Punjab,North,english,https://example.com/generated-indian-recipes/0022,200 g paneer|150 g tomato|100 g onion|20 g butter,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Chole Masala Scale Batch 02,Production scale ingestion fixture for Chole Masala.,North Indian,Punjab,North,english,https://example.com/generated-indian-recipes/0023,200 g chickpea|120 g onion|150 g tomato|10 g turmeric,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Aloo Gobi Scale Batch 02,Production scale ingestion fixture for Aloo Gobi.,North Indian,Uttar Pradesh,North,english,https://example.com/generated-indian-recipes/0024,200 g potato|150 g cauliflower|100 g onion|10 g cumin,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Tomato Rice Scale Batch 02,Production scale ingestion fixture for Tomato Rice.,South Indian,Tamil Nadu,South,english,https://example.com/generated-indian-recipes/0025,250 g rice|150 g tomato|10 g mustard seed|15 ml oil,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Moong Dal Khichdi Scale Batch 02,Production scale ingestion fixture for Moong Dal Khichdi.,Indian,Gujarat,West,english,https://example.com/generated-indian-recipes/0026,200 g rice|100 g moong dal|5 g salt|10 g ghee,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Rajma Rice Scale Batch 02,Production scale ingestion fixture for Rajma Rice.,North Indian,Delhi,North,english,https://example.com/generated-indian-recipes/0027,200 g rice|150 g chickpea|100 g onion|10 g cumin,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Besan Chilla Scale Batch 02,Production scale ingestion fixture for Besan Chilla.,North Indian,Rajasthan,North,english,https://example.com/generated-indian-recipes/0028,150 g besan|80 g onion|10 g coriander|10 ml oil,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Curd Rice Scale Batch 02,Production scale ingestion fixture for Curd Rice.,South Indian,Tamil Nadu,South,english,https://example.com/generated-indian-recipes/0029,250 g rice|150 g yogurt|5 g salt|10 g mustard seed,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Vegetable Pulao Scale Batch 02,Production scale ingestion fixture for Vegetable Pulao.,Indian,Telangana,South,english,https://example.com/generated-indian-recipes/0030,250 g rice|100 g potato|80 g onion|15 ml oil,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Kadhi Pakora Scale Batch 02,Production scale ingestion fixture for Kadhi Pakora.,North Indian,Rajasthan,North,english,https://example.com/generated-indian-recipes/0031,200 g rice|50 g urad dal|5 g salt|15 ml oil,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Dal Tadka Scale Batch 02,Production scale ingestion fixture for Dal Tadka.,North Indian,Punjab,North,english,https://example.com/generated-indian-recipes/0032,200 g paneer|150 g tomato|100 g onion|20 g butter,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Jeera Rice Scale Batch 02,Production scale ingestion fixture for Jeera Rice.,Indian,Maharashtra,West,english,https://example.com/generated-indian-recipes/0033,200 g chickpea|120 g onion|150 g tomato|10 g turmeric,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Paneer Bhurji Scale Batch 02,Production scale ingestion fixture for Paneer Bhurji.,North Indian,Delhi,North,english,https://example.com/generated-indian-recipes/0034,200 g potato|150 g cauliflower|100 g onion|10 g cumin,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Potato Curry Scale Batch 02,Production scale ingestion fixture for Potato Curry.,Indian,West Bengal,East,english,https://example.com/generated-indian-recipes/0035,250 g rice|150 g tomato|10 g mustard seed|15 ml oil,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Cauliflower Sabzi Scale Batch 02,Production scale ingestion fixture for Cauliflower Sabzi.,Indian,Bihar,East,english,https://example.com/generated-indian-recipes/0036,200 g rice|100 g moong dal|5 g salt|10 g ghee,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Urad Dal Vada Scale Batch 02,Production scale ingestion fixture for Urad Dal Vada.,South Indian,Tamil Nadu,South,english,https://example.com/generated-indian-recipes/0037,200 g rice|150 g chickpea|100 g onion|10 g cumin,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Sambar Rice Scale Batch 02,Production scale ingestion fixture for Sambar Rice.,South Indian,Karnataka,South,english,https://example.com/generated-indian-recipes/0038,150 g besan|80 g onion|10 g coriander|10 ml oil,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Tomato Chutney Scale Batch 02,Production scale ingestion fixture for Tomato Chutney.,South Indian,Andhra Pradesh,South,english,https://example.com/generated-indian-recipes/0039,250 g rice|150 g yogurt|5 g salt|10 g mustard seed,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Chickpea Sundal Scale Batch 02,Production scale ingestion fixture for Chickpea Sundal.,South Indian,Kerala,South,english,https://example.com/generated-indian-recipes/0040,250 g rice|100 g potato|80 g onion|15 ml oil,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Masala Dosa Scale Batch 03,Production scale ingestion fixture for Masala Dosa.,South Indian,Karnataka,South,english,https://example.com/generated-indian-recipes/0041,200 g rice|50 g urad dal|5 g salt|15 ml oil,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Paneer Butter Masala Scale Batch 03,Production scale ingestion fixture for Paneer Butter Masala.,North Indian,Punjab,North,english,https://example.com/generated-indian-recipes/0042,200 g paneer|150 g tomato|100 g onion|20 g butter,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Chole Masala Scale Batch 03,Production scale ingestion fixture for Chole Masala.,North Indian,Punjab,North,english,https://example.com/generated-indian-recipes/0043,200 g chickpea|120 g onion|150 g tomato|10 g turmeric,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
Aloo Gobi Scale Batch 03,Production scale ingestion fixture for Aloo Gobi.,North Indian,Uttar Pradesh,North,english,https://example.com/generated-indian-recipes/0044,200 g potato|150 g cauliflower|100 g onion|10 g cumin,Wash and prepare all ingredients|Cook the base ingredients until tender|Add spices and simmer until flavors combine|Finish with seasoning and serve hot
