video_id,title,source_url,duration_seconds,upload_date,description,error
g7kiN5RDWfA,Moong dal khichdi Recipe | Bengali Khichdi recipe | No onion Garlic Khichdi Recipe | Khichdi Kabita,https://www.youtube.com/watch?v=g7kiN5RDWfA,360,20260711,"#kabitaskitchen #bengalikhichdi #moongdalkhichdirecipe 

Preparation time - 45 minutes
Serving - 5

Ingredients:
Rice - 1 cup
Moong dal - 1cup
Ginger (grated)-  1tbsp
Potato - 3
Cauliflower - 1 cup
Green peas - 1/4 cup
Bay leave - 2
Cloves - 6
Dry red chillies - 5
Green chilli - 3
Green cardamom - 3
Cinnamon stick - 2 inch
Mustard oil - 1/4 cup
Ghee -1 tbsp


Moong dal khichdi Recipe, Bengali Khichdi recipe, No onion Garlic Khichdi Recipe, khichdi recipe, healthy khichdi recipe, how to make bengali khichdi, bhoger khichuri recipe, how to make khichdi without cooker",
5A5gGdmEtPw,Cafe style Corn Cheese Ball Recipe | कॉर्न चीज़ बॉल कैसे बनाते है | Cheese Ball recipe Kabitaskitchen,https://www.youtube.com/watch?v=5A5gGdmEtPw,461,20260709,"#corncheeseballs #kabitaskitchen #cheeseballrecipe 

Preparation time - 30 mins
Serving - 4

Ingredients:
Boiled potatoes - 2
Boiled corn - 1/2 cup
Onion - 1/4 cup
Capsicum - 1/4 cup
Green chilli - 1 tsp
Corn flour - 2 tbsp
Oregano - 1 tsp
Chilli flakes - 1 tsp
Mozzarella cheese - 1/4 cup
Corn flour - 2 tbsp
Maida - 2 tbsp
Black pepper powder - 1/4 tsp
Salt to taste 
Cooking oil to fry

corn cheese balls recipe, cheese ball recipe, kabitaskitchen, Cafe style Corn Cheese Ball Recipe, कॉर्न चीज़ बॉल कैसे बनाते है, Cheese Ball recipe Kabitaskitchen",
j_56l9GiPS0,बिहारी सरसों वाली सहजन की सब्ज़ी | Drumstick Curry recipe | Best Drumstick recipe | Kabitaskitchen,https://www.youtube.com/watch?v=j_56l9GiPS0,217,20260707,"#sarsowalisahjan #drumsrickcurry #kabitaskitchen 

Preparation time - 40 mins
Serving - 4

Ingredients:
Drumstick - 400 grams
Potato - 2
Tomato - 2
Garlic cloves - 15 to 17
Yellow mustard -1 tbsp
Brown mustard -1 tbsp
Dry red chilli or green chilli - 4
Turmeric powder - 1/2 tsp
Chilli powder - 1 tsp (optional)
Cooking oil - 6 tbsp
Salt to taste



बिहारी सरसो वाली सहजन की सब्ज़ी, drumstick curry recipe, how to make drumstick , shevga che bhaji, bihari style sahjan ki sabzi, sahjan ki sabzi, kabitaskitchen",
9-XCKL2rDho,No Bake Biscoff Cheese Cake Recipe | No Bake cheesecake recipe | Biscoff Cheesecake Recipe kabita,https://www.youtube.com/watch?v=9-XCKL2rDho,408,20260704,"#kabitaskitchen #biscoffcheesecake #nobakecheesecakerecipe #nobakebiscoffcheesecake

Ingredients :
Biscoff buiscuit - 2 packs
Cream cheese - 1 cup
Whipping cream - 1/2 cup
Caster sugar - 1/4 cup
Melted butter - 4 tbsp
Vanilla essence - 1/2 tsp
Biscoff spread - 1 cup


No Bake Biscoff Cheese Cake Recipe, No Bake cheesecake recipe, Biscoff Cheesecake Recipe kabita, easy cheesecake recipe, no bake cheesecake recipe, best cake recipe, how to make biscoff cheesecake, step by step cheesecake recipe, kabitaskitchen recipe, cheesecake recipe by kabitaskitchen, Biscoff Cheesecake Recipe kabita,  No Bake cheesecake recipe",
QocBnVuN5Pw,लौकी का हेल्दी नाश्ता जो बच्चो के टिफन के लिए परफेक्ट | Louki ka Nashta | Healthy Tiffin by Kabita,https://www.youtube.com/watch?v=QocBnVuN5Pw,425,20260702,"#loukikanastha #healthybreakfastrecipe #kabitaskitchen 


Preparation time - 30 mins
Serving - 3


Ingredients :
Sooji - 1 cup
Grated lauki - 1 cup
Water - 3/4 cup
Curd - 1/2 cup
Onion - 1/4 cup
Capsicum - 1/4 cup
Green chilli - 2 tbsp
Curry leaves - 1 tbsp
Mustard seeds - 1 tsp
Baking soda - 1/8 tsp
Oil for shallow fry
Salt to taste


Louki ka nasta, easy breakfast recipe, louki handva recipe, kabitaskitchen recipe, kids giffin recipe, easy breakfast recipe, step by step mini uttapam recipe, लौकी का हेल्दी नाश्ता जो बच्चो के टिफन के लिए परफेक्ट, Lauki ka Nashta, Healthy Tiffin by Kabita",
8JwWbNi6lDk,"Bihari Thali recipe | चावल, अरहर की दाल, आलू भुजिया, बैंगन बड़ी की सब्ज़ी, बचका | Veg Thali Kabita",https://www.youtube.com/watch?v=8JwWbNi6lDk,858,20260630,"#vegthali #vegthalirecipe #biharithali #ksbitaskitchen

Preparation time :
Serving -  2 to 3

Ingredients: 
Sarso wali baingan wadi ki sabzi :
Chanadal wadi - 1/2 cup
Baingan - Half 
Aloo - 2 medium 
Tomato puree - 1 tomato
Yellow mustard seeds - 2 Tbsp
Coriander leaves - 2 tbsp
Cumin seeds - 1/2 tbsp
Coriander seeds - 1/2 tbsp
Garlic cloves - 10 to 12
Green chili - 2
Turmeric powder - 1/2 tsp
Water as required 
Oil for shallow fry 
Red chili powder - 1/2 tsp
Water as required 

Rice - 1 cup
Water - 1.75 cup

Aloo bhujiya :
Potato - 2 
Mustard oil - 2 tbsp
Cumin seeds - 1 tbsp
Dry red chili - 2
Turmeric powder - 1/3 tsp
Salt to taste 

Arhar dal :
Water - 1.5 glass
Dal - 1/2 cup
Onion - 1/2 cup
Tomato - 1/2 cup
Ghee - 1 tbsp
Garlic - 1 tsp
Cumin seeds - 1/2 tsp
Turmeric powder - 1/2 tsp
Hing - 1/4 tsp
Salt to taste 

For dal tadka :
Ghee - 1 tbsp
Dry red chili - 1 
Kashmiri red chili powder - 1/2 tsp

Bajka :
Oil for frying 
Besan - 1/2 cup
Lauki and baingan slices - 1/2 cup
Rice flour - 1 tbsp
Coriander leaves - 1 tbsp
Turmeric powder - 1/2 tsp
Red chili powder - 1/2 tsp
Salt to taste 
Water as required",
DVenIB29Q3U,My New Kitchen Tour | शूट के लिए Useful किचन कैसे बनाये | Kitchen Tour | Kabitaskitchen,https://www.youtube.com/watch?v=DVenIB29Q3U,280,20260625,"#KabitasKitchen #AmazonPrimeDay #KitchenTour #AmazonFinds #PrimeDayDeals #ModularKitchen 

My Ultimate Studio Kitchen Tour & Top Amazon Prime Day Picks! 🌟 KabitasKitchen Upgrade

Hey everyone, aap sabka swagat hai mere channel per! I recently upgraded my kitchen, sharing a short tour of my kitchen with all of you. With the Amazon Prime Day Sale here, it’s the perfect time to give your own kitchen a makeover!

Here are my top prime day picks for my kitchen—from highly useful appliances to must-have organization tools, all available at amazing discounts! Watch the video to see how I use them daily to make cooking easier and more fun.

Don't wait, add these favourites to your cart right now! 👇

🛍️ SHOP MY KITCHEN UPGRADE (Amazon Prime Day Deals!)
Must-Have Kitchen Gadgets & Appliances:

Philips Hand Mixer: https://aip.urlgeni.us/https://amzn.to/4eIppJS

Agaro Egg Boiler: https://aip.urlgeni.us/https://amzn.to/4vtxjho

Agaro Royal Mixer / Frother: https://aip.urlgeni.us/https://amzn.to/4etqqqn

Atom Weighing Scale: https://aip.urlgeni.us/https://amzn.to/4wdCpi1

Portable Mini Sealing Machine: https://aip.urlgeni.us/https://amzn.to/4vwnuzt

Ninja Combi Multicooker: https://aip.urlgeni.us/https://amzn.to/4oJ78AO

Built In Microwave Elica Microwave: https://aip.urlgeni.us/https://amzn.to/43Vbond

Built in Elica Oven: https://aip.urlgeni.us/https://amzn.to/4xN3QAG

Carysil Quartz Kitchen Sink: https://aip.urlgeni.us/https://amzn.to/44dVRPL

Kairos 7Pcs Kitchen Knife Set: https://aip.urlgeni.us/https://amzn.to/4f4LQtd

CLASSY TOUCH Bamboo Cooking Spatula Set: https://aip.urlgeni.us/https://amzn.to/4xNYeGa

Kundi Rustic Wood Spice Rack Shelf: https://aip.urlgeni.us/https://amzn.to/4oOAVs3

Modular kitchen tour, modern kitchen transformation, Amazon kitchen items, best kitchen gadgets on Amazon, kitchen tools and equipment, Amazon modular kitchen haul, Indian kitchen tour, aesthetic kitchen decoration ideas, essential cooking appliances, best oven and microwave for kitchen, how to organize a small kitchen, शूट के लिए Useful किचन कैसे बनाये, My New Kitchen Tour, Kitchen Tour",
ujIjtx2usYo,१० मिनट में एकदम ठेले जैसा तीखा चटपटा मसाला पाव | Masala Pav Recipe | Masala Pav by Kabitaskitchen,https://www.youtube.com/watch?v=ujIjtx2usYo,325,20260623,"#masalapav #cheesemasalapav #mumbaistreetfood #kabitaskitchen 


Preparation time - 30 mins
Serving - 5 to 6

Ingredients :
Pav - 6
Onion - 1 cup
Tomato - 2 
Capsicum - 1
Cheese slice - 2
Peanut - 1 tbsp
Oil - 4 tbsp
Coriander leaves - 2 tbsp
Ginger garlic paste - 1.5 tbsp
Schezwan chutney - 1 tbsp
Green chilli - 4 to 5
Butter - 1 tbsp
Cumin seeds - 1 tsp
Turmeric powder - 1/2 tsp
Pav bhaji masala - 1 tsp
Kashmiri Red chilli powder - 1 tsp
Salt to taste
Aloo bhujiya for garnish

बरसात में बनाये तीखा चटपटा मसाला पाव, Street Style Masala Pav, रिमझिम बारिश में बनाये तीखा चटपटा मसाला पाव, how to make masala pav, street food recipe, mumbai street food, kabitaskitchen masala pav recipe",
O_fpa5Z41fE,एक साल के लिए आम का अचार कैसे बनाए | Aam Ka achar recipe | कैबिटास्किचें,https://www.youtube.com/watch?v=O_fpa5Z41fE,492,20260620,"#mangopickle #aamkaacharrecipe #aamkaachar #kabitaskitchen 

Ingredients:
Raw Mango - 3 kg
Mustard seeds - 1/2 cup
Fennel seeds - 1/3 cup
Cumin seeds - 1/4 cup
Fenugreek seeds - 2 tbsp
Mustard oil - 1/2 litre. or 2 cups
Turmeric powder - 1/4 tsp
Kashmiri chilli powder - 1/2 cup
Salt to taste or 1/4 cup
Asafoetida (hing)-1 tbsp
Nigella seeds - 2 tbsp
carom seeds -2 tbsp
Vinegar -1/2 cup

बारिश के पहले आम का अचार एक साल के लिए ऐसे बना लेती हू , aam ka achar, आम का असली अचार कैसे बनाते है, mango  pickle recipe, how to make Mango pickle, traditional mix achar,  aam ka achar, आम का अचार, authentic best pickle recipe, step by step mix mango pickle recipe, green mango pickle, aam Achar, kacche mango ka achar, pickle recipe by kabitaskitchen, lahsun hari mirch ka achar, garlic pickle,  Indian pickle recipe, आम का अचार का सबसे आसान अचार,बारिश के पहले ये सब तैयारी करके रखती हू, बारिश के पहले एक साल के लिए आम का अचार बनाया मैंने",
I6IhaKgntrE,बिना अंडा बटर और मैदा के चॉकलेट कपकेक | Heathy chocolate cake | Chocolate Cupcake recipe | Kabita,https://www.youtube.com/watch?v=I6IhaKgntrE,250,20260618,"#kabitaskitchen #cakerecipe #cupcake #healthycakerecipe 

Preparation time - 15 minute 
Baking time - 20 minute
 
Ingredients :
Whole wheat flour - 1 cup
Milk - 1.25 cup
Sugar - 3/4 cup
Milk powder - 1/2 cup
Ghee - 2 Tbsp
Coco powder - 1/4 cup
Baking powder - 1 tsp
Baking soda - 1/2 tsp
Vanilla essence - 1 tsp
Salt - 1/8 tsp

How to bake cake , cake recipe , cup cake recipes , whole wheat flour cake, Chocochips cake , Healthy cup cake recipe, #kabitaskitchen",
