video_id,title,source_url,duration_seconds,upload_date,description,error
XmQ8mZFqczw,SECRETS To Cooking A PERFECT Indian Style CHICKEN CURRY (STEP BY STEP INSTRUCTIONS),https://www.youtube.com/watch?v=XmQ8mZFqczw,464,20220916,"How To Cook Indian Style Chicken Curry - Chicken Curry Recipe For Beginners 
If you follow this video step by step then I assure you that you will be making the best Indian style chicken curry. I tried my best to explain everything in detail and all the tips and tricks possible that go into making chicken curry.

RECIPE HERE - https://bumbicurry.blogspot.com/2025/01/chicken-curry-indian-style.html

Ingredients for making a chicken curry - serves 6 to 7
* 2.2 lb/ 1 kg chicken on bones. Please note that I preferably use chicken on bones for making a chicken curry. It's not that you cannot use boneless chicken but the gravy won't be as tasty. 
* 2 large potatoes quartered or medium potatoes halved. I did not boil the potatoes before adding them. 
* 1 very large onion or 2 medium sized onions. I used quarter of the onion for making a paste.
* 2 inch length ginger
* 10 large garlic cloves
* 1 large tomato
* 2 green chillies (optional)
* 2 large dry bay leaf
* 1 inch length cinnamon stick
* 6 to 7 green cardamoms
* 4 to 5 cloves
* 1/4 th cup plain unflavored yogurt
* 1 teaspoon turmeric powder
* 2 heaped teaspoons Kashmiri red chilli powder. You can even use regular red chilli powder but in that case please use less. Adjust the proportion of any chilli powder according to your tolerance of heat level. Add only half a teaspoon to start with, do a taste test at the end and add more if you feel you want more chilli heat.
* 1 tablespoon ground coriander
* 1 teaspoon garam masala powder.If you want to make garam masala powder at home then here is the recipe - https://youtu.be/ciR43perZbU
* 1/4 th teaspoon ground mace (optional)
* 1/4 th teaspoon ground nutmeg (optional)
* 2 teaspoons salt (add less to start with, you can always add later)
* 1 teaspoon sugar(optional)
* 1 cup hot water. You can go up to a total of 1 & 1/2 cups of hot water if you want more gravy.
* 1/4th cup oil ( 4 to 5 tablespoons) 
Serve this with rice/roti/paratha/naan. 
KEEP IN TOUCH FOOD LOVERS -
My email - bumbicurry@gmail.com.  Share the photos of your culinary success by emailing me. 
Facebook - https://www.facebook.com/currieswithbumbi

🎬Related videos -
🎬 Chicken & Lamb Recipes -
https://www.youtube.com/playlist?list=PLxgPEcdhkY4FjUhw6zc7nVQs2SkGSO41Q
🎬 Vegetarian & Vegan Recipes -
https://www.youtube.com/playlist?list=PLxgPEcdhkY4HGC40CzrMe3Itzjr2-AwUt

🎼Background Music - (From YouTube Audio Library)-
* Kiss the Sky By Aakash Gandhi
* Wager With Angels By Nathan Moore

#chickencurryrecipe #chickencurryindianstyle #currieswithbumbi 
DISCLAIMER- The information provided on this channel is for general purposes only and should not be considered as professional experience. All opinions/views/suggestions expressed here are based on my personal experience of cooking which I gained for years at my own home kitchen. While making videos, I have taken into consideration all possible and required safety precautions, but still any action you take based upon the information on this channel is strictly at your own discretion and risk, and we are not liable for any harm or damage in connection after watching or trying out the content presented in our videos.
Have a happy and safe cooking experience.",
psrRIBkjHB0,"BEST Indian Curry Masterclass, One Base for 100 Recipes | Curry Paste",https://www.youtube.com/watch?v=psrRIBkjHB0,764,20221227,"Do you want to make a perfect Indian curry, just how it's made at home or in your favourite restaurant? The secret of a curry is in its base, and that's exactly what you'll learn to make in this video. This curry base can be used for any vegetable curry, bean or lentil curry, or even chicken curry. You can even freeze this curry paste and simply use it when you feel like having an Indian recipe. 

What you'll learn in this video:

🟡 Authentic home recipe of a classic Indian curry
🟡 Main mistakes when making a curry and how to fix them
🟡 How to make a curry paste that you can freeze, and use whenever you like
🟡  Spice mix for an Indian curry
🟡 Flavour variations for your curry paste, with the help of whole spices
🟡 How to make a classic Indian curry with vegetables, beans, lentils, or chicken
🟡 Classic chickpea curry

#curry #curryrecipe #indianfood #indianrecipe 
*******************************
✅ ━━━━ GET THE FULL SYSTEM -- Healthy Salads  ━━━━
40+ dressings. Real formulas. No guesswork.
https://school.happybellyfish.com/p/healthy-salads-for-weightloss

✅ Download a visual guide for cooking with spices from Srikant (PDF) 👇🏽: https://happybellyfish.com/how-to-cook-with-spices-and-herbs-visual-guide-for-beginners/

✅ Srikant's online course The Mastery of Spices: https://school.happybellyfish.com/p/how-to-use-spices-online-course

⬇️ WATCH NEXT ⬇️

BEST Homemade Masala Chai Powder:
 https://youtu.be/UOtc7lUnezo

Peas Curry Recipe:
https://youtu.be/bs09n8srqDU

Palak Paneer Indian Style: 
https://youtu.be/goy4q7tsTAk

Mung Bean Coconut Curry:
https://youtu.be/4DUzHznECwY

********************************

Subscribe to weekly recipes: https://happybellyfish.com/subscribe/

*******************************

FOLLOW US: 

Instagram: https://www.instagram.com/happybellyfish
Pinterest: https://www.pinterest.de/happybellyfish/
Facebook: https://www.facebook.com/happybellyfish/

*******************************",
3M6BYGpWzZs,ಭಾನುವಾರ ಸ್ಪೆಷಲ್ ಈ ಮಸ್ತ್‌ ಆಂಧ್ರ ಚಿಕನ್ ಮಾಡಿ | Andhra Chicken curry at Home | Chicken Curry in Kannada,https://www.youtube.com/watch?v=3M6BYGpWzZs,345,20240224,"Recipe : andhra style chicken curry recipe in kannada / andhra chicken gravy recipe kannada / andhra style chicken masala curry recipe kannada / andhra chicken curry recipe in kannada / spicy chicken curry recipe in kannada / chicken curry recipe kannada / chicken gravy recipe kannada / chicken masala curry recipe kannada / village style chicken curry recipe kannada /Andhra chicken gravy curry recipe in Kannada.

Ingredients :
Chicken-500gms
Jeera-1/2 tsp
Cinnamon-2 pcs
Cardamom-1 pc
Cloves-1
Onion-2
Curd
Tomato pasted- 2
Onion(2) Deep fried in oil
Turmeric powder-1/4 tsp
Ginger garlic paste-1 tbs
Red chilli powder-2 tsp
Chicken masala powder-1 tsp
Coriander powder-1 tsp
Curry leaves-1 tbs
Green chilli-3
Coriander leaves-1 tbs
Water
Cooking oil
Salt for taste


Please Subscribe here : https://www.youtube.com/channel/UC2IdQ6liLSKNCxq9CfPjEBw?sub_confirmation=1 

Please Subscribe to Rekha Aduge for more recipe videos.

Please Like, Comment & Share.

#Andhrastyle #Chickencurry #Chickengravy #chicken #chickenmasala #food #southindian #chickenrecipe #rekhaaduge",
3A8IOEHyFtY,Best Chicken Curry Recipe | Chicken curry recipe | how to make Chicken curry | Chicken recipe,https://www.youtube.com/watch?v=3A8IOEHyFtY,125,20221220,"Best Chicken Curry Recipe | Chicken curry recipe | how to make Chicken curry | Chicken recipe














your queries:-

chicken curry | how to make chicken curry | easy chicken curry | chicken curry recipe | chicken curry recipe in hindi | dhaba style chicken curry | chicken recipe | chicken curry kaise banaye | spicy chicken curry | chicken masala | easy chicken curry recipe | punjabi chicken curry | chicken curry restaurant style | pressure cooker chicken curry | 
















#chicken #CurryNonGravy #chickencurry #chickenbiryani #chickencurryrecipe #chickengravy #chickenmasala #chickenrecipe  #chickenrecipes",
s2_DepctcIc,How a Michelin Star Indian Chef Makes Chicken Curry at Home | Passport Kitchen | Epicurious,https://www.youtube.com/watch?v=s2_DepctcIc,386,20230622,"Chef Akshay Bhardwaj joins Epicurious for another episode of Passport Kitchen, today making a chicken curry in the style traditionally prepared by his family in New Delhi, India.

Director: Mel Ibarra
Director of Photography: Kevin Dynia
Editor: Micah Phillips
Host: Akshay Bhardwaj
Sr. Culinary Producer: Kelly Janke
Producer: Mel Ibarra
Senior Producer: Ali Inglese
Culinary Producer: Mallary Santucci
Culinary Associate Producer: Leslie Raney
Line Producer: Jen McGinity
Associate Producer: Tim Colao
Production Manager: Janine Dispensa
Production Coordinator: Elizabeth Hymes
Camera Operator: Ben Townsend
Audio: Kurt Pierce
Production Assistant: Samantha Cadiff
Researcher: Vivian Jao
Casting: Vanessa Brown
Post Production Supervisor: Andrea Farr
Post Production Coordinator: Scout Alter
Supervising Editor: Eduardo Araujo
Assistant Editor: Billy Ward

Start your free trial and access over 50,000 expertly-tested recipes from Epicurious, Bon Appétit and more on the Epicurious app. https://apps.apple.com/app/apple-store/id312101965?pt=45076&ct=EpiVideoDescriptionYT&mt=8

Still haven’t subscribed to Epicurious on YouTube? ►► http://bit.ly/epiyoutubesub

ABOUT EPICURIOUS
Browse thousands of recipes and videos from Bon Appétit, Gourmet, and more. Find inventive cooking ideas, ingredients, and restaurant menus from the world’s largest food archive.",
jwyge5daKUQ,CHICKEN CURRY FOR BACHELORS | SIMPLE CHICKEN CURRY FOR BEGINNERS | CHICKEN GRAVY,https://www.youtube.com/watch?v=jwyge5daKUQ,225,20200307,"Chicken Curry For Bachelors | Simple Chicken Curry For Beginners | Chicken Gravy | Chicken Curry | Bachelor Chicken Curry | Chicken Masala Powder Curry | Easy Chicken Curry | Chicken Masala

CELA Brand of Kitchen Products by Spice Eats. Available on Amazon India - https://amzn.to/47OVIn7
CELA Large Stainless Steel Cutting Board - https://amzn.to/4odjf7x
CELA 2 in 1 Glass Oil Sprayer and Dispenser Bottle - https://amzn.to/49t9aiY
CELA Digital Kitchen Timer - https://amzn.to/4idulrv

Ingredients for Simple Chicken Curry:

- Chicken- 1 kg
- Onion, rough chopped- 4 medium
- Ginger, crushed- 2 tsp
- Garlic, crushed- 2 tsp
- Tomatoes, roughly chopped- 3 medium
- Green chillies, thick chopped- 3 nos.

- Turmeric powder- 1/2 tsp
- Red Chilli Powder- 1.5 tsp
- Readymade Chicken Masala- 1 tbsp (store bought)

- Salt- 1.5 tsp
- Refined Oil- 4-5 tbsp 

Preparation:

- Clean & wash the chicken pieces and keep it to drain.
- Roughly chop the onions, tomatoes and green chillies.
- Peel and crush the ginger and garlic cloves.

Process:

- Heat oil in a pan or kadai and add the chopped onions.
- Fry on high heat for 10 mins till brown in colour.
- Add the crushed ginger and garlic and fry on medium heat for 2 mins.
- Add the chopped tomatoes and green chillies and fry on medium heat for 2 mins.
- Add the turmeric powder and mix & fry on medium heat for around 3 mins till tomatoes are soft.
- Now add the chicken pieces and fry on high heat for 2-3 mins till the chicken pieces are browned.
- Add the readymade chicken masala, red Chilli powder and salt, mix and bhunno on high heat for 5 mins. Continue to fry on medium heat for another 5 mins.
- Now add 200 ml water and cook on low heat for around 20 mins till the chicken pieces are tender and oil separates. 


#chickencurry #simplechickencurry #chickengravy #bachelorchickencurry  #easychickencurry #spiceeats #spiceeatsrecipes #spiceeatschicken",
pAjrJna1TQE,Quick & Tasty Chicken Curry in Minutes | Pressure Cooker Recipe | झटपट कुकर चिकन करी | Sanjyot Keer,https://www.youtube.com/watch?v=pAjrJna1TQE,698,20241118,"Written Recipe - Pressure Cooker Chicken Curry
Prep time: 5-10 minutes
Cooking time: 20-25 minutes
Serves: 4-5 people

Ingredients:
Quick Marination
CHICKEN | चिकन 750 GRAMS - 1 KG
SALT | नमक TO TASTE 
TURMERIC POWDER | हल्दी पाउडर 1/4 TSP
KASHMIRI RED CHILLI POWDER | कश्मीरी लाल मिर्च पाउडर 1/4 TSP 
DAHI | दही 2 TBSP
Base Gravy
OIL | तेल 1-2 TBSP
CUMIN SEEDS | जीरा A LARGE PINCH
ONION | प्याज़ 3 LARGE (SLICED)
TOMATO | टमाटर 2 NOS. (ROUGHLY CHOPPED)
CORIANDER STEM | धनिए कि डंठल A HANDFUL 
GREEN CHILLI | हरी मिर्च 2 NOS. 
GINGER | अदरक 4 INCH
GARLIC | लहसुन A HANDFUL / 20 CLOVES
SALT | नमक TO TASTE
HOT WATER | गरम पानी A SPLASH
WATER | पानी AS REQUIRED (for grinding)
Final Cooking
GHEE | घी 2 TBSP
OIL | तेल 1 TSP
WHOLE SPICES
CUMIN SEEDS | जीरा 1/2 TSP
CINNAMON | दालचीनी 2 INCH
BAY LEAF | तेज पत्ता 2 NOS. 
GREEN CARDAMOM | हरी इलायची 3 NOS. 
BLACK CARDAMOM | बड़ी इलायची 1 NO. 
POWDERED SPICES
KASHMIRI RED CHILLI POWDER| कश्मीरी लाल मिर्च पाउडर 1.5 TBSP
TURMERIC POWDER | हल्दी पाउडर 1/2 TSP 
CORIANDER POWDER | धनिया पाउडर 2 TBSP
SPICY RED CHILLI POWDER | तीखी लाल मिर्च पाउडर 1 TSP 
HOT WATER | गरम पानी AS REQUIRED  
GARAM MASALA | गरम पानी A PINCH 
ROASTED KASURI METHI POWDER | भुनी कसूरी मेथी पाउडर A PINCH
FRESH CORIANDER | हरा धनिया A HANDFUL (CHOPPED)
Method:
Add the chicken into a large bowl & add salt, turmeric, kashmiri red chilli powder & curd, mix well & let the chicken marinate until you make the gravy.
Set a pressure cooker over high flame, add oil & let it get hot.
Add cumin seeds & onions, stir & cook over medium high flame until the onions turn golden brown.
Next, add the tomatoes, coriander stem, green chilli, ginger, garlic & salt, stir well cook until the tomatoes turn mushy then add some hot water & scrape the bottom to mix the fond (brown bits left in the pan after cooking, it’s full of flavor), then switch off the flame & let the mixture cool down completely.
Add the cooled mixture into a mixer grinder jar along with some water & blend it into a fine puree, the base gravy is ready.
In the same pressure cooker add ghee & oil, let it heat up over high flame.
Add all the whole spices, prepared puree, all the powdered spices & stir well, then add hot water & stir, make sure the gravy is slightly thin at this stage.
Put the lid on & pressure cook the gravy for 3 whistles over medium high flame, then switch off the flame & let the cooker depressurize naturally.
Open the lid & stir well, doing this quick process will shorten the cooking time of the gravy & will help to separate the ghee faster.
Switch the flame to high & add the marinated chicken, stir well & cook for 1-2 minutes, then add hot water (the level of water should be slightly below the chicken).
Pressure cook the chicken over high flame until the first whistle blows, then lower the flame to medium & cook for 3 more whistles (the cooking time will depend on the quality of your chicken).
Once cooked, switch off the flame & let the cooker depressurize naturally, then open the lid & stir well.
You can adjust the consistency of the gravy as per your preference by adding hot water.
Lastly taste & adjust salt if required & add garam masala, roasted kasuri methi powder & fresh coriander, stir well.
Your delicious, quick & super easy pressure cooker chicken curry is ready.
#YFL #SanjyotKeer #chickencurry 

Buy now: 

BlendLab Pro 2.0 - https://links.yflhome.com/blp2.0ytd
Amazon - https://links.yflhome.com/blendlabpro2amazon 

The Music I use in All my videos - https://bit.ly/3CdPbSc
(Best for independent creators)

Follow us on all platforms: 
Facebook - https://bit.ly/3o6alLt
Instagram - https://bit.ly/2RFkL8z

Follow my personal handles here: (Chef Sanjyot Keer) 
Facebook - https://bit.ly/3tpjqQA​​​​​​​​​
Instagram - https://bit.ly/3o0FZK8
Twitter  -  https://bit.ly/33qQpJN

Intro 0:00
Marination 1:29
Base Gravy 1:51
Final Cooking 5:08
Plating 8:31
Outro 10:44",
9dZpVmemtUY,ಚಿಕನ್ ಒಮ್ಮೆ ಹೀಗೆ ಮಾಡಿ ನೋಡಿ.. ಅನ್ನ ಮುದ್ದೆ ಜೊತೆ ಅಷ್ಟು ರುಚಿಯಾಗಿರತ್ತೆ | TASTY CHICKEN CURRY |,https://www.youtube.com/watch?v=9dZpVmemtUY,615,20230329,"How to make Chicken curry Recipe in kannada | ಸಿಂಪಲ್ & ಟೇಸ್ಟಿ ಚಿಕನ್ ಸಾಂಬಾರ್  ಇದರ ರುಚಿ👌/chicken sambar recipe in Kannada /chicken sambar in kannada recipe | chicken green gravy in kannada | Chandru Nimma mane oota | Restaurant style chicken curry | Colour Talkies |

Hotel Address :
Hotel Chandru Nimma Mane Oota 
Near Gandhi Bhavana,
Near Kumara Park.
Bangalore-01
9886747789

Google map:

https://maps.app.goo.gl/cZ6GeWJr4XipP...


For Business Contact:
colourbarmedia9@gmail.com
contact : 6381968047

Follow on Facebook : 
https://www.facebook.com/Colour-Talki...
 


Follow on Facebook : https://www.facebook.com/Colour-Talki...


#chickenrecipesinkannada
#simplechickencurry
#chickengravyinkannada
#howtomakechickensaaruinkannada
#easychickensambar
#villagestylechickensambar
#simplechickensambar
#chickensambarinkannadarecipe
#chickendinner 
#chickenrecipes 
#chickenrecipe 
#chickensambar 
#chickencurry",
ShwkiTmJ_0w,SIMPLE CHICKEN CURRY WITH COCONUT MILK | COCONUT MILK CHICKEN RECIPE,https://www.youtube.com/watch?v=ShwkiTmJ_0w,196,20250108,"Simple Chicken Curry With Coconut Milk | Coconut Milk Chicken Recipe | Chicken Curry In Coconut Milk | Chicken Curry With Coconut Milk | Mild Chicken Curry | Chicken Gravy | Chicken Curry | Coconut Chicken Curry | Spice Eats Chicken Curry


Ingredients for the Simple Coconut Chicken Curry :

- Chicken, curry cut with bones- 500 gms

Tempering: 
- Cumin seeds- 1 tsp 

Spice Powders:
- Turmeric powder- 3/4 tsp
- Coriander powder- 1 tsp 

Other Ingredients:
- Onions, fine chopped- 2 small (120-130 gms)
- Green Chillies chopped -3 nos
- Curry Leaves-20-25 leaves
- Ginger garlic paste-1.5 tsp
- Groundnut oil- 3-4 tbsp 
- Salt-1 tsp
- Coconut milk- 1 US cup (225 ml)
- Coriander leaves, fine chopped for garnish- 3 tbsp

Preparation:

- Cut the chicken into small pieces. Set aside. 
- Fine chop the onions and the coriander leaves. Also chop the green chillies
- Extract coconut milk by grinding coconut and straining using hot water. Alternatively, use readymade coconut milk. In case you’re using readymade coconut milk powder, add 4-5 tbsp coconut milk powder mixed in 1 US cup water. 

Process:

- Heat 3-4 tbsp groundnut oil in a kadhai and then add cumin seeds. Give a stir and then let it splutter. 
- Now add the chopped onions and mix & fry on medium heat for 5 mins till the onions are translucent.
- Next add the chopped green chillies and curry leaves. Give a mix and fry on medium heat for 1-2 minutes. 
- Add the chicken pieces, turmeric powder and salt, mix and fry on high heat for 2-3 mins till lightly browned. 
- Now add the ginger garlic paste,mix and fry on medium heat for 2-3 mins till the raw smell is gone.
- Now add the coriander powder, mix and fry on medium heat for 2-3 mins till browned. 
- Now add the coconut milk powder with water, mix and cover & cook on low heat for 15 mins till chicken is tender. 
- Open lid and garnish with chopped coriander leaves.
- Mix and simmer on low heat for around 2-3 mins till oil separates. You can add little water if required if you want a thinner gravy. 


#coconutchickencurry #mildchickencurry #chickencurry  #chickengravy #chickencurrycoconutmilk  #spiceeats #spiceeatsrecipes #spiceeatschicken #chickenstew",
D_fYk8mBaF4,Butter Chicken | Chicken Butter Masala | Chicken Recipe | Non Veg Curries | Home Cooking Show,https://www.youtube.com/watch?v=D_fYk8mBaF4,342,20190425,"📌 All my chicken recipes in one place 👉https://www.youtube.com/playlist?list=PLFhw-Rie62rTyqY4b8CMtheqSAD1bjqKt

Butter chicken is one of the most popular chicken recipes in India. Golden fried chicken pieces are cooked in a creamy tomato base. It is best served with roti, naan or pulao. 

#ButterChicken #ChickenButterMasala #ChickenRecipe #chickencurry #homecooking #homecookingshow #hemasubramanian 

Full Recipe & Step-by-Step Guide: https://homecookingshow.in/recipe/butter-chicken/

Here is the link to Amazon HomeCooking Store where I have curated products that I use and are similar to what I use for your reference and purchase 
https://www.amazon.in/shop/homecookingshow 


You can buy our book and classes on http://www.21frames.in/shop

HAPPY COOKING WITH HOMECOOKING
ENJOY OUR RECIPES

WEBSITE: http://www.21frames.in/homecooking
FACEBOOK - https://www.facebook.com/HomeCookingShow
YOUTUBE: https://www.youtube.com/user/VentunoHomeCooking 
INSTAGRAM - https://www.instagram.com/homecookingshow

A Ventuno Production: http://www.ventunotech.com",
