name,source,source_url,servings,prep_time_min,cook_time_min,total_time_min,image_url,ingredients_json,cook_steps
Kahwa Recipe (Kashmiri Kahwa Tea),whiskaffair_indian_state_web,https://www.whiskaffair.com/authentic-kashmiri-tea-kahwa-recipe/,2,5,10,15,https://www.whiskaffair.com/wp-content/uploads/2019/01/Kashmiri-Kahwa-Tea-2-3.jpg,"[{""raw_text"": ""3 cups water"", ""source_position"": 1}, {""raw_text"": ""10-12 strands saffron (plus 3-4 more for serving)"", ""source_position"": 2}, {""raw_text"": ""½ inch piece of cinnamon stick (dalchini)"", ""source_position"": 3}, {""raw_text"": ""1 clove (laung)"", ""source_position"": 4}, {""raw_text"": ""1 whole green cardamom (hari elaichi) (lightly crushed)"", ""source_position"": 5}, {""raw_text"": ""½ teaspoon dried rose petals"", ""source_position"": 6}, {""raw_text"": ""1 teaspoon Kashmiri green tea (or any other green tea)"", ""source_position"": 7}, {""raw_text"": ""2 teaspoons almonds (thinly silvered)"", ""source_position"": 8}, {""raw_text"": ""2 teaspoons honey (optional)"", ""source_position"": 9}]","[{""step_number"": 1, ""instruction"": ""Heat 3 cups of water in a pan over medium-high heat. Once the water comes to a boil, reduce the heat to low. Add the following ingredients to the hot water, then let it simmer for 3-4 minutes.""}, {""step_number"": 2, ""instruction"": ""12 strands of saffron ½ inch piece of cinnamon stick 1 clove 1 green cardamom ½ teaspoon dried rose petals""}, {""step_number"": 3, ""instruction"": ""Switch off the heat. A dd 1 teaspoon Kashmiri green tea to the pan and stir gently.""}, {""step_number"": 4, ""instruction"": ""Let the tea steep for 30-40 seconds.""}, {""step_number"": 5, ""instruction"": ""Add 1 teaspoon of slivered almonds and 1-2 strands of saffron to each cup. Add honey if you like your kahwa slightly sweet.""}, {""step_number"": 6, ""instruction"": ""Serve hot.""}, {""step_number"": 7, ""instruction"": ""Heat water in a pan over medium-high heat.""}, {""step_number"": 8, ""instruction"": ""Once the water comes to a boil, reduce the heat to low.""}, {""step_number"": 9, ""instruction"": ""Add saffron, cinnamon, clove, cardamom, and dried rose petals to the pan and let the water simmer for 3-4 minutes.""}, {""step_number"": 10, ""instruction"": ""Switch off the heat.""}, {""step_number"": 11, ""instruction"": ""Add green tea to the pan and stir gently.""}, {""step_number"": 12, ""instruction"": ""Add 1 teaspoon of slivered almond slivers and 1-2 strands of saffron to each cup.""}, {""step_number"": 13, ""instruction"": ""Add honey if you like your kahwa slightly sweet. Serve hot.""}]"
White Urad Dal Recipe (Dhuli Urad Dal),whiskaffair_indian_state_web,https://www.whiskaffair.com/urad-dal-recipe/,4,10,40,80,https://www.whiskaffair.com/wp-content/uploads/2019/03/White-Urad-Dal-2-3.jpg,"[{""raw_text"": ""1 cup white urad dal (split and skinned black lentils)"", ""source_position"": 1}, {""raw_text"": ""½ teaspoon turmeric powder"", ""source_position"": 2}, {""raw_text"": ""1 teaspoon coriander powder"", ""source_position"": 3}, {""raw_text"": ""2 teaspoons salt (or to taste)"", ""source_position"": 4}, {""raw_text"": ""1 teaspoon grated ginger"", ""source_position"": 5}, {""raw_text"": ""3 tablespoons ghee"", ""source_position"": 6}, {""raw_text"": ""¼ teaspoon asafetida (hing)"", ""source_position"": 7}, {""raw_text"": ""1 teaspoon cumin seeds"", ""source_position"": 8}, {""raw_text"": ""2-3 dry red chilies"", ""source_position"": 9}, {""raw_text"": ""½ cup chopped onions"", ""source_position"": 10}, {""raw_text"": ""1 teaspoon Kashmiri red chili powder"", ""source_position"": 11}, {""raw_text"": ""1 tablespoon lime juice"", ""source_position"": 12}, {""raw_text"": ""2 tablespoons chopped cilantro (fresh coriander leaves)"", ""source_position"": 13}]","[{""step_number"": 1, ""instruction"": ""Rinse 1 cup of white urad dal with water and soak it in 3-4 cups of water for 30 minutes.""}, {""step_number"": 2, ""instruction"": ""Soaking the dal reduces cooking time and makes it easier to digest.""}, {""step_number"": 3, ""instruction"": ""Drain the water and add the soaked dal to an Instant Pot. Add the following ingredients to the pot and stir to combine.""}, {""step_number"": 4, ""instruction"": ""Close the Instant Pot lid and set the valve to the sealing position.""}, {""step_number"": 5, ""instruction"": ""Press the PRESSURE COOK button and set the timer to 12 minutes at high pressure. Once the timer goes off, let the pressure release naturally for 10 minutes. Release the remaining pressure manually by moving the valve to the venting position. Open the lid. Mash the dal using the back of a ladle.""}, {""step_number"": 6, ""instruction"": ""Add some hot water if the dal is too thick for your liking. Check for salt and add more if needed.""}, {""step_number"": 7, ""instruction"": ""Rinse the dal with water and soak it in 3-4 cups of water for 30 minutes.""}, {""step_number"": 8, ""instruction"": ""Drain the water and add the soaked dal to an instant pot.""}, {""step_number"": 9, ""instruction"": ""Add turmeric powder, coriander powder, salt, and grated ginger along with 2 cups of water. Stir to combine.""}, {""step_number"": 10, ""instruction"": ""Press the PRESSURE COOK button and set the timer to 12 minutes at high pressure.""}, {""step_number"": 11, ""instruction"": ""Follow the recipe until you add all the ingredients to a pressure cooker. Add 3 cups of water instead of 2 cups.""}, {""step_number"": 12, ""instruction"": ""Close the lid of the cooker.""}, {""step_number"": 13, ""instruction"": ""Pressure cook in high heat for 1 whistle.""}, {""step_number"": 14, ""instruction"": ""Reduce the heat to low and cook for 12 minutes.""}, {""step_number"": 15, ""instruction"": ""Remove the cooker from heat and let the pressure release naturally.""}, {""step_number"": 16, ""instruction"": ""Heat ghee in a small pan over medium-high heat.""}, {""step_number"": 17, ""instruction"": ""Once the ghee is hot, add asafetida and cumin seeds and let them crackle for 4-5 seconds.""}, {""step_number"": 18, ""instruction"": ""Add dry red chillies, and chopped onions and cook until onions turn golden brown, stirring frequently.""}, {""step_number"": 19, ""instruction"": ""Add Kashmiri red chili powder and immediately add the tadka to the cooked dal.""}, {""step_number"": 20, ""instruction"": ""Add lime juice and mix well.""}, {""step_number"": 21, ""instruction"": ""Garnish the dal with chopped cilantro and serve hot.""}]"
Beetroot Raita Recipe (Beet Raita),whiskaffair_indian_state_web,https://www.whiskaffair.com/roasted-beetroot-raita-recipe/,4,5,15,20,https://www.whiskaffair.com/wp-content/uploads/2018/12/Beetroot-Raita-2-3.jpg,"[{""raw_text"": ""100 grams beetroots (or 1 medium-sized beetroot, peeled and cut into ½ inch cubes)"", ""source_position"": 1}, {""raw_text"": ""¼ cup water (plus 2 cups for boiling the beets)"", ""source_position"": 2}, {""raw_text"": ""2 cups chilled plain yogurt (dahi, curd)"", ""source_position"": 3}, {""raw_text"": ""½ teaspoon salt (or to taste)"", ""source_position"": 4}, {""raw_text"": ""1 teaspoon roasted cumin powder"", ""source_position"": 5}, {""raw_text"": ""2 teaspoons finely chopped green chilies (or to taste)"", ""source_position"": 6}, {""raw_text"": ""2 tablespoons oil"", ""source_position"": 7}, {""raw_text"": ""½ teaspoon brown mustard seeds"", ""source_position"": 8}, {""raw_text"": ""10-12 whole curry leaves"", ""source_position"": 9}, {""raw_text"": ""2 whole dry red chilies"", ""source_position"": 10}, {""raw_text"": ""2 tablespoons crushed raw peanuts"", ""source_position"": 11}]","[{""step_number"": 1, ""instruction"": ""Wash 100 g (1 medium-sized) beetroot and peel it using a vegetable peeler. Chop off ½-inch pieces from the top and bottom and cut the beetroots into ½-inch cubes.""}, {""step_number"": 2, ""instruction"": ""Tip – Be cautious when handling beets. They leave permanent marks on the clothes and color the surfaces that come into contact with them. Use an old chopping board and knife, and wear an apron. Chop the green chilies.""}, {""step_number"": 3, ""instruction"": ""Heat 2 cups of water in a pan over medium-high heat. Once the water comes to a boil, add the beetroots. Cover the pan with a lid and cook until they are softened (8-10 minutes).""}, {""step_number"": 4, ""instruction"": ""Note – You can also cook the beetroot in a traditional pressure cooker or instant pot. I am sharing the methods in notes, just in case you want to check.""}, {""step_number"": 5, ""instruction"": ""Drain the water and add the beetroot to a blender along with ¼ cup of cold water. Blend to make a smooth puree.""}, {""step_number"": 6, ""instruction"": ""Tip – You can use the leftover water from boiling the beets to make curries or knead the dough.""}, {""step_number"": 7, ""instruction"": ""Add yogurt to a bowl and whisk it until it is smooth and creamy.""}, {""step_number"": 8, ""instruction"": ""Add the beetroot puree, salt, cumin powder, and green chilies to the bowl and mix well.""}, {""step_number"": 9, ""instruction"": ""Note – You can add some water to thin the raita if it is thick for your liking. The ideal consistency should be like that of custard.""}, {""step_number"": 10, ""instruction"": ""Heat oil in a small skillet over medium-high heat.""}, {""step_number"": 11, ""instruction"": ""Once the oil is hot, add mustard seeds and curry leaves and let them crackle for 4-5 seconds.""}, {""step_number"": 12, ""instruction"": ""Add dry red chilies and lightly crushed peanuts to the skillet and fry until they are crispy and golden brown in color.""}, {""step_number"": 13, ""instruction"": ""Pour the tempering over the beet raita and stir well. Serve chilled.""}, {""step_number"": 14, ""instruction"": ""Tip – Save some tempering for garnishing.""}]"
Cold Coffee Recipe,whiskaffair_indian_state_web,https://www.whiskaffair.com/cold-coffee-recipe/,2,2,2,4,https://www.whiskaffair.com/wp-content/uploads/2021/03/Cold-Coffee-2-3.jpg,"[{""raw_text"": ""4 teaspoons instant coffee powder"", ""source_position"": 1}, {""raw_text"": ""1 tablespoon granulated white sugar"", ""source_position"": 2}, {""raw_text"": ""2 tablespoons warm milk"", ""source_position"": 3}, {""raw_text"": ""2 cups chilled milk (whole, skim, low fat or plant-based)"", ""source_position"": 4}, {""raw_text"": ""1 tablespoons milk powder (dairy whitener)"", ""source_position"": 5}, {""raw_text"": ""2 scoops vanilla ice cream"", ""source_position"": 6}, {""raw_text"": ""3-4 ice cubes"", ""source_position"": 7}]","[{""step_number"": 1, ""instruction"": ""Garnish two tall glasses by drizzling some chocolate syrup on the sides. Freeze the glasses for 10 minutes.""}, {""step_number"": 2, ""instruction"": ""Stir together the following ingredients in a small mixing bowl.""}, {""step_number"": 3, ""instruction"": ""teaspoon instant coffee powder 2 tablespoon granulated white sugar 2 tablespoon warm milk""}, {""step_number"": 4, ""instruction"": ""Mix until the sugar is dissolved.""}, {""step_number"": 5, ""instruction"": ""Add the following ingredients to the medium jar of a blender and blend for a minute.""}, {""step_number"": 6, ""instruction"": ""coffee mixture Check for sugar and add more if needed.""}, {""step_number"": 7, ""instruction"": ""Pour the coffee into the prepared glasses.""}, {""step_number"": 8, ""instruction"": ""Scoop the froth using a spoon and top it over the coffee. Sprinkle some coffee powder on top and serve immediately.""}, {""step_number"": 9, ""instruction"": ""Stir together instant coffee powder, sugar, and warm milk in a small mixing bowl.""}, {""step_number"": 10, ""instruction"": ""Add chilled milk, milk powder, vanilla ice cream, ice cubes, and the coffee mixture to the medium jar of a blender and blend for a minute.""}, {""step_number"": 11, ""instruction"": ""Check for sugar and add more if needed.""}, {""step_number"": 12, ""instruction"": ""Sprinkle some coffee powder on top and serve immediately.""}]"
Mint Chutney Recipe (Pudina Chutney),whiskaffair_indian_state_web,https://www.whiskaffair.com/mint-chutney-recipe/,6,4,1,5,https://www.whiskaffair.com/wp-content/uploads/2021/04/Mint-Chutney-2-3.jpg,"[{""raw_text"": ""1 cup mint leaves (packed and rinsed)"", ""source_position"": 1}, {""raw_text"": ""½ cup cilantro (fresh coriander leaves) (packed and rinsed)"", ""source_position"": 2}, {""raw_text"": ""1-2 garlic cloves (peeled)"", ""source_position"": 3}, {""raw_text"": ""2 teaspoons chopped ginger"", ""source_position"": 4}, {""raw_text"": ""2 teaspoons chopped green chilies"", ""source_position"": 5}, {""raw_text"": ""½ teaspoon roasted cumin powder"", ""source_position"": 6}, {""raw_text"": ""½ teaspoon salt (or to taste)"", ""source_position"": 7}, {""raw_text"": ""2 tablespoons freshly squeezed lime juice"", ""source_position"": 8}, {""raw_text"": ""2 tablespoons water"", ""source_position"": 9}]","[{""step_number"": 1, ""instruction"": ""Start by cleaning the mint and cilantro. You need 1 cup of mint (packed) and ½ cup of cilantro (packed). Discard the thick stems of mint, keeping only the leaves and tender stems. You can keep the cilantro stems. Wash them well 2-3 times with water to remove dirt. Drain well.""}, {""step_number"": 2, ""instruction"": ""Add all the ingredients to the jar of a blender.""}, {""step_number"": 3, ""instruction"": ""Blend to make a smooth chutney. Scrape the sides of the jar a few times while making the chutney.""}]"
Paneer Masala Recipe,whiskaffair_indian_state_web,https://www.whiskaffair.com/paneer-masala-recipe/,4,10,30,40,https://www.whiskaffair.com/wp-content/uploads/2020/08/Dhaba-Style-Paneer-Masala-2-3.jpg,"[{""raw_text"": ""14 ounces paneer (400 g, cut into 1-inch pieces)"", ""source_position"": 1}, {""raw_text"": ""½ teaspoon salt"", ""source_position"": 2}, {""raw_text"": ""½ teaspoon Kashmiri red chili powder"", ""source_position"": 3}, {""raw_text"": ""½ teaspoon turmeric powder"", ""source_position"": 4}, {""raw_text"": ""2 tablespoons oil"", ""source_position"": 5}, {""raw_text"": ""2 tablespoons ghee"", ""source_position"": 6}, {""raw_text"": ""2 green cardamoms (hari elaichi) (crushed)"", ""source_position"": 7}, {""raw_text"": ""2-3 cloves (laung) (crushed)"", ""source_position"": 8}, {""raw_text"": ""5-6 black peppercorns (kali mirch) (crushed)"", ""source_position"": 9}, {""raw_text"": ""1 inch piece of cinnamon stick (dalchini) (crushed)"", ""source_position"": 10}, {""raw_text"": ""3-4 whole dry red chilies"", ""source_position"": 11}, {""raw_text"": ""1 teaspoon cumin seeds"", ""source_position"": 12}, {""raw_text"": ""¼ teaspoon asafetida (hing)"", ""source_position"": 13}, {""raw_text"": ""1 cup finely chopped onions"", ""source_position"": 14}, {""raw_text"": ""2 teaspoons ginger garlic paste"", ""source_position"": 15}, {""raw_text"": ""2 teaspoons coriander powder"", ""source_position"": 16}, {""raw_text"": ""2 teaspoons Kashmiri red chili powder"", ""source_position"": 17}, {""raw_text"": ""½ teaspoon cumin powder"", ""source_position"": 18}, {""raw_text"": ""½ teaspoon garam masala powder"", ""source_position"": 19}, {""raw_text"": ""2 tablespoons roasted besan (chickpea flour, gram flour)"", ""source_position"": 20}, {""raw_text"": ""1 teaspoon salt (or to taste)"", ""source_position"": 21}, {""raw_text"": ""1 cup grated tomatoes"", ""source_position"": 22}, {""raw_text"": ""2-3 green chilies (slit into half)"", ""source_position"": 23}, {""raw_text"": ""2 tablespoons crushed Kasuri methi"", ""source_position"": 24}, {""raw_text"": ""1 tablespoons freshly squeezed lime juice"", ""source_position"": 25}, {""raw_text"": ""2 tablespoons chopped cilantro (fresh coriander leaves)"", ""source_position"": 26}]","[{""step_number"": 1, ""instruction"": ""Rinse 14 oz (400 g) of paneer slabs and cut them into 1-inch pieces. Tip – If using store-bought paneer, then soak it in hot water for 10 minutes to make it soft.""}, {""step_number"": 2, ""instruction"": ""Mix the paneer pieces with the following ingredients in a large mixing bowl and keep aside for 15 minutes.""}, {""step_number"": 3, ""instruction"": ""Rinse paneer slabs and cut them into 1-inch pieces.""}, {""step_number"": 4, ""instruction"": ""Mix the paneer pieces with salt, chili powder, and turmeric powder in a large mixing bowl and keep aside for 15 minutes.""}, {""step_number"": 5, ""instruction"": ""Heat oil in a pan over medium-high heat.""}, {""step_number"": 6, ""instruction"": ""Arrange the paneer on the pan in a single layer and fry from all sides until browned.""}, {""step_number"": 7, ""instruction"": ""Note – Fry in batches if the paneer pieces are not fitting in a single layer.""}, {""step_number"": 8, ""instruction"": ""Remove the paneer from the pan and keep it aside.""}, {""step_number"": 9, ""instruction"": ""Add oil and ghee to the same pan and heat over medium-high heat.""}, {""step_number"": 10, ""instruction"": ""Once the oil is hot, add cardamoms, cloves, black peppercorns, cinnamon, dry red chilies, cumin seeds, and asafetida, and fry for 5-6 seconds.""}, {""step_number"": 11, ""instruction"": ""Add onions and fry until it turns slightly brown (6-8 minutes), stirring frequently.""}, {""step_number"": 12, ""instruction"": ""Add ginger garlic paste and fry until the onions are nicely browned (6-8 minutes), stirring frequently.""}, {""step_number"": 13, ""instruction"": ""Now add coriander powder, turmeric powder, red chili powder, cumin powder, garam masala powder, besan, and, salt, and fry for 10-12 seconds.""}, {""step_number"": 14, ""instruction"": ""Add tomatoes and green chilies and cook until the oil starts to separate from the sides of the pan (3-4 minutes), stirring frequently.""}, {""step_number"": 15, ""instruction"": ""Now add 1 cup of water, fried paneer pieces, and Kasuri methi, and mix well. Cook for 2-3 minutes, stirring a few times in between.""}, {""step_number"": 16, ""instruction"": ""Finally, add lime juice and cilantro and mix well.""}, {""step_number"": 17, ""instruction"": ""Check for salt and add more if needed.""}, {""step_number"": 18, ""instruction"": ""Serve hot with roti.""}]"
Shengdana Amti Recipe (Danyachi Amti),whiskaffair_indian_state_web,https://www.whiskaffair.com/shengdana-amti-recipe/,4,10,20,30,https://www.whiskaffair.com/wp-content/uploads/2020/12/Shengdana-Amti-2-3.jpg,"[{""raw_text"": ""1 cup skinless raw peanuts"", ""source_position"": 1}, {""raw_text"": ""½ cup grated fresh coconut (packed)"", ""source_position"": 2}, {""raw_text"": ""2-3 green chilies (roughly chopped)"", ""source_position"": 3}, {""raw_text"": ""1 tablespoon ghee (replace with oil for a vegan recipe)"", ""source_position"": 4}, {""raw_text"": ""1 teaspoon cumin seeds"", ""source_position"": 5}, {""raw_text"": ""3 cups water (divided)"", ""source_position"": 6}, {""raw_text"": ""2-3 whole dried kokum (or 2 tsp tamarind paste)"", ""source_position"": 7}, {""raw_text"": ""½ teaspoon salt (or to taste)"", ""source_position"": 8}, {""raw_text"": ""2 tablespoons chopped cilantro (coriander)"", ""source_position"": 9}]","[{""step_number"": 1, ""instruction"": ""Add 1 cup of skinless raw peanuts to a pan and roast them on medium heat until slightly browned (5-8 minutes).""}, {""step_number"": 2, ""instruction"": ""Stir frequently while roasting.""}, {""step_number"": 3, ""instruction"": ""Remove the pan from the heat and let the roasted peanuts cool down completely.""}, {""step_number"": 4, ""instruction"": ""Add the following ingredients to a blender.""}, {""step_number"": 5, ""instruction"": ""2-3 roughly chopped green chilies""}, {""step_number"": 6, ""instruction"": ""Add 1 cup of water and blend to make a smooth paste. Scrape the sides a few times while blending.""}, {""step_number"": 7, ""instruction"": ""Heat 1 tablespoon ghee in a pan over medium-high heat.""}, {""step_number"": 8, ""instruction"": ""Once the ghee is hot, add 1 teaspoon cumin seeds and let them crackle for 4-5 seconds. Note: Some people add 2-3 cloves to the tempering. You can try it too.""}, {""step_number"": 9, ""instruction"": ""Add the peanut paste, remaining 2 cups of water, and 2-3 whole dried kokum to the pan and stir well. Bring the amti to a boil.""}, {""step_number"": 10, ""instruction"": ""Add 2 teaspoon tamarind paste if kokum is not available.""}, {""step_number"": 11, ""instruction"": ""Now add ½ teaspoon salt and cook the amti for 3-4 minutes on low heat .""}, {""step_number"": 12, ""instruction"": ""Note – Some people add jaggery to their amti. I am not a fan of sweet amti, but if you wish, you can try adding some at this stage. Check for salt and add more if needed.""}, {""step_number"": 13, ""instruction"": ""Garnish with 2 tablespoon chopped cilantro and serve hot.""}, {""step_number"": 14, ""instruction"": ""Add peanuts to a pan and roast them on medium heat until they are slightly browned. Stir frequently while roasting.""}, {""step_number"": 15, ""instruction"": ""Note – If your peanuts are with skin, then remove their pink skin. Check notes.""}, {""step_number"": 16, ""instruction"": ""Remove the pan from heat and let the peanuts cool completely.""}, {""step_number"": 17, ""instruction"": ""Add the roasted peanuts, fresh coconut, and green chilies to a blender.""}, {""step_number"": 18, ""instruction"": ""Add 1 cup water to the blender and blend to make a smooth paste.""}, {""step_number"": 19, ""instruction"": ""Heat ghee in a pan over medium-high heat.""}, {""step_number"": 20, ""instruction"": ""Once the ghee is hot, add cumin seeds and let them crackle for 4-5 seconds.""}, {""step_number"": 21, ""instruction"": ""You can add 2-3 cloves along with cumin seeds for added taste if you wish to.""}, {""step_number"": 22, ""instruction"": ""Add the peanut paste, remaining 2 cups of water, and kokum to the pan and bring the amti to a boil.""}, {""step_number"": 23, ""instruction"": ""Add salt and cook the amti for 3-4 minutes on low heat.""}, {""step_number"": 24, ""instruction"": ""Check for salt and add more if needed.""}, {""step_number"": 25, ""instruction"": ""Some people add jaggery to their amti. I am not a fan of sweet amti but if you wish, you can try adding some at this stage.""}, {""step_number"": 26, ""instruction"": ""Garnish with cilantro and serve hot.""}]"
Rasmalai Trifle Recipe,whiskaffair_indian_state_web,https://www.whiskaffair.com/rasmalai-trifle-recipe/,4,5,5,10,https://www.whiskaffair.com/wp-content/uploads/2022/08/Rasmalai-Trifle-2-3.jpg,"[{""raw_text"": ""½ cup chilled sweetened heavy whipping cream"", ""source_position"": 1}, {""raw_text"": ""15-20 saffron strands (soaked in 1 tbsp milk)"", ""source_position"": 2}, {""raw_text"": ""½ teaspoon cardamom powder"", ""source_position"": 3}, {""raw_text"": ""½ cup rabdi"", ""source_position"": 4}, {""raw_text"": ""5-6 drops rasmalai essence (optional)"", ""source_position"": 5}, {""raw_text"": ""1 cup crumbled sponge cake"", ""source_position"": 6}, {""raw_text"": ""6 chopped rasmalai with milk"", ""source_position"": 7}, {""raw_text"": ""2 tablespoons powdered pistachios"", ""source_position"": 8}, {""raw_text"": ""mini rasmalai for garnishing"", ""source_position"": 9}]","[{""step_number"": 1, ""instruction"": ""Whip the heavy cream using a hand mixer until stiff peaks are formed.""}, {""step_number"": 2, ""instruction"": ""Gently fold in saffron soaked in milk, cardamom powder, rabdi, and rasmalai essence.""}, {""step_number"": 3, ""instruction"": ""Transfer the cream to a piping bag fitted with a large nozzle.""}, {""step_number"": 4, ""instruction"": ""Add ¼ cup of crumbled cake to a small serving glass or bowl and spread it evenly.""}, {""step_number"": 5, ""instruction"": ""Top with some chopped rasmalai and drizzle a few tablespoons of rasmalai milk all over.""}, {""step_number"": 6, ""instruction"": ""Pipe the cream on top until the glass is almost full.""}, {""step_number"": 7, ""instruction"": ""Garnish with pistachio powder and mini rasmalai.""}, {""step_number"": 8, ""instruction"": ""Assemble all the trifles in the same manner.""}, {""step_number"": 9, ""instruction"": ""Serve chilled.""}]"
Paan Truffles Recipe,whiskaffair_indian_state_web,https://www.whiskaffair.com/paan-truffles-recipe/,8,5,15,20,https://www.whiskaffair.com/wp-content/uploads/2022/08/Paan-Truffles-2-3.jpg,"[{""raw_text"": ""7 ounces cooking white chocolate (200 g)"", ""source_position"": 1}, {""raw_text"": ""0.35 ounce unsalted butter (10 g)"", ""source_position"": 2}, {""raw_text"": ""2 tablespoons sweetened heavy whipping cream"", ""source_position"": 3}, {""raw_text"": ""2 tablespoons paan syrup"", ""source_position"": 4}, {""raw_text"": ""2 tablespoons mukhwaas (plus more for garnishing)"", ""source_position"": 5}]","[{""step_number"": 1, ""instruction"": ""Chop the white chocolate into small pieces.""}, {""step_number"": 2, ""instruction"": ""Add 2 cups of water to a pan and bring it to a boil over high heat.""}, {""step_number"": 3, ""instruction"": ""Reduce the heat to low.""}, {""step_number"": 4, ""instruction"": ""Keep a glass bowl over the pan and add white chocolate to it.""}, {""step_number"": 5, ""instruction"": ""Keep mixing using a silicon spatula until the chocolate melts and is smooth and shiny.""}, {""step_number"": 6, ""instruction"": ""Add butter and cream to the bowl and mix well until the butter is melted and is combined well with the chocolate.""}, {""step_number"": 7, ""instruction"": ""Add paan syrup and mukhwaas to the bowl and mix well.""}, {""step_number"": 8, ""instruction"": ""Refrigerate the mixture for 20 minutes.""}, {""step_number"": 9, ""instruction"": ""Make small balls from the chocolate mixture and roll them in mukhwaas.""}, {""step_number"": 10, ""instruction"": ""Garnish with silver foil and serve!""}]"
Egg Bhurji Recipe (Anda Bhurji),whiskaffair_indian_state_web,https://www.whiskaffair.com/egg-bhurji-recipe/,4,5,10,15,https://www.whiskaffair.com/wp-content/uploads/2020/07/Egg-Bhurji-2-3.jpg,"[{""raw_text"": ""4 large eggs"", ""source_position"": 1}, {""raw_text"": ""½ teaspoon salt"", ""source_position"": 2}, {""raw_text"": ""2 tablespoons oil"", ""source_position"": 3}, {""raw_text"": ""1 tablespoon butter (salted or unsalted, replace with oil for dairy-free recipe)"", ""source_position"": 4}, {""raw_text"": ""½ cup chopped onions"", ""source_position"": 5}, {""raw_text"": ""2 teaspoons finely chopped green chilies"", ""source_position"": 6}, {""raw_text"": ""1 teaspoon finely chopped ginger"", ""source_position"": 7}, {""raw_text"": ""1 teaspoon finely chopped garlic"", ""source_position"": 8}, {""raw_text"": ""½ cup finely chopped tomatoes"", ""source_position"": 9}, {""raw_text"": ""1 teaspoon coriander powder"", ""source_position"": 10}, {""raw_text"": ""¼ teaspoon turmeric powder"", ""source_position"": 11}, {""raw_text"": ""2 teaspoons pav bhaji masala powder"", ""source_position"": 12}, {""raw_text"": ""½ teaspoon Kashmiri red chili powder"", ""source_position"": 13}, {""raw_text"": ""1 teaspoon freshly squeezed lime juice"", ""source_position"": 14}, {""raw_text"": ""2 tablespoons chopped cilantro (fresh coriander leaves)"", ""source_position"": 15}]","[{""step_number"": 1, ""instruction"": ""Whisk 4 eggs and ½ teaspoon salt in a medium mixing bowl using a wire whisk. Set aside.""}, {""step_number"": 2, ""instruction"": ""Hea t 2 tablespoons of oil and 1 tablespoon of butter (salted or unsalted) in a nonstick pan over medium-high heat.""}, {""step_number"": 3, ""instruction"": ""Once the oil is hot, add ½ cup of chopped onions and saute until the onions turn translucent, stirring frequently.""}, {""step_number"": 4, ""instruction"": ""Add the following ingredients and sauté until the onions are lightly browned . Stir frequently.""}, {""step_number"": 5, ""instruction"": ""2 teaspoon finely chopped green chilies""}, {""step_number"": 6, ""instruction"": ""1 teaspoon finely chopped ginger""}, {""step_number"": 7, ""instruction"": ""1 teaspoon finely chopped garlic""}, {""step_number"": 8, ""instruction"": ""Now, add ½ cup of finely chopped tomatoes and cook for another minute. Mash the tomatoes with the back of the ladle while cooking.""}, {""step_number"": 9, ""instruction"": ""Next, add the following ingredients and cook for 30-40 seconds, stirring continuously.""}, {""step_number"": 10, ""instruction"": ""teaspoon coriander powder ¼ teaspoon turmeric powder 2 teaspoon pav bhaji masala ½ teaspoon Kashmiri red chili powder""}, {""step_number"": 11, ""instruction"": ""Reduce the heat to medium-low.""}, {""step_number"": 12, ""instruction"": ""Add the whisked eggs to the pan.""}, {""step_number"": 13, ""instruction"": ""Stir the eggs with the ladle or a silicon spatula until they are well mixed with the masala and have formed scrambled eggs .""}, {""step_number"": 14, ""instruction"": ""Note: If you prefer a soft bhurji, cook the eggs until just set. Remember that they will keep cooking from the residual heat in the pan for some time . If you like perfectly cooked bhurji, cook it until the eggs are nicely cooked.""}, {""step_number"": 15, ""instruction"": ""Add 1 teaspoon of freshly squeezed lime juice and 2 tablespoons of chopped cilantro, and mix well. Serve hot.""}, {""step_number"": 16, ""instruction"": ""Whisk eggs and salt in a medium mixing bowl using a wire whisk. Set aside.""}, {""step_number"": 17, ""instruction"": ""Heat oil and butter in a nonstick pan over medium-high heat.""}, {""step_number"": 18, ""instruction"": ""Once the oil is hot, add onions and saute until they turn translucent, stirring frequently.""}, {""step_number"": 19, ""instruction"": ""Add green chilies, ginger, and garlic, and saute until the onions are light brown in color. Stir frequently.""}, {""step_number"": 20, ""instruction"": ""Now, add tomatoes and cook for an additional minute. Mash the tomatoes with the back of the ladle while cooking.""}, {""step_number"": 21, ""instruction"": ""Next, add coriander powder, turmeric powder, pav bhaji masala, and Kashmiri red chili powder, and cook for 30-40 seconds, stirring continuously.""}, {""step_number"": 22, ""instruction"": ""Stir the eggs using the ladle until they get mixed with the masala and gets scrambled.""}, {""step_number"": 23, ""instruction"": ""Note – If you prefer a soft bhurji, cook the eggs just until set. Remember that they will continue cooking for some time from the residual heat in the pan. If you like perfectly cooked bhurji, then cook it until the eggs are nicely cooked""}, {""step_number"": 24, ""instruction"": ""Add lime juice and cilantro and mix well. Serve hot.""}]"
