video_id,title,source_url,duration_seconds,upload_date,description,error
xric8J7sm94,Street Style Masala Puri Recipe/ Masala Puri/ Street Food Recipes/ Chaat Recipes,https://www.youtube.com/watch?v=xric8J7sm94,198,20211228,"#MasalaPuri #ChaatRecipes
Masala Puri

Ingredients
Green peas – 150 grams
Potato – 2 (medium size)
Tomato – 1
Mint leaves
Coriander leaves
Garlic cloves – 4
Green chilli – 3
Ginger
Fennel seeds – ¼ teaspoon
Oil – 2 tbl spoon
Cumin seeds – ½ teaspoon
Onion – 1
Chilli powder – ½ teaspoon
Coriander powder – ½ teaspoon
Garam masala – ¼ teaspoon
Chat masala – ½ teaspoon
Turmeric powder
Salt
Lemon juice – 1 teaspoon
Puri
Onion
Tomato
Coriander leaves
Sev",
ElVhuB0EMNA,Hyderabad Viral Protein Rich Salad Recipe @StreetFoodZone,https://www.youtube.com/watch?v=ElVhuB0EMNA,287,20260225,"Best Ever Protein Rich Salad of Hyderabad
20 + Healthy foods in Single Bowl
a Complete Protein Bowl in Hyderabad Streets
Protein Bowl Cost Rs 25 - Rs 40 - Rs 60
Super Salad
Super Salad of Hyderabad | A Complete Protein Bowl | Healthy Breakfast
Super Rich Salad in Hyderabad
Manikonda, Alkapur Township
Hyderabad best healthy street food

Address:
RAGAVA PROTEIN RICH SALAD
Road No 25, Beside Gandhi Park Gate
Alkapur Twp, Manikonda,Hyderabad
CONTACT: 9100 80 5735
Timings: 7 am to 11.30 am

Google Map:
https://maps.app.goo.gl/jpEQzLYpW6hnpPNT7

#salad #recipe #hyderabad",
0qSm029ROn4,6 Popular Indian Recipes - The Art of Indian Cooking:,https://www.youtube.com/watch?v=0qSm029ROn4,1823,20230921,"(1) Smoky Tandoori Style Chicken -Made using only one pan!
A smoky chicken tandoori recipe you can make at home using one pan.  It’s simple to make, and the flavours will amaze you.  This recipe is prepared by marinating the chicken in a spicy tangy yoghurt mixture.  This not only flavours the meat but also tenderises it and makes it juicy.  Traditionally chicken tandoori is made using a tandoori oven, which is a cylindrical clay oven that originated in India.  As we don’t all have tandoori ovens at home, this recipe has been simplified to give you similar results at home.  

(2) Indian Chicken Curry - Simple Indian Curry with amazing flavours!
Who doesn’t like a good Indian chicken curry or a Murgh Kari. 
This recipe is relatively simple with basic ingredients. No cream, stocks, canned tomatoes, or unheard spices. It’s a simple chicken curry that’s far from simple in flavour.  You will need a good chicken, skin removed and broken down into 16 pieces.  Keep everything on the bone, as that’s what actually makes a stock while it’s cooking giving the meat a beautiful flavour.  I do not like to split the thigh bones as you get bits of bone chards which is unpleasant.  You can cut the breast into four pieces still attached to the breastbone.

(3) Easy Butter Chicken or Murgh Makhani - A popular restaurant Indian spiced chicken curry! Butter Chicken or Murgh Makhani is always a favourite in Indian restaurants, this recipe is fairly easy and cooks the chicken in the oven. You can also cook it in a pan, on the stove, but it’s the roasting flavours that make the difference. There’s chili it’s spicy and it’s hot, so of course adjust it to your taste. Why go to a restaurant, when you can make this beautiful dish at home. Let me know your thoughts on this tasty and easy butter chicken.

(4) Homemade Spicy Chicken Biryani - Step-by-Step Guide for Beginners.
Chicken Biryani or Murgh Biryani, is a classic Indian dish that has captured the hearts and taste buds of food lovers around the world. The recipe typically calls for a combination of aromatic spices like cumin, coriander, turmeric, and cinnamon, which are blended together to create a unique and flavourful spice blend. The chicken is marinated in this spice mix, which infuses the meat with its rich and complex flavours. 

(5) Indian Dahl - This Dahl boasts an indulgent creaminess that will have you licking your spoon! Dahl is a term used for a variety of dried lentils, peas, or beans that have been split and husked. Dahl is a staple food in South Asian and Indian cuisine, where it is typically cooked into a thick soup or stew. It is also a popular ingredient in vegetarian and vegan dishes, as it is a good source of protein, fibre, and essential minerals.
Dahl can be made from a variety of lentils or pulses, including red lentils, yellow lentils, mung beans, and chickpeas. This version is made using red lentils which cook very fast.There’s no need to soak them, simply boil them in water 15 to 20 minutes. Dahl is often seasoned with a blend of spices such as cumin, coriander, turmeric, and chili powder, which gives it a rich and flavourful taste.

(6) Easy to make Roti Bread “Chapati” Flat bread made with few ingredients. Unlike traditional breads, Chapati or roti bread is simple to make as there’s no yeast, so no proving. It only requires five minutes of kneading, ten minutes of resting and cooks in minutes. It’s origins are from India and is also common in South East Asia. Your kitchen will smell of toasty hot bread, and if you’re like me you won’t resist eating at least one piece with a little melted butter. I used all purpose or plain flour, but traditionally whole wheat flour is used which makes it a little coarser.

(1) Smoky Tandoori Style Chicken
👉 Get this written recipe link here: https://recipe30.com/smoky-tandoori-style-chicken.html/

(2) Indian Chicken Curry 
👉 Get this written recipe link here: https://recipe30.com/indian-chicken-curry.html/

(3) Butter Chicken 
👉 Get this written recipe link here: https://recipe30.com/easy-butter-chicken-or-murgh-makhani.html/

(4) Chicken Biryani 
👉 Get this written recipe link here: https://recipe30.com/chicken-biryani.html/

(5) Indian Dahl 
👉 Get this written recipe link here: https://recipe30.com/indian-dahl.html/

(6) Roti - Chapati 👉 Get this written recipe link here: https://recipe30.com/easy-to-make-roti-bread-chapati.html/

🎬👉Watch my India Travel Series: https://www.youtube.com/watch?v=aaVs-aDrajs&list=PLcApjfOBgcUpipgs_Yt3zsEegfRLPJ7NY


00:00.Smoky Tandoori Style Chicken
04:34.Indian Chicken Curry
09:45.Easy Butter Chicken (Murgh Makhani)
15:18.Homemade Spicy Chicken Biryani
20:46.Indian Dahl
28:13.Easy Roti Bread (Chapati)",
ZVcNzTFNl-g,"Non-Stop Indian Street Food Collection | Spicy, Crispy & Juicy Cooking",https://www.youtube.com/watch?v=ZVcNzTFNl-g,1458,20251225,"Experience the real taste of India through its most popular street foods.
From spicy desi burgers to sizzling tawa snacks, watch massive cooking in raw street style.
No talking, no drama — just real Indian street food action.

This video is a collection of different Indian street foods prepared by skilled vendors using traditional methods. You’ll see high-quantity cooking, fast-paced preparation, and authentic roadside flavors from busy Indian streets. Perfect for food lovers who enjoy raw cooking visuals and real street food culture.

📍 Filmed in India
🔥 Pure street food vibes
🎥 Raw cooking, natural sound, real crowd",
qMAYG-soxhw,pav bhaji recipe | easy mumbai street style pav bhaji | पाव भाजी रेसिपी,https://www.youtube.com/watch?v=qMAYG-soxhw,135,20180209,"full recipe: http://hebbarskitchen.com/easy-mumbai-style-pav-bhaji-recipe/
pav bhaji masala recipe: https://youtu.be/D2jGNjcwMQc

download android app: https://play.google.com/store/apps/details?id=com.hebbarskitchen.android&hl=en

download iOS app: https://itunes.apple.com/us/app/id1176001245

Email – hebbars.kitchen@gmail.com
Website – http://hebbarskitchen.com/
Facebook – https://www.facebook.com/HebbarsKitchen
Twitter – https://twitter.com/HebbarsKitchen
Pinterest – https://www.pinterest.com/hebbarskitchen/
plus one – https://plus.google.com/103607661742528324418/posts
linkedin - https://in.linkedin.com/in/hebbars-kitchen-b80a8010a
instagram - https://www.instagram.com/hebbars.kitchen/
tumblr - http://hebbarskitchen.tumblr.com/
twitter - https://twitter.com/HebbarsKitchen

Music: http://www.hooksounds.com/",
2KHWy7sCaVk,Bhel Puri Recipe | Indian Street Food | Chaat Recipe | Easy Snacks Recipes | Basic Chutney for Chaat,https://www.youtube.com/watch?v=2KHWy7sCaVk,324,20231123,"📌 Chaat & tasty street food 😋 👉https://www.youtube.com/playlist?list=PLFhw-Rie62rTu5g9xUu1-ljdLyEeT7vFy

Bhel Puri Recipe | Indian Street Food | Chaat Recipe | Easy Snacks Recipes | Chaat Chutney Recipe



Bhel Puri is a popular Indian street food chaat made with puffed rice, fresh vegetables, tangy chutneys, and simple spices.
This easy snack recipe comes together quickly and is perfect for evenings, parties, or light cravings.

In this video, you’ll also learn how to make a basic chutney for chaat that enhances the flavour of bhel puri and other chaat recipes. For other veg starter receipes check out our link...https://www.youtube.com/watch?v=60_HZy1SUso&list=PLFhw-Rie62rTu5g9xUu1-ljdLyEeT7vFy&pp=sAgC


Chutneys for chaat link - https://youtu.be/8CBqW5T_Bic

Other Chaat Recipes

Dahi Bhalla - https://youtu.be/gnZtk_vTMG4
Chana Chaat - https://youtu.be/IxMZBN2Gp2Q
Masala Puri - https://youtu.be/M9r50at2p5s
Aloo Chaat - https://youtu.be/uR93pv6RH50
Bread Chaat - https://youtu.be/Co9LjBOVEko

Other Street Food Recipes

Pav Bhaji - https://youtu.be/dz6eh3U5zEM
Bombay Sandwich - https://youtu.be/ju5nFKNkkBU
Tawa Pulao - https://youtu.be/A8kyuxe0lmk
Roadside Kaalan - https://youtu.be/A8kyuxe0lmk

Prep Time: 10 mins
Cook Time: 15 mins 
Servings: 2

To Make Bhel Puri

Puffed Rice - 100 Gms
Namkeen
Roasted Peanuts
Boiled Potato
Onion
Tomato
Sev
Papdi
Kashmiri Chilli Powder
Chaat Masala
Coriander Leaves
Mint Coriander Chutney
Date Tamarind Chutney
Lemon Juice

METHOD:

1. Dry roast the puffed rice for 2 mins on a high flame and keep it aside.
2. Take the roasted puffed rice in a large bowl.
3. Add any namkeen of your choice, roasted peanuts, boiled potato pieces, chopped onions, chopped and deseeded tomatoes, sev and broken papdi.
4. For the seasoning, add salt, Kashmiri Red Chilli powder, chaat masala powder and chopped coriander leaves.
5. Add mint coriander chutney, date tamarind chutney and lemon juice.
6. Mix well and garnish with sev, chopped coriander leaves.
7. Yummy street style bhel puri is ready to be served!

DATE & TAMARIND CHUTNEY:

1. Take water in a pan. 
2. Add pitted dates to it and cook for 5 mins on a medium flame.
3. Add the tamarind chutney and cook for 2 more mins.
4. For the seasoning, add red chilli powder, cumin powder, coriander powder, black salt, dry ginger powder, salt, powdered jaggery and mix well.
5. Add water and cook on a low flame for 5 mins.
6. Turn off the stove and grind the mixture into a smooth paste.
7. Date Tamarind Chutney is ready to be used.

MINT CORIANDER CHUTNEY:

1. To a mixer jar, add green chillies, ginger, coriander leaves, mint leaves, lemon juice and salt.
2. Grind once without adding water for a coarse mixture.
3. Then add water and grind into a smooth paste.
4. That's all, mint coriander chutney is ready to be used.

Bhel puri is one of the most loved street foods in India. It is a simple yet amazingly tasty dish. The main base for bhel puri is the puffed rice. Puffed rice is usually light on the tummy and it makes bhel puri the best choice for evening snacks where anybody doesn't want to stuff themselves up. This recipe is a recreation of street style Bhel puri and a few steps are involved here. Watch the full video to get the step-by-step procedure on the same and also the recipes of mint coriander chutney along with date tamarind chutney without which any chaat item is incomplete. Make all the elements required, do try this recipe and let me know how it turned out for you guys in the comments section below.

You can buy our book and classes on https://www.21frames.in/shop

HAPPY COOKING WITH HOMECOOKING
ENJOY OUR RECIPES

WEBSITE: https://www.21frames.in/homecooking
FACEBOOK -https://www.facebook.com/homecookingshow/
YOUTUBE: https://www.youtube.com/HomeCookingShow
INSTAGRAM - https://www.instagram.com/homecookingshow/

A Ventuno Production : https://www.ventunotech.com/



Cook,cooking,homecooking,food,hema subramanian,homecookingshow,oats upma,oats upma recipe,vegetable oats upma,oats upma recipe for weight loss,oats recipe,oats recipe for weight loss,weight loss recipe,oats,weight loss recipes,healthy breakfast ideas,healthy breakfast,healthy recipes,upma,easy oats upma,upma recipe,breakfast recipes,breakfast recipe,breakfast,oats for weight loss,oatmeal recipe,",
-ZyM7UmcFyc,Bhel Puri Recipe/ Instant Snacks/ Indian Street Food,https://www.youtube.com/watch?v=-ZyM7UmcFyc,77,20231024,"#bhelpuri #streetfood #snacks #dindigulfoodcourt 

Bhel Puri

Ingredients
Puffed rice (pori) – 4 cups
Roasted peanuts – 2 tbl spoon
Boiled chana – 5 tbl spoon
Onion – 1
Tomato – 1
Green chilli – 1
Coriander leaves
Sev – ¼ cup
Kara boondhi – ¼ cup
Chilli powder – 1 teaspoon
Chat masala – ¾ teaspoon
Tomato ketchup – 1 tbl spoon
Juice of half lemon
Little salt",
0wbWLneNH4M,"pressure cooker pav bhaji recipe - instant, no artificial colour | street style pav bhaji in cooker",https://www.youtube.com/watch?v=0wbWLneNH4M,254,20210706,"full recipe: https://hebbarskitchen.com/pressure-cooker-pav-bhaji-recipe/

cooker pav bhaji recipe | pav bhaji in cooker | pressure cooker pav bhaji with detailed photo and video recipe. an easy and handy recipe of the popular pav bhaji recipe made in a pressure cooker to hasten the cooking process. the recipe is quick, fast and also easy but does not compromise on the taste and flavour. it does carry the same texture and taste like the popular mumbai street food without any added colour and only gets bright red colour from beetroot.

cooker pav bhaji recipe | pav bhaji in cooker | pressure cooker pav bhaji with step by step photo and video recipe. street food recipes are always one of the popular demands for most of us. there is a set of process and steps which makes it unique and obviously tasty and thus making it a popular choice. yet these street food recipes can also be tweaked and made with instant pot or pressure cooker and pressure cooker pav bhaji is one of them.

Music: http://www.hooksounds.com/

#hebbarskitchen",
YKGHhxg-whk,Ranjeet Anna Makes Kerala Style Potato Chips | Indian Street Food,https://www.youtube.com/watch?v=YKGHhxg-whk,382,20220501,"Anna from Nashik makes super crispy and yummy potato chips. Anna has a unique style of making and the whole process is very interesting to watch. #streetfood #indianstreetfood
Address : Hot Chips Center, Datta Mandir Road, Nashik Road, Nashik",
ju5nFKNkkBU,Bombay Sandwich Recipe| Street Food | Veg Sandwich Recipe| Grilled Cheese Sandwich @HomeCookingShow,https://www.youtube.com/watch?v=ju5nFKNkkBU,231,20220622,"📌 Quick & Easy Light Meals 👉https://www.youtube.com/playlist?list=PLFhw-Rie62rTB1PyIzQ4MoWq7p3LBMpMU
📌 Easy & tasty sandwiches 🥪 👉
https://www.youtube.com/playlist?list=PLFhw-Rie62rQRFj0P-msBg1MwngZ-e2Mo

Bombay Sandwich Recipe | Street Food | Veg Sandwich Recipe | Grilled Cheese Sandwich  @HomeCookingShow 

#BombaySandwich #streetfood #BombayGrilledSandwich #VegSandwichRecipe #indianstreetfood #grilledcheesesandwich #breakfast #homecookingshow 


Full Recipe & Step-by-Step Guide: https://homecookingshow.in/recipe/bombay-sandwich/


Hello Viewers, 

Today, we are going to see a wonderful street food recipe which is loved by many. This is Bombay Sandwich. This Bombay style sandwich has it's own unique taste with the perfect blend of all the elements like special Masala powder and mint Coriander chutney along with other ingredients used in the recipe. Since it is grilled, the crust is crunchy and the inside is full of flavours with veggies and seasonings. This is perfect for evening snacks and you can also have it as breakfast if you wish. Watch the entire video and follow the exact steps shown in it to get the authentic flavours of Bombay Sandwich. Do try this recipe and enjoy with your family and friends.

Our Other Recipes:

Veg Mayo Sandwich: https://youtu.be/rASgAQYZpFo
5 Tea Time Sandwiches: https://youtu.be/3BpZObhZ_9I
Chicken Sandwich: https://youtu.be/_SSGoVq5eSY
Chicken French Toast 2 Ways: https://youtu.be/XvxHWEjXRq8
Egg Sandwich: https://youtu.be/oDK4IHIMGsw
Cheesy Vegetable Sandwich: https://youtu.be/GTFKPn2_244
Spicy Aloo Sandwich: https://youtu.be/9rixiRulNX4
Corn Mayo Sandwich: https://youtu.be/UuEXB2GpGW4
Paneer Sandwich: https://youtu.be/ITs1KGEqb1w
Masala Toast: https://youtu.be/nHoD63x9CWw
Spicy Omelette Cheese Sandwich: https://youtu.be/14oUtFzyJ18
Paneer Bhurji Cheese Sandwich: https://youtu.be/hz0RhsgvzPg
Pizza Sandwich: https://youtu.be/SmcFh2nG5G8
Grilled Chicken Sandwich: https://youtu.be/CElsw3A2a8A
Corn and Spinach Sandwich: https://youtu.be/CElsw3A2a8A

You can buy our book and classes on https://shop.homecookingshow.in/

HAPPY COOKING WITH HOMECOOKING
ENJOY OUR RECIPES

WEBSITE: https://homecookingshow.in/
FACEBOOK -https://www.facebook.com/homecookingshow/
YOUTUBE: https://www.youtube.com/HomeCookingShow
INSTAGRAM - https://www.instagram.com/homecookingshow/

A Ventuno Production : https://www.ventunotech.com/",
